ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
87-3,0.73,0.296,0.11,0.73,0.297,0.013,0.18
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.16,0.085,0.03,0.15,0.084,0.008,0.03
91-2,0.16,0.085,1.00,0.15,0.085,0.008,1.00
91-3,0.16,0.042,0.46,0.15,0.043,0.008,0.46
93-1,0.07,0.087,1.00,0.07,0.086,0.015,1.00
93-2,0.07,0.084,1.00,0.07,0.083,0.013,1.00
94-1,1.00,0.366,1.00,1.00,0.367,0.014,0.82
95-1,0.99,0.256,0.69,0.99,0.263,0.010,0.84
95-2,0.99,0.256,0.97,0.99,0.260,0.011,0.94
96-1,0.36,0.063,1.00,0.36,0.063,0.003,1.00
96-2,0.36,0.072,1.00,0.36,0.072,0.004,1.00
96-3,0.36,0.066,1.00,0.36,0.066,0.003,1.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,0.65,0.193,0.49,0.65,0.193,0.011,0.49
99-1,0.96,0.302,0.16,0.96,0.305,0.012,0.16
