ID-model,GO:0005575,GO:0005622,GO:0044424,GO:0044425,GO:0016020,GO:0005829,GO:0005737,GO:0005886,GO:0044444,GO:0071944,GO:0005623,GO:0044464
BLAST-S11,NaN,0.74,0.74,0.69,0.60,0.71,0.66,0.49,0.62,0.42,0.41,0.41
BLAST-S14,NaN,0.75,0.74,0.72,0.66,0.62,0.61,0.59,0.54,0.51,0.40,0.40
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.87,0.85,0.74,0.70,0.53,0.86,0.71,0.62,0.66,0.53,0.53
101-2,NaN,0.56,0.56,0.55,0.61,0.50,0.57,0.58,0.53,0.57,0.47,0.47
101-3,NaN,0.89,0.87,0.83,0.79,0.53,0.88,0.64,0.64,0.61,0.42,0.42
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.66,0.64,0.73,0.71,0.50,0.65,0.51,0.44,0.45,0.24,0.24
103-2,NaN,0.71,0.70,0.80,0.76,0.53,0.72,0.56,0.49,0.51,0.28,0.28
103-3,NaN,0.78,0.78,0.77,0.76,0.50,0.77,0.58,0.50,0.56,0.46,0.46
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.85,0.87,0.79,0.63,0.60,0.83,0.55,0.53,0.57,0.49,0.49
105-2,NaN,0.88,0.91,0.81,0.76,0.57,0.89,0.61,0.48,0.59,0.37,0.37
105-3,NaN,0.85,0.88,0.82,0.73,0.64,0.86,0.65,0.58,0.64,0.45,0.45
106-1,NaN,0.72,0.72,0.74,0.73,0.50,0.71,0.59,0.50,0.60,0.50,0.50
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
