ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0016020,GO:0005886,GO:0071944
BLAST-S11,NaN,0.78,0.78,0.52,0.41,0.36
BLAST-S14,NaN,0.88,0.88,0.44,0.38,0.31
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.12,0.12,0.68,0.63,0.51
101-2,NaN,0.60,0.60,0.41,0.50,0.44
101-3,NaN,0.40,0.40,0.76,0.65,0.55
102-1,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,0.09,0.09,0.83,0.57,0.66
103-2,NaN,0.10,0.10,0.70,0.53,0.61
103-3,NaN,0.68,0.68,0.80,0.54,0.49
104-1,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.53,0.53,0.54,0.60,0.51
105-2,NaN,0.44,0.44,0.60,0.53,0.46
105-3,NaN,0.42,0.42,0.66,0.60,0.53
106-1,NaN,0.85,0.85,0.91,0.92,0.81
106-2,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,NaN,NaN,1.00,1.00,1.00
107-1,NaN,0.26,0.26,0.41,0.51,0.35
107-2,NaN,0.39,0.39,0.68,0.53,0.52
107-3,NaN,0.39,0.39,0.80,0.63,0.56
108-1,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.58,0.58,0.59,0.63,0.53
110-2,NaN,NaN,NaN,0.53,0.54,0.54
110-3,NaN,0.45,0.45,0.31,0.26,0.27
111-1,NaN,0.58,0.58,0.59,0.63,0.53
111-2,NaN,0.45,0.45,0.31,0.26,0.27
111-3,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.85,0.85,0.49,0.35,0.36
112-2,NaN,0.85,0.85,0.50,0.37,0.36
112-3,NaN,0.85,0.85,0.49,0.35,0.36
113-1,NaN,0.85,0.85,0.50,0.37,0.36
113-2,NaN,0.45,0.45,0.31,0.26,0.27
113-3,NaN,0.79,0.79,0.61,0.55,0.46
114-1,NaN,0.38,0.38,0.84,0.69,0.61
115-1,NaN,0.25,0.25,0.87,0.68,0.64
116-1,NaN,0.77,0.77,0.76,0.49,0.45
116-2,NaN,NaN,NaN,0.83,0.47,0.33
117-1,NaN,0.05,0.05,0.35,0.40,0.32
117-2,NaN,1.00,1.00,1.00,NaN,0.50
119-1,NaN,0.32,0.32,0.50,0.58,0.45
