ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005886,GO:0016020,GO:0071944
BLAST-S11,NaN,0.70,0.70,0.46,0.47,0.38
BLAST-S14,NaN,0.70,0.70,0.40,0.37,0.31
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.12,0.12,0.63,0.68,0.51
101-2,NaN,0.60,0.60,0.50,0.41,0.44
101-3,NaN,0.40,0.40,0.65,0.76,0.55
102-1,NaN,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.05,0.05,0.57,0.60,0.59
103-2,NaN,0.08,0.08,0.57,0.65,0.58
103-3,NaN,0.38,0.38,0.52,0.66,0.49
104-1,NaN,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.47,0.47,0.58,0.46,0.43
105-2,NaN,0.38,0.38,0.55,0.55,0.44
105-3,NaN,0.38,0.38,0.58,0.56,0.44
106-1,NaN,0.72,0.72,0.75,0.79,0.71
106-2,NaN,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.70,0.70,0.75,0.69,0.71
107-1,NaN,0.25,0.25,0.55,0.48,0.41
107-2,NaN,0.38,0.38,0.56,0.72,0.56
107-3,NaN,0.38,0.38,0.57,0.74,0.52
108-1,NaN,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.55,0.55,0.60,0.57,0.51
110-2,NaN,0.88,0.88,0.56,0.54,0.55
110-3,NaN,0.45,0.45,0.26,0.31,0.27
111-1,NaN,0.55,0.55,0.60,0.57,0.51
111-2,NaN,0.45,0.45,0.26,0.31,0.27
111-3,NaN,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.85,0.85,0.35,0.49,0.36
112-2,NaN,0.85,0.85,0.37,0.50,0.36
112-3,NaN,0.85,0.85,0.35,0.49,0.36
113-1,NaN,0.85,0.85,0.37,0.50,0.36
113-2,NaN,0.45,0.45,0.26,0.31,0.27
113-3,NaN,0.55,0.55,0.60,0.57,0.51
114-1,NaN,0.38,0.38,0.69,0.84,0.61
115-1,NaN,0.25,0.25,0.68,0.87,0.64
116-1,NaN,0.68,0.68,0.54,0.82,0.56
