ID-model,GO:0005575,GO:0005622,GO:0044425,GO:0044424,GO:0016020,GO:0005829,GO:0005737,GO:0005886,GO:0044444,GO:0071944,GO:0005623,GO:0044464
BLAST-S11,NaN,0.71,0.82,0.71,0.64,0.71,0.64,0.54,0.60,0.45,0.44,0.44
BLAST-S14,NaN,0.77,0.75,0.75,0.66,0.63,0.62,0.60,0.55,0.52,0.42,0.42
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.87,0.74,0.85,0.70,0.53,0.86,0.71,0.62,0.66,0.53,0.53
101-2,NaN,0.56,0.55,0.56,0.61,0.50,0.57,0.58,0.53,0.57,0.47,0.47
101-3,NaN,0.89,0.83,0.87,0.79,0.53,0.88,0.64,0.64,0.61,0.42,0.42
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,1.00,0.96,0.94,0.86,0.50,0.88,0.43,0.42,0.43,0.43,0.43
103-2,NaN,0.90,0.76,0.88,0.76,0.54,0.84,0.48,0.51,0.41,0.35,0.35
103-3,NaN,0.97,0.91,0.97,0.85,0.50,0.91,0.61,0.50,0.61,0.70,0.70
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.88,0.79,0.90,0.61,0.58,0.82,0.54,0.51,0.55,0.50,0.50
105-2,NaN,0.91,0.85,0.94,0.77,0.55,0.87,0.63,0.45,0.60,0.39,0.39
105-3,NaN,0.88,0.81,0.92,0.71,0.63,0.86,0.64,0.56,0.63,0.46,0.46
106-1,NaN,1.00,0.78,1.00,0.84,0.50,0.97,0.59,0.50,0.64,0.70,0.70
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,1.00,0.94,1.00,0.76,0.50,0.96,0.69,0.50,0.69,0.68,0.68
107-1,NaN,0.73,0.78,0.73,0.63,0.58,0.74,0.56,0.52,0.56,0.52,0.52
107-2,NaN,0.86,0.85,0.86,0.85,0.54,0.83,0.61,0.53,0.64,0.17,0.17
107-3,NaN,0.87,0.89,0.87,0.81,0.62,0.81,0.65,0.52,0.62,0.21,0.21
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.81,0.79,0.81,0.67,0.68,0.73,0.57,0.67,0.62,0.52,0.52
110-2,NaN,0.75,0.67,0.75,0.72,0.54,0.62,0.52,0.66,0.63,0.75,0.75
110-3,NaN,0.73,0.67,0.73,0.62,0.63,0.62,0.50,0.63,0.48,0.57,0.57
111-1,NaN,0.81,0.79,0.81,0.67,0.68,0.73,0.57,0.67,0.62,0.52,0.52
111-2,NaN,0.73,0.67,0.73,0.62,0.63,0.62,0.50,0.63,0.48,0.57,0.57
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.75,0.76,0.75,0.65,0.64,0.62,0.50,0.58,0.56,0.69,0.69
112-2,NaN,0.75,0.77,0.75,0.66,0.66,0.62,0.49,0.58,0.55,0.70,0.70
112-3,NaN,0.75,0.72,0.75,0.63,0.64,0.62,0.47,0.58,0.53,0.69,0.69
113-1,NaN,0.75,0.73,0.75,0.64,0.66,0.62,0.46,0.58,0.53,0.70,0.70
113-2,NaN,0.73,0.64,0.73,0.61,0.63,0.62,0.48,0.63,0.46,0.57,0.57
113-3,NaN,0.82,0.71,0.82,0.67,0.73,0.75,0.55,0.70,0.60,0.57,0.57
114-1,NaN,0.90,0.86,0.90,0.79,0.67,0.87,0.71,0.50,0.68,0.37,0.37
115-1,NaN,0.89,0.87,0.94,0.85,0.59,0.91,0.70,0.59,0.62,0.58,0.58
116-1,NaN,0.89,0.89,0.87,0.84,0.50,0.92,0.53,0.55,0.46,0.70,0.70
116-2,NaN,0.93,0.44,0.86,0.93,0.50,0.86,0.72,0.50,0.72,0.80,0.80
117-1,NaN,0.82,0.72,0.80,0.72,0.67,0.65,0.71,0.64,0.61,0.63,0.63
117-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119-1,NaN,0.87,0.80,0.87,0.81,0.73,0.80,0.64,0.64,0.58,0.36,0.36
120-1,NaN,0.86,0.83,0.86,0.76,0.78,0.83,0.71,0.63,0.70,0.37,0.37
120-2,NaN,0.76,0.83,0.76,0.81,0.77,0.62,0.72,0.54,0.67,0.31,0.31
120-3,NaN,0.76,0.82,0.76,0.84,0.72,0.51,0.65,0.41,0.61,0.29,0.29
121-1,NaN,0.97,0.91,0.97,0.85,0.50,0.94,0.69,0.50,0.62,0.50,0.50
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121-3,NaN,0.97,0.87,0.97,0.84,0.54,0.93,0.64,0.61,0.58,0.33,0.33
122-1,NaN,0.92,0.79,0.88,0.92,0.50,0.94,0.67,0.50,0.67,0.88,0.88
124-1,NaN,0.87,0.49,0.87,0.42,0.69,0.57,0.59,0.61,0.62,0.81,0.81
124-2,NaN,0.18,0.42,0.18,0.23,0.50,0.50,0.47,0.50,0.37,0.41,0.41
124-3,NaN,0.87,0.49,0.87,0.42,0.69,0.57,0.59,0.61,0.62,0.81,0.81
125-1,NaN,0.92,0.88,0.92,0.83,0.62,0.88,0.72,0.50,0.69,0.40,0.40
125-2,NaN,0.87,0.79,0.87,0.79,0.61,0.86,0.64,0.53,0.63,0.57,0.57
125-3,NaN,0.77,0.85,0.77,0.62,0.69,0.73,0.59,0.64,0.47,0.51,0.51
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
