ID-model,GO:0005575,GO:0005622,GO:0005623,GO:0044424,GO:0044464,GO:0043226,GO:0043229,GO:0043227,GO:0043231
79-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
79-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
80-1,NaN,NaN,NaN,NaN,NaN,0.56,0.56,0.48,0.48
80-2,NaN,NaN,NaN,NaN,NaN,0.83,0.83,0.77,0.77
81-1,NaN,NaN,NaN,NaN,NaN,0.58,0.58,0.59,0.59
81-2,NaN,NaN,NaN,NaN,NaN,0.58,0.58,0.59,0.59
82-1,NaN,NaN,NaN,NaN,NaN,0.76,0.76,0.86,0.86
83-1,NaN,NaN,NaN,NaN,NaN,0.56,0.56,0.59,0.59
83-2,NaN,NaN,NaN,NaN,NaN,0.62,0.62,0.52,0.52
84-1,NaN,NaN,NaN,NaN,NaN,0.25,0.25,0.49,0.49
85-1,NaN,NaN,NaN,NaN,NaN,0.54,0.54,0.45,0.44
85-2,NaN,NaN,NaN,NaN,NaN,0.54,0.54,0.45,0.44
86-1,NaN,NaN,NaN,NaN,NaN,0.57,0.57,0.76,0.76
86-2,NaN,NaN,NaN,NaN,NaN,0.57,0.57,0.76,0.76
86-3,NaN,NaN,NaN,NaN,NaN,0.83,0.83,0.82,0.82
87-1,NaN,NaN,NaN,NaN,NaN,0.44,0.44,0.38,0.38
87-2,NaN,NaN,NaN,NaN,NaN,0.61,0.61,0.55,0.55
87-3,NaN,NaN,NaN,NaN,NaN,0.32,0.32,0.43,0.43
88-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
89-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
89-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
89-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
91-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
91-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
91-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
93-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
