ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005622,GO:0044424,GO:0044444,GO:0005737,GO:0043226,GO:0043229,GO:0005886,GO:0071944,GO:0016020
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.28,0.28,0.90,0.90,0.88,0.88,0.85,0.80,0.93,0.93,0.90
127-2,NaN,0.00,0.00,0.91,0.91,0.92,0.92,0.90,0.91,0.93,0.93,0.83
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.26,0.26,0.70,0.70,0.74,0.74,0.59,0.59,0.85,0.80,0.70
129-1,NaN,0.70,0.70,0.91,0.90,0.86,0.91,0.87,0.87,1.00,1.00,0.99
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.70,0.70,0.91,0.90,0.86,0.91,0.87,0.87,1.00,1.00,0.99
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.63,0.63,0.66,0.66,0.63,0.62,0.70,0.70,0.88,0.88,0.81
131-2,NaN,0.63,0.63,0.69,0.69,0.59,0.59,0.75,0.75,0.91,0.91,0.95
131-3,NaN,0.56,0.56,0.64,0.64,0.49,0.52,0.79,0.79,0.96,0.96,0.96
132-1,NaN,0.81,0.81,0.81,0.81,0.87,0.87,0.75,0.75,0.82,0.98,0.62
132-2,NaN,0.81,0.81,0.81,0.81,0.87,0.87,0.75,0.75,0.82,0.98,0.62
65-1,NaN,0.69,0.69,0.71,0.71,0.76,0.76,0.63,0.64,0.94,0.96,0.92
65-2,NaN,0.67,0.67,0.66,0.70,0.73,0.73,0.62,0.62,0.93,0.96,0.90
65-3,NaN,0.69,0.69,0.68,0.68,0.75,0.75,0.60,0.60,0.91,0.97,0.90
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.41,0.41,0.94,0.93,0.88,0.94,0.81,0.81,0.89,0.89,0.87
69-2,NaN,0.43,0.43,0.83,0.83,0.72,0.86,0.69,0.69,0.89,0.92,0.87
70-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
70-2,NaN,0.00,0.00,0.87,0.87,0.88,0.87,0.74,0.74,0.97,0.97,1.00
70-3,NaN,0.00,0.00,0.86,0.86,0.77,0.82,0.75,0.78,0.91,0.91,0.98
72-1,NaN,0.04,0.04,0.70,0.70,0.69,0.69,0.58,0.58,0.91,0.91,0.80
72-2,NaN,0.91,0.91,0.73,0.73,0.69,0.69,0.62,0.62,0.90,0.90,0.85
73-1,NaN,0.76,0.76,0.80,0.81,0.58,0.69,0.81,0.81,0.90,0.89,0.84
73-2,NaN,0.72,0.72,0.85,0.87,0.68,0.73,0.84,0.84,0.89,0.87,0.84
73-3,NaN,0.50,0.50,0.54,0.54,0.53,0.53,0.49,0.49,0.54,0.71,0.57
74-1,NaN,0.76,0.76,0.67,0.67,0.54,0.59,0.60,0.60,0.87,0.87,0.84
74-2,NaN,0.39,0.39,0.94,0.94,0.79,0.84,0.79,0.79,0.50,0.50,0.96
75-1,NaN,0.41,0.41,0.94,0.94,0.85,0.92,0.89,0.89,0.90,0.90,0.87
75-2,NaN,0.43,0.43,0.83,0.83,0.77,0.87,0.78,0.78,0.88,0.91,0.87
79-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
80-1,NaN,0.85,0.85,0.82,0.82,0.68,0.68,0.89,0.89,0.87,0.87,0.87
80-2,NaN,0.87,0.87,0.93,0.93,0.82,0.82,0.86,0.86,0.96,0.96,0.96
81-1,NaN,0.11,0.11,0.74,0.74,0.83,0.83,0.67,0.67,0.65,0.65,0.77
81-2,NaN,0.11,0.11,0.74,0.74,0.83,0.83,0.67,0.67,0.65,0.65,0.77
82-1,NaN,0.24,0.24,0.87,0.87,0.61,0.61,0.80,0.80,0.59,0.62,0.54
83-1,NaN,0.31,0.31,0.45,0.45,0.67,0.67,0.51,0.51,0.61,0.77,0.50
83-2,NaN,0.24,0.24,0.55,0.55,0.66,0.69,0.59,0.59,0.60,0.74,0.77
84-1,NaN,0.33,0.33,0.76,0.76,0.85,0.85,0.54,0.54,0.51,0.51,0.31
85-1,NaN,0.46,0.46,0.86,0.86,0.83,0.83,0.71,0.71,0.89,0.89,0.90
85-2,NaN,0.46,0.46,0.86,0.86,0.83,0.83,0.71,0.71,0.89,0.89,0.90
