ID-model,GO:0008150,GO:0046483,GO:1901360,GO:0090304,GO:0006725,GO:0006139,GO:0016070,GO:0006807,GO:0034641,GO:1901576,GO:0009058,GO:0044249,GO:0043170,GO:0044260,GO:0044763,GO:0010467,GO:0044281,GO:0008152,GO:0044238,GO:0060255,GO:0044710,GO:0050794,GO:0044237,GO:0019222,GO:0080090,GO:0065007,GO:0071704,GO:0031323,GO:0044699,GO:0050789,GO:0009987
BLAST-S11,NaN,0.78,0.77,0.79,0.77,0.77,0.76,0.74,0.73,0.75,0.75,0.70,0.72,0.68,0.74,0.68,0.66,0.67,0.67,0.66,0.61,0.62,0.63,0.67,0.63,0.64,0.64,0.63,0.71,0.62,0.69
BLAST-S14,NaN,0.83,0.82,0.82,0.81,0.80,0.79,0.77,0.77,0.77,0.76,0.76,0.75,0.72,0.72,0.71,0.71,0.69,0.68,0.68,0.68,0.67,0.66,0.66,0.66,0.65,0.65,0.64,0.64,0.64,0.62
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.77,0.76,0.75,0.77,0.74,0.74,0.74,0.74,0.69,0.71,0.72,0.67,0.69,0.67,0.67,0.75,0.67,0.65,0.63,0.70,0.57,0.65,0.65,0.63,0.58,0.61,0.62,0.68,0.51,0.57
101-2,NaN,0.74,0.74,0.75,0.75,0.73,0.78,0.74,0.74,0.73,0.75,0.77,0.71,0.67,0.78,0.72,0.71,0.60,0.62,0.72,0.71,0.61,0.57,0.72,0.71,0.71,0.59,0.63,0.81,0.71,0.53
101-3,NaN,0.86,0.86,0.80,0.85,0.84,0.81,0.86,0.86,0.74,0.74,0.75,0.79,0.74,0.70,0.80,0.76,0.77,0.75,0.59,0.74,0.60,0.69,0.60,0.58,0.53,0.74,0.63,0.50,0.54,0.44
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
