ID-model,GO:0003674,GO:0022857,GO:0005215,GO:0016772,GO:0016787,GO:0003676,GO:1901363,GO:0097159,GO:0003824,GO:0016740,GO:0005488,GO:0042802,GO:0005515
BLAST-S11,NaN,0.83,0.82,0.83,0.76,0.71,0.68,0.67,0.71,0.76,0.58,0.53,0.55
BLAST-S14,NaN,0.94,0.93,0.83,0.81,0.80,0.75,0.75,0.74,0.74,0.58,0.51,0.47
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.77,0.90,0.95,0.96,0.92,0.81,0.81,0.87,0.86,0.46,0.47,0.51
101-2,NaN,0.77,0.91,0.89,0.85,0.97,0.92,0.92,0.87,0.85,0.61,0.49,0.55
101-3,NaN,0.77,0.91,0.98,0.99,0.95,0.90,0.90,0.95,0.91,0.63,0.47,0.52
102-1,NaN,0.89,0.88,0.88,0.88,0.89,0.79,0.79,0.89,0.82,0.63,0.54,0.62
102-2,NaN,0.85,0.90,0.90,0.74,0.74,0.66,0.66,0.88,0.87,0.55,0.52,0.62
102-3,NaN,0.64,0.64,0.53,0.47,0.52,0.49,0.49,0.53,0.54,0.43,0.48,0.42
103-1,NaN,0.50,0.75,0.95,0.70,0.82,0.83,0.83,0.84,0.85,0.55,0.50,0.57
103-2,NaN,0.58,0.76,0.98,0.88,0.97,0.94,0.94,0.89,0.87,0.57,0.49,0.59
103-3,NaN,0.73,0.86,0.90,0.89,0.97,0.94,0.94,0.89,0.89,0.60,0.50,0.54
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.87,0.87,0.93,0.94,0.95,0.83,0.83,0.90,0.85,0.57,0.50,0.56
105-2,NaN,0.90,0.90,0.95,0.97,0.96,0.83,0.83,0.93,0.87,0.52,0.47,0.51
105-3,NaN,0.93,0.93,0.88,0.94,0.96,0.80,0.80,0.87,0.80,0.54,0.48,0.50
106-1,NaN,0.68,0.82,0.69,0.74,0.84,0.80,0.80,0.73,0.67,0.54,0.49,0.51
106-2,NaN,0.50,0.50,0.60,0.60,0.55,0.62,0.62,0.67,0.62,0.46,0.50,0.50
106-3,NaN,0.55,0.59,0.60,0.68,0.77,0.74,0.74,0.75,0.63,0.57,0.49,0.51
107-1,NaN,0.93,0.93,0.96,0.95,0.93,0.75,0.75,0.93,0.89,0.36,0.51,0.52
107-2,NaN,0.90,0.92,0.94,0.95,0.97,0.87,0.87,0.92,0.90,0.58,0.51,0.55
107-3,NaN,0.89,0.91,0.90,0.94,0.96,0.86,0.86,0.89,0.86,0.58,0.51,0.49
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.93,0.93,0.89,0.85,0.74,0.69,0.69,0.83,0.83,0.76,0.46,0.77
110-2,NaN,0.78,0.83,0.96,0.89,0.83,0.80,0.80,0.89,0.90,0.69,0.50,0.63
110-3,NaN,0.66,0.62,0.70,0.62,0.59,0.73,0.73,0.60,0.61,0.70,0.54,0.75
111-1,NaN,0.93,0.93,0.89,0.85,0.74,0.69,0.69,0.83,0.83,0.76,0.46,0.77
111-2,NaN,0.66,0.62,0.70,0.62,0.59,0.73,0.73,0.60,0.61,0.70,0.54,0.75
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.85,0.83,0.97,0.93,0.88,0.83,0.83,0.89,0.88,0.77,0.40,0.77
112-2,NaN,0.85,0.84,0.97,0.94,0.88,0.83,0.83,0.90,0.89,0.78,0.39,0.77
112-3,NaN,0.85,0.83,0.96,0.91,0.88,0.82,0.82,0.86,0.88,0.72,0.40,0.71
113-1,NaN,0.85,0.84,0.97,0.92,0.88,0.82,0.82,0.86,0.89,0.73,0.39,0.71
113-2,NaN,0.66,0.61,0.67,0.49,0.58,0.71,0.71,0.59,0.55,0.64,0.54,0.63
113-3,NaN,0.93,0.93,0.87,0.81,0.71,0.65,0.65,0.75,0.81,0.63,0.46,0.67
