ID-model,GO:0003674,GO:0016787,GO:0042802,GO:0003824,GO:0043167,GO:0005515,GO:0005488
80-1,NaN,0.92,0.48,0.72,0.78,0.59,0.65
80-2,NaN,0.90,0.48,0.73,0.83,0.62,0.73
81-1,NaN,0.87,0.50,0.78,0.61,0.56,0.67
81-2,NaN,0.87,0.50,0.78,0.61,0.56,0.67
82-1,NaN,0.96,0.62,0.80,0.70,0.55,0.52
83-1,NaN,0.76,0.57,0.57,0.78,0.75,0.57
83-2,NaN,0.78,0.57,0.62,0.79,0.75,0.56
84-1,NaN,0.65,0.50,0.69,0.66,0.44,0.61
85-1,NaN,0.88,0.38,0.72,0.69,0.44,0.50
85-2,NaN,0.88,0.38,0.72,0.69,0.44,0.50
86-1,NaN,0.78,0.46,0.66,0.56,0.64,0.55
86-2,NaN,0.78,0.46,0.66,0.56,0.64,0.55
86-3,NaN,0.81,0.46,0.67,0.54,0.64,0.50
87-1,NaN,0.93,0.49,0.77,0.77,0.57,0.65
87-2,NaN,0.94,0.49,0.79,0.78,0.57,0.67
87-3,NaN,0.93,0.50,0.83,0.75,0.59,0.69
88-1,NaN,0.83,0.50,0.62,0.56,0.53,0.54
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,0.55,0.57,0.55,0.74,0.56,0.68
93-2,NaN,0.52,0.57,0.51,0.63,0.56,0.59
94-1,NaN,0.92,0.50,0.73,0.77,0.50,0.70
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.68,0.52,0.57,0.78,0.50,0.63
99-1,NaN,0.76,0.51,0.73,0.76,0.49,0.60
