ID-model,GO:0003674,GO:0042802,GO:0016787,GO:0003824,GO:0043167,GO:0005515,GO:0005488
BLAST-S11,NaN,0.51,0.72,0.61,0.67,0.48,0.48
BLAST-S14,NaN,0.71,0.69,0.66,0.62,0.61,0.50
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.51,0.80,0.62,0.68,0.47,0.59
101-2,NaN,0.49,0.82,0.75,0.67,0.51,0.62
101-3,NaN,0.51,0.82,0.73,0.74,0.49,0.68
102-1,NaN,0.62,0.78,0.66,0.75,0.50,0.54
102-2,NaN,0.61,0.72,0.62,0.69,0.41,0.43
102-3,NaN,0.52,0.46,0.50,0.55,0.45,0.48
103-1,NaN,0.50,0.63,0.67,0.58,0.57,0.59
103-2,NaN,0.50,0.64,0.69,0.58,0.56,0.61
103-3,NaN,0.50,0.72,0.71,0.63,0.50,0.61
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.51,0.71,0.56,0.70,0.52,0.60
105-2,NaN,0.54,0.80,0.66,0.77,0.57,0.62
105-3,NaN,0.47,0.75,0.58,0.75,0.59,0.62
106-1,NaN,0.50,0.70,0.67,0.81,0.50,0.66
106-2,NaN,0.50,0.55,0.55,0.80,0.50,0.61
106-3,NaN,0.50,0.70,0.68,0.70,0.50,0.55
107-1,NaN,0.51,0.79,0.67,0.70,0.61,0.51
107-2,NaN,0.47,0.80,0.65,0.78,0.58,0.59
107-3,NaN,0.49,0.83,0.64,0.73,0.58,0.54
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.60,0.69,0.56,0.69,0.52,0.54
110-2,NaN,0.57,0.81,0.69,0.71,0.66,0.60
110-3,NaN,0.60,0.64,0.58,0.66,0.70,0.59
111-1,NaN,0.60,0.69,0.56,0.69,0.52,0.54
111-2,NaN,0.60,0.64,0.58,0.66,0.70,0.59
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.64,0.90,0.78,0.72,0.67,0.64
112-2,NaN,0.65,0.90,0.78,0.73,0.65,0.62
112-3,NaN,0.64,0.90,0.75,0.71,0.61,0.60
113-1,NaN,0.65,0.90,0.75,0.73,0.59,0.58
113-2,NaN,0.60,0.64,0.57,0.64,0.68,0.58
113-3,NaN,0.60,0.69,0.55,0.64,0.48,0.50
114-1,NaN,0.50,0.86,0.76,0.83,0.70,0.72
115-1,NaN,0.52,0.94,0.76,0.89,0.60,0.74
116-1,NaN,0.50,0.76,0.76,0.84,0.52,0.68
116-2,NaN,0.50,0.67,0.72,0.74,0.50,0.63
117-1,NaN,0.44,0.77,0.75,0.65,0.50,0.44
117-2,NaN,0.50,0.71,0.61,0.51,0.50,0.51
119-1,NaN,0.47,0.80,0.76,0.75,0.44,0.57
120-1,NaN,0.64,0.89,0.78,0.83,0.70,0.71
120-2,NaN,0.49,0.55,0.56,0.68,0.46,0.60
120-3,NaN,0.50,0.42,0.51,0.48,0.50,0.45
121-1,NaN,0.50,0.71,0.70,0.72,0.49,0.67
121-2,NaN,0.48,0.53,0.55,0.54,0.47,0.49
121-3,NaN,0.50,0.76,0.71,0.72,0.54,0.70
122-1,NaN,0.48,0.73,0.68,0.56,0.57,0.62
124-1,NaN,0.54,0.57,0.24,0.22,0.49,0.50
124-2,NaN,0.50,0.37,0.27,0.22,0.45,0.37
124-3,NaN,0.54,0.54,0.26,0.22,0.49,0.49
125-1,NaN,0.50,0.85,0.76,0.83,0.70,0.72
125-2,NaN,0.50,0.84,0.75,0.73,0.48,0.61
125-3,NaN,0.51,0.77,0.63,0.80,0.53,0.51
126-1,NaN,0.50,0.62,0.57,0.61,0.49,0.57
127-1,NaN,0.63,0.86,0.66,0.76,0.56,0.65
127-2,NaN,0.73,0.81,0.68,0.73,0.60,0.52
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.49,0.72,0.59,0.67,0.55,0.56
129-1,NaN,0.48,0.76,0.68,0.71,0.47,0.44
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.48,0.76,0.68,0.71,0.47,0.44
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
