ID-model,GO:0005575,GO:0032991,GO:0005622,GO:0044424,GO:0044425,GO:0005737,GO:0016020,GO:0044444,GO:0005829,GO:0005886,GO:0071944,GO:0005623,GO:0044464
BLAST-S11,NaN,0.84,0.75,0.75,0.68,0.69,0.55,0.65,0.64,0.46,0.39,0.44,0.44
BLAST-S14,NaN,0.87,0.77,0.76,0.70,0.65,0.61,0.58,0.58,0.56,0.49,0.43,0.43
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.63,0.89,0.87,0.76,0.87,0.71,0.66,0.51,0.70,0.66,0.56,0.56
101-2,NaN,0.53,0.55,0.55,0.56,0.56,0.61,0.53,0.50,0.59,0.57,0.46,0.46
101-3,NaN,0.64,0.90,0.88,0.84,0.89,0.80,0.69,0.51,0.65,0.62,0.43,0.43
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.63,0.70,0.69,0.72,0.69,0.70,0.48,0.50,0.51,0.45,0.25,0.25
103-2,NaN,0.63,0.75,0.74,0.80,0.76,0.75,0.53,0.53,0.56,0.51,0.32,0.32
103-3,NaN,0.60,0.80,0.80,0.76,0.75,0.74,0.50,0.50,0.57,0.55,0.47,0.47
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.89,0.87,0.89,0.78,0.86,0.58,0.61,0.55,0.53,0.54,0.52,0.52
105-2,NaN,0.89,0.89,0.93,0.81,0.90,0.70,0.56,0.52,0.59,0.58,0.38,0.38
105-3,NaN,0.82,0.86,0.89,0.81,0.88,0.68,0.65,0.60,0.64,0.63,0.45,0.45
106-1,NaN,0.59,0.71,0.71,0.75,0.68,0.73,0.50,0.50,0.59,0.61,0.51,0.51
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.59,0.71,0.71,0.68,0.68,0.61,0.50,0.50,0.59,0.58,0.50,0.50
107-1,NaN,0.92,0.77,0.77,0.78,0.77,0.60,0.58,0.53,0.54,0.53,0.52,0.52
107-2,NaN,0.74,0.87,0.87,0.85,0.84,0.85,0.55,0.51,0.62,0.66,0.16,0.16
107-3,NaN,0.77,0.89,0.89,0.83,0.83,0.77,0.58,0.59,0.62,0.61,0.19,0.19
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.87,0.79,0.79,0.76,0.71,0.64,0.66,0.64,0.54,0.59,0.47,0.47
110-2,NaN,0.82,0.71,0.71,0.65,0.62,0.64,0.63,0.51,0.49,0.58,0.71,0.71
110-3,NaN,0.70,0.74,0.74,0.70,0.69,0.63,0.70,0.62,0.50,0.48,0.57,0.57
111-1,NaN,0.87,0.79,0.79,0.76,0.71,0.64,0.66,0.64,0.54,0.59,0.47,0.47
111-2,NaN,0.70,0.74,0.74,0.70,0.69,0.63,0.70,0.62,0.50,0.48,0.57,0.57
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.83,0.78,0.78,0.78,0.68,0.69,0.65,0.62,0.52,0.58,0.72,0.72
112-2,NaN,0.84,0.78,0.78,0.78,0.68,0.69,0.65,0.63,0.51,0.58,0.73,0.73
112-3,NaN,0.80,0.78,0.78,0.74,0.65,0.67,0.62,0.62,0.50,0.56,0.72,0.72
113-1,NaN,0.81,0.78,0.78,0.75,0.65,0.68,0.62,0.63,0.49,0.55,0.73,0.73
113-2,NaN,0.70,0.74,0.74,0.67,0.69,0.61,0.70,0.62,0.48,0.46,0.57,0.57
113-3,NaN,0.80,0.73,0.73,0.71,0.66,0.61,0.59,0.64,0.53,0.57,0.45,0.45
114-1,NaN,0.67,0.91,0.91,0.87,0.85,0.78,0.51,0.68,0.71,0.69,0.38,0.38
115-1,NaN,0.86,0.90,0.95,0.88,0.91,0.86,0.65,0.58,0.72,0.64,0.60,0.60
116-1,NaN,0.60,0.73,0.73,0.85,0.74,0.80,0.52,0.50,0.53,0.50,0.54,0.54
116-2,NaN,0.50,0.62,0.61,0.49,0.62,0.64,0.50,0.50,0.51,0.50,0.42,0.42
117-1,NaN,0.95,0.84,0.82,0.73,0.70,0.66,0.69,0.60,0.67,0.57,0.66,0.66
117-2,NaN,0.50,0.54,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.54
119-1,NaN,0.89,0.88,0.88,0.80,0.82,0.78,0.68,0.73,0.63,0.57,0.37,0.37
120-1,NaN,0.87,0.88,0.88,0.84,0.82,0.76,0.66,0.76,0.72,0.71,0.38,0.38
120-2,NaN,0.34,0.76,0.76,0.84,0.63,0.80,0.55,0.74,0.73,0.67,0.31,0.31
120-3,NaN,0.37,0.78,0.78,0.78,0.50,0.80,0.40,0.72,0.64,0.61,0.28,0.28
121-1,NaN,0.60,0.84,0.84,0.86,0.80,0.78,0.50,0.50,0.66,0.62,0.38,0.38
121-2,NaN,0.50,0.50,0.50,0.54,0.50,0.52,0.50,0.50,0.53,0.53,0.51,0.51
121-3,NaN,0.59,0.86,0.86,0.88,0.81,0.81,0.60,0.53,0.67,0.63,0.30,0.30
122-1,NaN,0.70,0.73,0.71,0.72,0.72,0.73,0.57,0.48,0.59,0.58,0.73,0.73
124-1,NaN,0.80,0.89,0.89,0.50,0.60,0.43,0.62,0.70,0.59,0.62,0.82,0.82
