ID-model,GO:0003674,GO:0016874,GO:0070011,GO:0016788,GO:0016491,GO:0008233,GO:0016787,GO:0000975,GO:0044212,GO:0001067,GO:0003677,GO:0003676,GO:0097159,GO:0003824,GO:1901363,GO:0016740,GO:0016772,GO:0022857,GO:0043565,GO:0005215,GO:0030234,GO:0016773,GO:0022891,GO:0022892,GO:0043168,GO:0046872,GO:0043167,GO:0005102,GO:0042802,GO:0043169,GO:0005515,GO:0005488,GO:0019899
BLAST-S11,NaN,0.97,0.94,0.83,0.90,0.88,0.84,0.56,0.56,0.56,0.74,0.72,0.73,0.73,0.73,0.76,0.74,0.68,0.64,0.72,0.81,0.75,0.68,0.68,0.74,0.57,0.62,0.56,0.41,0.54,0.52,0.56,0.58
BLAST-S14,NaN,0.98,0.93,0.90,0.90,0.88,0.87,0.86,0.86,0.86,0.83,0.81,0.79,0.79,0.78,0.78,0.77,0.75,0.74,0.74,0.73,0.72,0.71,0.71,0.69,0.61,0.60,0.60,0.58,0.58,0.57,0.57,0.56
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.94,0.98,0.89,0.85,0.95,0.88,0.50,0.50,0.50,0.89,0.85,0.77,0.84,0.77,0.91,0.96,0.89,0.63,0.89,0.71,0.98,0.88,0.89,0.71,0.65,0.60,0.48,0.50,0.63,0.47,0.48,0.49
101-2,NaN,0.80,0.94,0.86,0.89,0.93,0.89,0.50,0.50,0.50,0.85,0.86,0.84,0.87,0.84,0.95,0.96,0.90,0.59,0.91,0.72,0.95,0.89,0.90,0.64,0.64,0.60,0.49,0.49,0.62,0.56,0.60,0.49
101-3,NaN,0.94,0.98,0.89,0.88,0.96,0.90,0.50,0.50,0.50,0.93,0.92,0.86,0.87,0.87,0.96,1.00,0.91,0.63,0.91,0.72,1.00,0.90,0.91,0.74,0.63,0.63,0.48,0.50,0.60,0.57,0.61,0.49
102-1,NaN,0.93,0.98,0.92,0.89,0.98,0.93,0.81,0.81,0.81,0.89,0.89,0.85,0.85,0.85,0.96,0.98,0.93,0.74,0.98,0.89,0.98,0.93,0.94,0.84,0.70,0.73,0.58,0.45,0.65,0.63,0.55,0.60
102-2,NaN,0.99,0.98,0.98,0.90,0.95,0.90,0.80,0.80,0.80,0.87,0.85,0.83,0.85,0.82,0.94,0.98,0.98,0.78,0.98,0.90,0.98,0.98,0.99,0.81,0.69,0.71,0.62,0.48,0.65,0.62,0.54,0.63
102-3,NaN,1.00,NaN,1.00,1.00,NaN,0.83,NaN,NaN,NaN,1.00,1.00,0.91,0.35,0.91,0.92,1.00,1.00,NaN,1.00,NaN,1.00,1.00,1.00,0.92,0.57,0.58,NaN,0.75,0.50,0.23,0.50,NaN
103-1,NaN,1.00,0.94,NaN,0.68,0.98,0.93,0.50,0.50,0.50,0.97,0.96,0.89,0.75,0.89,0.91,0.94,0.82,0.31,0.95,NaN,0.87,0.97,0.97,0.93,0.79,0.74,NaN,0.50,0.80,0.58,0.73,0.50
103-2,NaN,1.00,1.00,NaN,0.68,0.99,0.96,0.50,0.50,0.50,0.96,0.96,0.90,0.78,0.90,0.92,0.95,0.85,0.33,0.93,NaN,0.88,0.98,0.96,0.71,0.72,0.61,NaN,0.50,0.72,0.56,0.68,0.50
103-3,NaN,1.00,0.98,0.99,0.87,0.96,0.95,0.50,0.50,0.50,0.93,0.93,0.89,0.90,0.89,0.93,0.95,0.86,0.61,0.98,0.74,0.81,0.93,0.87,0.95,0.66,0.68,0.50,0.50,0.63,0.53,0.65,0.50
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.99,0.98,0.90,0.93,0.93,0.87,0.80,0.80,0.80,0.91,0.88,0.77,0.82,0.77,0.90,0.90,0.93,0.76,0.96,0.85,0.84,0.92,0.92,0.71,0.75,0.65,0.61,0.33,0.69,0.59,0.54,0.62
105-2,NaN,1.00,0.99,0.92,0.91,0.95,0.92,0.88,0.88,0.88,0.92,0.90,0.83,0.87,0.83,0.92,0.93,0.94,0.86,0.98,0.89,0.88,0.93,0.94,0.78,0.75,0.70,0.58,0.37,0.70,0.64,0.55,0.66
105-3,NaN,0.99,0.99,0.90,0.93,0.92,0.88,0.77,0.77,0.77,0.94,0.91,0.79,0.83,0.80,0.90,0.90,0.92,0.81,0.97,0.93,0.89,0.91,0.92,0.73,0.78,0.71,0.47,0.41,0.75,0.58,0.52,0.55
106-1,NaN,0.65,0.80,0.65,0.77,0.75,0.78,0.50,0.50,0.50,0.71,0.70,0.69,0.74,0.69,0.74,0.75,0.93,0.55,0.93,0.67,0.80,0.93,0.94,0.82,0.73,0.72,0.50,0.50,0.68,0.58,0.59,0.50
