ID-model,GO:0003674,GO:0003824
BLAST-S11,NaN,0.76
BLAST-S14,NaN,0.89
Naive-S11,NaN,0.50
Naive-S14,NaN,0.50
101-1,NaN,0.54
101-2,NaN,0.96
101-3,NaN,0.68
102-1,NaN,0.57
102-2,NaN,0.62
102-3,NaN,NaN
103-1,NaN,0.50
103-2,NaN,0.66
103-3,NaN,0.83
104-1,NaN,NaN
104-2,NaN,NaN
104-3,NaN,NaN
105-1,NaN,0.43
105-2,NaN,0.62
105-3,NaN,0.62
106-1,NaN,0.69
106-2,NaN,0.77
106-3,NaN,0.84
107-1,NaN,0.59
107-2,NaN,0.71
107-3,NaN,0.66
108-1,NaN,NaN
109-1,NaN,NaN
110-1,NaN,0.78
110-2,NaN,0.93
110-3,NaN,0.41
111-1,NaN,0.78
111-2,NaN,0.41
111-3,NaN,NaN
112-1,NaN,0.94
112-2,NaN,0.94
112-3,NaN,0.88
113-1,NaN,0.88
113-2,NaN,0.41
113-3,NaN,0.81
114-1,NaN,0.65
115-1,NaN,0.76
116-1,NaN,0.77
116-2,NaN,0.79
117-1,NaN,0.69
117-2,NaN,0.65
119-1,NaN,0.62
120-1,NaN,0.69
120-2,NaN,0.78
120-3,NaN,0.50
121-1,NaN,0.66
121-2,NaN,NaN
121-3,NaN,0.54
122-1,NaN,0.64
124-1,NaN,0.40
124-2,NaN,0.21
124-3,NaN,0.57
125-1,NaN,0.65
125-2,NaN,0.50
125-3,NaN,0.71
126-1,NaN,NaN
127-1,NaN,0.77
127-2,NaN,0.64
127-3,NaN,NaN
128-1,NaN,0.47
129-1,NaN,0.82
129-2,NaN,NaN
129-3,NaN,0.82
130-1,NaN,NaN
130-2,NaN,NaN
130-3,NaN,NaN
131-1,NaN,0.39
131-2,NaN,0.66
131-3,NaN,0.68
132-1,NaN,0.88
132-2,NaN,0.82
65-1,NaN,0.71
65-2,NaN,0.72
65-3,NaN,0.68
68-1,NaN,NaN
68-2,NaN,NaN
69-1,NaN,0.65
69-2,NaN,0.65
70-1,NaN,0.68
70-2,NaN,0.43
70-3,NaN,0.50
72-1,NaN,0.46
72-2,NaN,0.62
73-1,NaN,0.53
73-2,NaN,0.53
73-3,NaN,0.41
74-1,NaN,0.92
74-2,NaN,0.65
75-1,NaN,0.65
75-2,NaN,0.65
79-1,NaN,0.53
79-2,NaN,0.62
79-3,NaN,0.78
80-1,NaN,0.88
80-2,NaN,0.65
81-1,NaN,0.68
81-2,NaN,0.68
82-1,NaN,0.86
83-1,NaN,0.41
83-2,NaN,0.59
84-1,NaN,0.61
85-1,NaN,0.72
85-2,NaN,0.72
86-1,NaN,0.73
86-2,NaN,0.73
86-3,NaN,0.81
87-1,NaN,0.84
87-2,NaN,0.87
87-3,NaN,0.84
88-1,NaN,0.59
89-1,NaN,NaN
89-2,NaN,NaN
89-3,NaN,NaN
91-1,NaN,NaN
91-2,NaN,NaN
91-3,NaN,NaN
93-1,NaN,0.47
93-2,NaN,0.47
94-1,NaN,0.75
95-1,NaN,NaN
95-2,NaN,NaN
96-1,NaN,NaN
96-2,NaN,NaN
96-3,NaN,NaN
97-1,NaN,NaN
97-2,NaN,NaN
97-3,NaN,NaN
98-1,NaN,0.15
99-1,NaN,0.52
