ID-model,GO:0008150,GO:0050896,GO:0022414,GO:0000003,GO:0009605,GO:0050794,GO:0048608,GO:0061458,GO:0003006,GO:0006950,GO:0009991,GO:0031667,GO:0042594,GO:0009987,GO:0050789,GO:0065007,GO:0044767,GO:0048513,GO:0030582,GO:0030587,GO:0055084,GO:0075259,GO:0032501,GO:0044699,GO:0019954,GO:0044707,GO:0044763,GO:0032502,GO:0007275,GO:0048731,GO:0048856
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.70,0.53,0.56,0.71,0.77,0.52,0.52,0.47,0.64,0.64,0.64,0.58,0.47,0.69,0.68,0.60,0.67,0.57,0.57,0.57,0.57,0.48,0.53,0.48,0.39,0.56,0.45,0.38,0.38,0.42
110-2,NaN,0.77,0.53,0.53,0.74,0.71,0.50,0.50,0.56,0.66,0.59,0.59,0.70,0.55,0.73,0.72,0.70,0.71,0.62,0.62,0.62,0.56,0.62,0.44,0.67,0.63,0.29,0.61,0.60,0.58,0.60
110-3,NaN,0.38,0.51,0.51,0.51,0.42,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.84,0.49,0.64,0.54,0.51,0.51,0.51,0.51,0.51,0.51,0.27,0.51,0.51,0.38,0.41,0.51,0.51,0.41
111-1,NaN,0.77,0.56,0.61,0.76,0.69,0.56,0.56,0.53,0.73,0.69,0.69,0.67,0.42,0.63,0.62,0.64,0.71,0.55,0.55,0.55,0.58,0.53,0.48,0.54,0.45,0.34,0.44,0.44,0.44,0.40
111-2,NaN,0.49,0.50,0.50,0.51,0.41,0.50,0.50,0.50,0.48,0.48,0.48,0.48,0.94,0.44,0.61,0.62,0.52,0.48,0.48,0.48,0.50,0.53,0.34,0.48,0.53,0.41,0.45,0.53,0.53,0.45
111-3,NaN,0.55,0.56,0.56,0.55,0.54,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.68,0.51,0.51,0.69,0.59,0.56,0.56,0.56,0.56,0.59,0.68,0.55,0.59,0.75,0.48,0.59,0.59,0.48
112-1,NaN,0.76,0.59,0.58,0.64,0.71,0.60,0.60,0.62,0.67,0.59,0.61,0.59,0.69,0.72,0.78,0.61,0.65,0.53,0.54,0.54,0.54,0.55,0.48,0.50,0.53,0.35,0.49,0.49,0.49,0.49
112-2,NaN,0.77,0.59,0.57,0.64,0.72,0.59,0.59,0.62,0.67,0.61,0.63,0.62,0.67,0.71,0.75,0.62,0.65,0.54,0.55,0.55,0.55,0.56,0.50,0.51,0.53,0.35,0.47,0.50,0.49,0.49
112-3,NaN,0.76,0.59,0.58,0.64,0.71,0.60,0.60,0.62,0.67,0.59,0.61,0.59,0.67,0.72,0.78,0.61,0.65,0.53,0.54,0.54,0.54,0.55,0.48,0.50,0.53,0.36,0.49,0.49,0.49,0.49
113-1,NaN,0.77,0.59,0.57,0.64,0.72,0.59,0.59,0.62,0.67,0.61,0.63,0.62,0.65,0.71,0.75,0.62,0.65,0.54,0.55,0.55,0.55,0.56,0.50,0.51,0.53,0.36,0.47,0.50,0.49,0.49
113-2,NaN,0.38,0.51,0.51,0.51,0.42,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.76,0.47,0.58,0.54,0.51,0.51,0.51,0.51,0.51,0.51,0.29,0.51,0.51,0.38,0.41,0.51,0.51,0.41
113-3,NaN,0.77,0.56,0.61,0.76,0.69,0.56,0.56,0.53,0.73,0.69,0.69,0.67,0.39,0.63,0.62,0.64,0.71,0.55,0.55,0.55,0.58,0.53,0.57,0.54,0.45,0.37,0.44,0.44,0.44,0.40
114-1,NaN,0.85,0.69,0.70,0.64,0.74,0.68,0.68,0.70,0.79,0.67,0.67,0.67,0.61,0.69,0.69,0.74,0.69,0.64,0.64,0.64,0.64,0.51,0.93,0.66,0.51,0.85,0.58,0.54,0.56,0.67
115-1,NaN,0.62,0.52,0.52,0.80,0.76,0.57,0.57,0.57,0.58,0.64,0.59,0.52,0.40,0.72,0.72,0.75,0.62,0.48,0.48,0.48,0.48,0.45,0.82,0.52,0.45,0.85,0.43,0.50,0.45,0.49
116-1,NaN,0.58,0.50,0.50,0.50,0.66,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.42,0.62,0.62,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.72,0.50,0.50,0.65,0.50,0.50,0.50,0.50
116-2,NaN,0.51,0.50,0.50,0.50,0.68,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.43,0.68,0.68,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.62,0.50,0.50,0.50,0.50,0.50,0.50,0.50
117-1,NaN,0.74,0.69,0.69,0.79,0.74,0.52,0.52,0.62,0.69,0.56,0.56,0.53,0.38,0.57,0.57,0.62,0.54,0.40,0.40,0.40,0.40,0.32,0.45,0.40,0.32,0.56,0.41,0.32,0.47,0.38
117-2,NaN,0.56,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.68,0.53,0.53,0.60,0.58,0.50,0.50,0.50,0.50,0.56,0.66,0.50,0.56,0.68,0.56,0.56,0.52,0.56
119-1,NaN,0.48,0.35,0.42,0.39,0.63,0.42,0.42,0.45,0.41,0.30,0.30,0.30,0.66,0.48,0.54,0.60,0.54,0.38,0.38,0.38,0.38,0.28,0.26,0.38,0.28,0.42,0.27,0.28,0.29,0.26
120-1,NaN,0.83,0.66,0.69,0.62,0.74,0.61,0.61,0.65,0.62,0.57,0.57,0.57,0.61,0.69,0.68,0.69,0.65,0.57,0.57,0.57,0.57,0.50,0.90,0.60,0.50,0.85,0.62,0.59,0.54,0.65
120-2,NaN,0.79,0.50,0.50,0.54,0.52,0.50,0.50,0.50,0.65,0.50,0.50,0.50,0.32,0.57,0.55,0.59,0.63,0.50,0.50,0.50,0.50,0.60,0.45,0.50,0.60,0.60,0.58,0.60,0.58,0.58
120-3,NaN,0.69,0.50,0.50,0.50,0.58,0.50,0.50,0.50,0.58,0.50,0.50,0.50,0.34,0.69,0.64,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.61,0.50,0.50,0.79,0.50,0.50,0.50,0.50
121-1,NaN,0.64,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.74,0.47,0.47,0.55,0.48,0.50,0.50,0.50,0.50,0.42,0.34,0.50,0.42,0.62,0.47,0.47,0.43,0.43
121-2,NaN,0.61,0.54,0.54,0.50,0.44,0.50,0.50,0.54,0.50,0.50,0.50,0.50,0.68,0.39,0.39,0.60,0.58,0.50,0.50,0.50,0.50,0.47,0.39,0.50,0.47,0.60,0.57,0.53,0.53,0.53
121-3,NaN,0.61,0.50,0.50,0.50,0.61,0.50,0.50,0.50,0.44,0.50,0.50,0.50,0.62,0.57,0.57,0.45,0.50,0.50,0.50,0.50,0.50,0.44,0.67,0.50,0.44,0.77,0.38,0.44,0.44,0.44
122-1,NaN,0.62,0.50,0.54,0.50,0.76,0.50,0.50,0.50,0.44,0.50,0.50,0.50,0.72,0.69,0.68,0.50,0.54,0.50,0.50,0.50,0.50,0.48,0.75,0.50,0.48,0.76,0.58,0.58,0.54,0.58
124-1,NaN,0.48,0.50,0.50,0.54,0.37,0.50,0.50,0.50,0.62,0.58,0.58,0.58,0.81,0.36,0.36,0.48,0.50,0.50,0.50,0.50,0.50,0.75,0.28,0.50,0.75,0.35,0.56,0.75,0.67,0.50
124-2,NaN,0.46,0.50,0.50,0.50,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.61,0.62,0.62,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.16,0.50,0.50,0.15,0.50,0.50,0.50,0.50
124-3,NaN,0.36,0.50,0.50,0.54,0.29,0.50,0.50,0.50,0.62,0.58,0.58,0.58,0.81,0.29,0.29,0.48,0.50,0.50,0.50,0.50,0.50,0.75,0.28,0.50,0.75,0.38,0.56,0.75,0.67,0.50
125-1,NaN,0.85,0.69,0.70,0.64,0.74,0.68,0.68,0.70,0.79,0.67,0.67,0.67,0.61,0.68,0.68,0.74,0.69,0.64,0.64,0.64,0.64,0.51,0.91,0.66,0.51,0.84,0.58,0.54,0.56,0.67
125-2,NaN,0.73,0.47,0.51,0.57,0.67,0.50,0.50,0.50,0.62,0.58,0.58,0.58,0.65,0.67,0.67,0.51,0.53,0.50,0.50,0.50,0.50,0.43,0.77,0.50,0.43,0.80,0.43,0.43,0.35,0.36
125-3,NaN,0.58,0.57,0.57,0.64,0.41,0.57,0.57,0.55,0.55,0.55,0.55,0.59,0.43,0.35,0.35,0.48,0.46,0.56,0.56,0.56,0.56,0.35,0.54,0.56,0.35,0.51,0.35,0.36,0.35,0.34
126-1,NaN,0.58,0.53,0.53,0.54,0.59,0.54,0.54,0.54,0.58,0.54,0.54,0.54,0.71,0.59,0.65,0.65,0.62,0.50,0.50,0.50,0.50,0.62,0.65,0.50,0.62,0.68,0.57,0.62,0.62,0.62
127-1,NaN,0.79,0.57,0.58,0.61,0.89,0.53,0.53,0.58,0.44,0.43,0.43,0.48,0.61,0.87,0.82,0.72,0.56,0.54,0.54,0.54,0.54,0.63,0.88,0.43,0.61,0.94,0.61,0.57,0.56,0.51
127-2,NaN,0.79,0.61,0.62,0.69,0.78,0.60,0.60,0.57,0.58,0.43,0.44,0.56,0.64,0.82,0.78,0.71,0.69,0.62,0.62,0.62,0.62,0.57,0.94,0.52,0.61,0.85,0.56,0.65,0.64,0.55
127-3,NaN,0.43,0.41,0.41,0.43,0.48,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.31,0.48,0.48,0.47,0.41,0.41,0.41,0.41,0.41,0.41,0.32,0.41,0.41,0.46,0.41,0.41,0.41,0.41
128-1,NaN,0.62,0.71,0.71,0.63,0.34,0.66,0.66,0.71,0.71,0.67,0.67,0.67,0.35,0.30,0.30,0.66,0.69,0.67,0.67,0.67,0.67,0.68,0.50,0.67,0.68,0.25,0.64,0.69,0.69,0.69
129-1,NaN,0.84,0.51,0.53,0.75,0.76,0.61,0.61,0.57,0.79,0.60,0.59,0.70,0.69,0.74,0.70,0.64,0.64,0.53,0.55,0.55,0.54,0.55,0.62,0.56,0.55,0.87,0.53,0.55,0.56,0.57
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.84,0.51,0.53,0.75,0.76,0.61,0.61,0.57,0.79,0.60,0.59,0.70,0.69,0.74,0.70,0.64,0.64,0.53,0.55,0.55,0.54,0.55,0.62,0.56,0.55,0.87,0.53,0.55,0.56,0.57
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.70,0.50,0.54,0.50,0.61,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.61,0.61,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.84,0.50,0.54,0.85,0.54,0.54,0.50,0.50
131-2,NaN,0.70,0.50,0.54,0.50,0.61,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.61,0.61,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.84,0.50,0.54,0.85,0.54,0.54,0.50,0.50
131-3,NaN,0.51,0.48,0.48,0.67,0.58,0.42,0.42,0.45,0.49,0.58,0.58,0.58,0.43,0.45,0.43,0.66,0.60,0.48,0.48,0.48,0.48,0.55,0.77,0.48,0.55,0.80,0.55,0.58,0.51,0.52
132-1,NaN,0.68,0.48,0.47,0.62,0.76,0.44,0.44,0.45,0.57,0.54,0.54,0.54,0.81,0.76,0.81,0.53,0.57,0.40,0.40,0.40,0.40,0.44,0.48,0.39,0.44,0.50,0.43,0.40,0.40,0.43
132-2,NaN,0.68,0.48,0.47,0.62,0.76,0.44,0.44,0.45,0.57,0.54,0.54,0.54,0.79,0.76,0.81,0.53,0.57,0.40,0.40,0.40,0.40,0.44,0.47,0.39,0.44,0.53,0.43,0.40,0.40,0.43
65-1,NaN,0.55,0.56,0.52,0.52,0.68,0.54,0.53,0.50,0.49,0.44,0.44,0.48,0.32,0.70,0.70,0.49,0.54,0.54,0.55,0.54,0.54,0.56,0.72,0.50,0.56,0.55,0.49,0.53,0.53,0.46
65-2,NaN,0.62,0.62,0.58,0.60,0.69,0.54,0.53,0.56,0.57,0.50,0.51,0.52,0.32,0.71,0.71,0.54,0.54,0.54,0.55,0.54,0.54,0.56,0.78,0.50,0.56,0.61,0.55,0.53,0.53,0.52
65-3,NaN,0.55,0.57,0.52,0.52,0.68,0.51,0.51,0.49,0.49,0.43,0.44,0.45,0.31,0.70,0.70,0.48,0.51,0.52,0.57,0.53,0.51,0.53,0.72,0.47,0.53,0.54,0.49,0.50,0.51,0.46
68-1,NaN,0.45,0.53,0.54,0.53,0.51,0.53,0.51,0.53,0.57,0.53,0.53,0.53,0.73,0.51,0.51,0.60,0.55,0.55,0.54,0.56,0.55,0.49,0.57,0.55,0.49,0.63,0.49,0.49,0.49,0.49
68-2,NaN,0.59,0.49,0.51,0.58,0.68,0.49,0.49,0.49,0.66,0.48,0.48,0.57,0.70,0.68,0.68,0.57,0.61,0.57,0.57,0.57,0.57,0.61,0.66,0.57,0.61,0.59,0.61,0.61,0.61,0.61
69-1,NaN,0.78,0.55,0.54,0.84,0.64,0.56,0.56,0.61,0.56,0.60,0.55,0.50,0.55,0.63,0.63,0.73,0.60,0.40,0.40,0.40,0.40,0.43,0.75,0.43,0.43,0.73,0.36,0.45,0.42,0.44
69-2,NaN,0.72,0.47,0.48,0.68,0.81,0.45,0.45,0.46,0.43,0.45,0.43,0.43,0.53,0.69,0.69,0.60,0.52,0.34,0.34,0.34,0.34,0.29,0.62,0.38,0.29,0.58,0.23,0.33,0.30,0.32
70-1,NaN,0.73,0.55,0.43,0.79,0.74,0.46,0.46,0.61,0.49,0.67,0.80,0.40,0.05,0.73,0.74,0.74,0.70,0.46,0.46,0.46,0.46,0.81,0.79,0.38,0.86,0.68,0.81,0.72,0.70,0.61
70-2,NaN,0.71,0.66,0.60,0.68,0.68,0.57,0.54,0.66,0.62,0.42,0.42,0.42,0.26,0.82,0.82,0.50,0.72,0.50,0.50,0.50,0.50,0.73,0.71,0.50,0.67,0.61,0.68,0.69,0.72,0.69
70-3,NaN,0.68,0.54,0.54,0.50,0.46,0.50,0.50,0.50,0.65,0.50,0.50,0.50,0.65,0.46,0.59,0.46,0.51,0.50,0.50,0.50,0.50,0.71,0.85,0.50,0.71,0.58,0.71,0.71,0.71,0.71
72-1,NaN,0.42,0.48,0.53,0.54,0.64,0.48,0.48,0.48,0.44,0.58,0.58,0.58,0.63,0.57,0.57,0.52,0.52,0.48,0.48,0.48,0.48,0.57,0.72,0.48,0.57,0.56,0.56,0.57,0.52,0.57
72-2,NaN,0.40,0.48,0.48,0.46,0.62,0.48,0.48,0.48,0.44,0.48,0.48,0.48,0.55,0.62,0.62,0.60,0.58,0.48,0.48,0.48,0.48,0.58,0.70,0.48,0.58,0.66,0.56,0.58,0.58,0.58
73-1,NaN,0.71,0.62,0.62,0.80,0.70,0.59,0.59,0.68,0.48,0.67,0.67,0.69,0.55,0.67,0.70,0.78,0.62,0.56,0.56,0.56,0.56,0.43,0.92,0.65,0.55,0.71,0.52,0.50,0.56,0.60
73-2,NaN,0.71,0.62,0.62,0.79,0.70,0.59,0.59,0.68,0.47,0.65,0.65,0.68,0.55,0.67,0.70,0.78,0.62,0.54,0.54,0.54,0.54,0.43,0.92,0.63,0.55,0.71,0.52,0.50,0.56,0.60
73-3,NaN,0.67,0.59,0.59,0.64,0.61,0.61,0.61,0.55,0.54,0.56,0.55,0.57,0.50,0.56,0.56,0.60,0.64,0.57,0.58,0.57,0.57,0.56,0.62,0.59,0.56,0.56,0.62,0.62,0.62,0.62
74-1,NaN,0.49,0.50,0.50,0.50,0.48,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.62,0.43,0.43,0.55,0.48,0.50,0.50,0.50,0.50,0.48,0.45,0.50,0.48,0.55,0.48,0.48,0.48,0.48
74-2,NaN,0.82,0.40,0.45,0.61,0.69,0.54,0.54,0.41,0.75,0.58,0.58,0.58,0.67,0.69,0.69,0.60,0.66,0.50,0.50,0.50,0.50,0.48,0.89,0.54,0.48,0.91,0.58,0.56,0.58,0.61
75-1,NaN,0.76,0.55,0.54,0.84,0.70,0.56,0.56,0.61,0.56,0.60,0.55,0.50,0.55,0.66,0.66,0.73,0.60,0.40,0.40,0.40,0.40,0.47,0.82,0.43,0.47,0.75,0.41,0.48,0.42,0.44
75-2,NaN,0.74,0.47,0.48,0.68,0.84,0.45,0.45,0.46,0.43,0.45,0.43,0.43,0.56,0.73,0.73,0.60,0.52,0.34,0.34,0.34,0.34,0.35,0.79,0.38,0.35,0.67,0.29,0.39,0.30,0.32
79-1,NaN,0.70,0.65,0.68,0.68,0.60,0.58,0.58,0.64,0.56,0.53,0.53,0.53,0.56,0.65,0.64,0.60,0.67,0.45,0.50,0.45,0.45,0.63,0.88,0.54,0.64,0.72,0.68,0.62,0.58,0.61
79-2,NaN,0.55,0.51,0.53,0.47,0.58,0.42,0.42,0.51,0.47,0.42,0.42,0.42,0.57,0.58,0.58,0.43,0.51,0.38,0.50,0.38,0.38,0.52,0.75,0.48,0.52,0.69,0.57,0.49,0.48,0.52
79-3,NaN,0.86,0.60,0.61,0.68,0.57,0.54,0.54,0.54,0.55,0.52,0.52,0.52,0.43,0.59,0.58,0.46,0.59,0.45,0.50,0.45,0.45,0.56,0.66,0.54,0.56,0.96,0.53,0.52,0.51,0.53
80-1,NaN,0.44,0.50,0.50,0.50,0.58,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.55,0.53,0.53,0.55,0.54,0.50,0.50,0.50,0.50,0.53,0.53,0.50,0.53,0.65,0.58,0.58,0.54,0.54
80-2,NaN,0.80,0.40,0.45,0.61,0.67,0.54,0.54,0.41,0.75,0.58,0.58,0.58,0.68,0.67,0.67,0.60,0.66,0.50,0.50,0.50,0.50,0.56,0.91,0.54,0.56,0.95,0.63,0.61,0.58,0.61
81-1,NaN,0.75,0.50,0.50,0.50,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.57,0.55,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.84,0.50,0.58,0.80,0.54,0.54,0.50,0.50
81-2,NaN,0.75,0.50,0.50,0.50,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.57,0.55,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.84,0.50,0.58,0.80,0.54,0.54,0.50,0.50
82-1,NaN,0.68,0.54,0.58,0.54,0.46,0.54,0.54,0.54,0.58,0.54,0.54,0.54,0.73,0.49,0.49,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.69,0.54,0.54,0.67,0.54,0.54,0.54,0.54
83-1,NaN,0.57,0.58,0.64,0.55,0.50,0.56,0.56,0.58,0.36,0.43,0.43,0.53,0.44,0.58,0.49,0.63,0.52,0.53,0.53,0.53,0.53,0.56,0.48,0.52,0.48,0.57,0.55,0.48,0.50,0.52
83-2,NaN,0.70,0.45,0.47,0.61,0.56,0.53,0.53,0.49,0.48,0.49,0.49,0.49,0.75,0.59,0.62,0.55,0.49,0.53,0.53,0.53,0.53,0.53,0.55,0.49,0.53,0.59,0.46,0.53,0.49,0.46
