ID-model,GO:0005575,GO:0031981,GO:0070013,GO:0043233,GO:0031974,GO:0044428,GO:0005634,GO:0044430,GO:0005615,GO:0044422,GO:0044446,GO:0043234,GO:0032991,GO:0044463,GO:0005856,GO:0005576,GO:0044421,GO:0042995,GO:0044459,GO:0043228,GO:0043232,GO:0005829,GO:0097458,GO:0043229,GO:0043231,GO:0043226,GO:0043227,GO:0043005,GO:0005886,GO:0044425,GO:0044424,GO:0005622,GO:0071944,GO:0016020,GO:0044444,GO:0044464,GO:0005737,GO:0005623,GO:0005654
BLAST-S11,NaN,0.89,0.85,0.85,0.85,0.78,0.76,0.62,0.79,0.76,0.77,0.68,0.69,0.74,0.66,0.76,0.76,0.65,0.76,0.69,0.69,0.74,0.64,0.66,0.67,0.65,0.66,0.65,0.69,0.69,0.62,0.63,0.67,0.63,0.53,0.54,0.46,0.50,0.48
BLAST-S14,NaN,0.93,0.90,0.89,0.89,0.88,0.81,0.80,0.79,0.79,0.78,0.77,0.76,0.76,0.76,0.74,0.74,0.74,0.72,0.72,0.72,0.72,0.71,0.70,0.70,0.69,0.69,0.69,0.67,0.67,0.66,0.66,0.65,0.64,0.60,0.53,0.52,0.51,0.45
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.90,0.87,0.87,0.85,0.85,0.74,0.58,0.73,0.65,0.66,0.64,0.60,0.61,0.53,0.87,0.72,0.70,0.83,0.47,0.47,0.48,0.65,0.49,0.55,0.49,0.54,0.65,0.83,0.83,0.55,0.56,0.80,0.82,0.55,0.63,0.52,0.63,0.51
101-2,NaN,0.55,0.54,0.54,0.54,0.53,0.66,0.54,0.59,0.59,0.61,0.58,0.54,0.50,0.53,0.67,0.57,0.53,0.50,0.51,0.51,0.49,0.50,0.55,0.58,0.55,0.57,0.50,0.56,0.52,0.58,0.56,0.55,0.57,0.58,0.54,0.53,0.53,0.53
101-3,NaN,0.88,0.86,0.85,0.83,0.85,0.82,0.60,0.74,0.71,0.71,0.70,0.67,0.61,0.55,0.90,0.73,0.72,0.80,0.53,0.53,0.47,0.65,0.63,0.66,0.63,0.65,0.65,0.80,0.78,0.69,0.71,0.77,0.82,0.64,0.66,0.67,0.69,0.51
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.48,0.48,0.48,0.48,0.48,0.89,0.74,0.57,0.71,0.73,0.68,0.66,0.50,0.69,0.87,0.63,0.57,0.51,0.65,0.65,0.49,0.57,0.78,0.82,0.77,0.81,0.57,0.64,0.76,0.79,0.80,0.64,0.83,0.78,0.71,0.76,0.73,0.49
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
