ID-model,GO:0005575,GO:0031981,GO:0070013,GO:0043233,GO:0031974,GO:0044428,GO:0005634,GO:0044430,GO:0005615,GO:0044422,GO:0044446,GO:0043234,GO:0032991,GO:0044463,GO:0005856,GO:0005576,GO:0044421,GO:0042995,GO:0044459,GO:0043228,GO:0043232,GO:0005829,GO:0097458,GO:0043229,GO:0043231,GO:0043226,GO:0043227,GO:0043005,GO:0005886,GO:0044425,GO:0044424,GO:0005622,GO:0071944,GO:0016020,GO:0044444,GO:0044464,GO:0005737,GO:0005623,GO:0005654
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.87,0.82,0.82,0.81,0.80,0.67,0.87,0.71,0.70,0.70,0.75,0.69,0.72,0.78,0.85,0.72,0.73,0.82,0.67,0.67,0.73,0.70,0.60,0.58,0.60,0.58,0.72,0.73,0.83,0.62,0.61,0.70,0.70,0.64,0.54,0.60,0.57,0.54
105-2,NaN,0.94,0.87,0.87,0.84,0.85,0.85,0.85,0.77,0.83,0.81,0.76,0.72,0.73,0.78,0.86,0.77,0.78,0.84,0.73,0.73,0.79,0.67,0.77,0.77,0.78,0.77,0.69,0.82,0.83,0.75,0.74,0.78,0.78,0.72,0.70,0.68,0.70,0.38
105-3,NaN,0.93,0.86,0.86,0.84,0.87,0.76,0.82,0.80,0.75,0.74,0.80,0.73,0.74,0.76,0.85,0.78,0.76,0.82,0.68,0.68,0.85,0.64,0.66,0.66,0.67,0.66,0.66,0.77,0.77,0.67,0.66,0.74,0.74,0.67,0.61,0.61,0.62,0.87
106-1,NaN,0.47,0.47,0.47,0.47,0.47,0.86,0.49,0.61,0.78,0.83,0.56,0.54,0.50,0.49,0.83,0.66,0.64,0.52,0.70,0.70,0.99,0.61,0.79,0.78,0.79,0.78,0.61,0.58,0.79,0.74,0.76,0.58,0.82,0.78,0.68,0.65,0.69,0.49
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.45,0.45,0.45,0.45,0.45,0.86,0.49,0.64,0.79,0.87,0.55,0.43,0.50,0.49,0.82,0.70,0.74,0.56,0.68,0.68,0.98,0.65,0.87,0.84,0.87,0.84,0.65,0.74,0.79,0.83,0.83,0.74,0.81,0.90,0.75,0.78,0.74,0.48
107-1,NaN,0.81,0.71,0.70,0.67,0.73,0.66,0.80,0.79,0.61,0.59,0.74,0.75,0.71,0.72,0.84,0.78,0.71,0.79,0.75,0.75,0.75,0.62,0.58,0.55,0.58,0.56,0.58,0.75,0.77,0.62,0.60,0.72,0.66,0.69,0.57,0.66,0.61,0.77
107-2,NaN,0.90,0.84,0.84,0.83,0.83,0.91,0.81,0.80,0.77,0.78,0.73,0.66,0.66,0.77,0.90,0.80,0.71,0.75,0.70,0.70,0.65,0.66,0.78,0.80,0.78,0.80,0.67,0.80,0.77,0.78,0.78,0.77,0.78,0.67,0.72,0.66,0.74,0.82
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.80,0.75,0.75,0.74,0.71,0.72,0.81,0.77,0.70,0.67,0.64,0.68,0.69,0.78,0.85,0.75,0.71,0.79,0.76,0.76,0.68,0.64,0.71,0.70,0.70,0.69,0.67,0.68,0.72,0.68,0.69,0.66,0.66,0.66,0.66,0.58,0.63,0.77
110-2,NaN,0.84,0.78,0.78,0.80,0.69,0.70,0.71,0.60,0.67,0.65,0.73,0.72,0.65,0.69,0.79,0.69,0.66,0.69,0.65,0.65,0.67,0.67,0.65,0.64,0.66,0.62,0.66,0.73,0.69,0.70,0.72,0.70,0.73,0.58,0.61,0.51,0.62,0.94
110-3,NaN,0.63,0.62,0.61,0.59,0.60,0.58,0.61,0.56,0.55,0.56,0.54,0.51,0.67,0.64,0.68,0.59,0.67,0.62,0.65,0.65,0.50,0.55,0.60,0.57,0.59,0.56,0.58,0.66,0.55,0.61,0.62,0.64,0.61,0.61,0.50,0.58,0.49,0.54
111-1,NaN,0.83,0.75,0.74,0.74,0.71,0.67,0.82,0.77,0.69,0.67,0.64,0.65,0.69,0.79,0.86,0.76,0.72,0.79,0.74,0.74,0.69,0.65,0.70,0.66,0.71,0.65,0.68,0.70,0.76,0.69,0.69,0.69,0.71,0.68,0.68,0.60,0.65,0.83
111-2,NaN,0.78,0.74,0.73,0.70,0.70,0.66,0.67,0.56,0.59,0.61,0.53,0.49,0.67,0.69,0.74,0.67,0.67,0.65,0.68,0.68,0.50,0.55,0.61,0.54,0.61,0.53,0.58,0.68,0.63,0.60,0.62,0.65,0.64,0.60,0.55,0.60,0.55,0.74
111-3,NaN,0.75,0.57,0.57,0.57,0.75,0.80,0.98,0.50,0.52,0.56,0.27,0.26,0.47,0.98,0.98,0.97,0.47,0.73,0.44,0.44,NaN,0.45,0.48,0.40,0.58,0.40,0.50,0.64,0.89,0.49,0.49,0.75,0.77,0.46,0.45,0.50,0.45,0.82
112-1,NaN,0.93,0.90,0.90,0.88,0.80,0.79,0.88,0.79,0.76,0.74,0.72,0.72,0.75,0.85,0.88,0.78,0.74,0.76,0.79,0.79,0.70,0.66,0.72,0.68,0.72,0.67,0.69,0.77,0.73,0.75,0.77,0.76,0.76,0.67,0.66,0.58,0.66,0.91
112-2,NaN,0.93,0.90,0.90,0.88,0.80,0.79,0.88,0.79,0.76,0.75,0.71,0.72,0.74,0.86,0.88,0.78,0.74,0.77,0.79,0.79,0.70,0.66,0.72,0.69,0.72,0.67,0.69,0.77,0.73,0.75,0.77,0.76,0.76,0.67,0.67,0.58,0.67,0.92
112-3,NaN,0.94,0.91,0.91,0.89,0.80,0.79,0.87,0.79,0.76,0.74,0.73,0.74,0.76,0.84,0.88,0.78,0.73,0.77,0.77,0.77,0.70,0.66,0.71,0.69,0.72,0.68,0.70,0.78,0.72,0.74,0.77,0.76,0.75,0.66,0.67,0.57,0.67,0.92
113-1,NaN,0.94,0.91,0.91,0.89,0.80,0.79,0.88,0.79,0.77,0.74,0.73,0.73,0.74,0.86,0.88,0.78,0.74,0.77,0.78,0.78,0.70,0.66,0.72,0.69,0.73,0.68,0.69,0.78,0.73,0.74,0.77,0.77,0.76,0.67,0.67,0.57,0.67,0.92
113-2,NaN,0.82,0.79,0.78,0.72,0.74,0.70,0.64,0.62,0.64,0.63,0.66,0.63,0.70,0.66,0.75,0.68,0.68,0.66,0.67,0.67,0.55,0.53,0.65,0.62,0.64,0.61,0.57,0.64,0.55,0.66,0.67,0.60,0.59,0.62,0.51,0.57,0.51,0.65
113-3,NaN,0.86,0.77,0.77,0.77,0.73,0.69,0.82,0.77,0.69,0.68,0.64,0.65,0.68,0.78,0.85,0.75,0.71,0.78,0.71,0.71,0.75,0.64,0.70,0.66,0.72,0.66,0.67,0.71,0.74,0.66,0.67,0.70,0.70,0.71,0.67,0.61,0.64,0.87
114-1,NaN,0.81,0.74,0.74,0.73,0.78,0.87,0.92,0.83,0.77,0.76,0.84,0.79,0.75,0.83,0.92,0.81,0.70,0.76,0.77,0.77,0.74,0.65,0.73,0.74,0.73,0.73,0.61,0.75,0.75,0.76,0.78,0.73,0.74,0.73,0.67,0.70,0.69,0.49
115-1,NaN,0.94,0.90,0.90,0.86,0.84,0.89,0.88,0.86,0.82,0.83,0.76,0.73,0.69,0.86,0.93,0.80,0.68,0.71,0.80,0.80,0.79,0.63,0.79,0.80,0.78,0.78,0.65,0.71,0.80,0.78,0.79,0.70,0.78,0.79,0.68,0.73,0.67,0.93
116-1,NaN,0.52,0.51,0.51,0.51,0.56,0.76,0.87,0.55,0.83,0.82,0.78,0.74,0.64,0.81,0.85,0.59,0.64,0.57,0.69,0.69,0.49,0.56,0.73,0.76,0.73,0.74,0.56,0.53,0.69,0.77,0.77,0.52,0.76,0.66,0.67,0.70,0.66,0.49
116-2,NaN,0.53,0.53,0.53,0.53,0.53,0.53,0.74,0.55,0.82,0.83,0.57,0.52,0.50,0.69,0.92,0.59,0.55,0.62,0.63,0.63,0.50,0.60,0.73,0.55,0.73,0.53,0.60,0.57,0.74,0.77,0.78,0.57,0.69,0.60,0.65,0.59,0.63,0.49
117-1,NaN,0.89,0.82,0.82,0.81,0.77,0.80,0.82,0.84,0.76,0.75,0.72,0.71,0.76,0.76,0.87,0.82,0.78,0.81,0.68,0.68,0.78,0.67,0.69,0.72,0.69,0.72,0.69,0.79,0.80,0.70,0.70,0.76,0.79,0.71,0.59,0.65,0.58,0.94
117-2,NaN,0.46,0.46,0.46,0.46,0.52,0.57,0.72,NaN,0.87,0.83,0.97,0.84,0.65,0.70,0.50,NaN,0.78,0.63,0.58,0.58,0.50,0.50,0.86,0.60,0.86,0.60,0.50,0.83,0.83,0.85,0.88,0.81,0.87,0.53,0.73,0.50,0.78,0.46
119-1,NaN,0.93,0.89,0.89,0.86,0.86,0.83,0.76,0.82,0.75,0.74,0.73,0.74,0.76,0.71,0.86,0.83,0.77,0.77,0.71,0.71,0.68,0.66,0.71,0.72,0.70,0.71,0.64,0.76,0.75,0.71,0.72,0.74,0.74,0.69,0.67,0.64,0.66,0.90
120-1,NaN,0.95,0.89,0.89,0.85,0.82,0.85,0.91,0.87,0.76,0.75,0.85,0.83,0.74,0.85,0.90,0.82,0.77,0.80,0.77,0.77,0.73,0.75,0.72,0.74,0.72,0.73,0.78,0.75,0.75,0.76,0.77,0.74,0.72,0.70,0.67,0.68,0.69,0.92
120-2,NaN,0.88,0.84,0.84,0.82,0.81,0.84,0.67,0.85,0.64,0.66,0.80,0.76,0.52,0.79,0.86,0.78,0.63,0.76,0.76,0.76,0.74,0.50,0.74,0.71,0.74,0.72,0.50,0.77,0.76,0.81,0.82,0.78,0.79,0.68,0.74,0.69,0.77,0.84
120-3,NaN,0.87,0.84,0.84,0.82,0.76,0.79,0.54,0.89,0.65,0.66,0.77,0.74,0.50,0.60,0.86,0.82,0.50,0.66,0.62,0.62,0.65,0.50,0.65,0.64,0.66,0.65,0.50,0.76,0.72,0.75,0.75,0.76,0.81,0.62,0.75,0.58,0.76,0.85
121-1,NaN,0.53,0.53,0.53,0.52,0.57,0.86,0.80,0.58,0.73,0.76,0.71,0.68,0.55,0.75,0.93,0.68,0.57,0.52,0.72,0.72,0.49,0.55,0.75,0.78,0.76,0.77,0.55,0.68,0.76,0.79,0.80,0.66,0.81,0.76,0.69,0.78,0.72,0.50
121-2,NaN,NaN,NaN,NaN,NaN,NaN,0.95,0.50,NaN,0.75,0.50,0.75,0.83,1.00,1.00,NaN,NaN,1.00,NaN,1.00,1.00,NaN,NaN,0.88,0.92,0.92,0.92,NaN,1.00,NaN,1.00,1.00,1.00,1.00,NaN,NaN,0.92,NaN,NaN
121-3,NaN,0.59,0.58,0.58,0.57,0.60,0.85,0.80,0.58,0.75,0.75,0.75,0.70,0.63,0.74,0.93,0.68,0.66,0.55,0.68,0.68,0.47,0.55,0.75,0.79,0.75,0.78,0.55,0.69,0.76,0.76,0.78,0.68,0.84,0.75,0.70,0.73,0.74,0.48
122-1,NaN,0.58,0.57,0.57,0.56,0.56,0.83,0.64,0.49,0.72,0.73,0.59,0.56,0.56,0.69,0.82,0.55,0.58,0.59,0.64,0.64,0.72,0.56,0.74,0.74,0.73,0.72,0.56,0.60,0.66,0.74,0.77,0.60,0.79,0.67,0.66,0.67,0.66,0.52
124-1,NaN,0.82,0.80,0.80,0.76,0.73,0.54,0.69,0.81,0.57,0.56,0.60,0.52,0.65,0.68,0.89,0.87,0.69,0.67,0.56,0.56,0.62,0.68,0.41,0.41,0.41,0.42,0.69,0.66,0.45,0.38,0.38,0.65,0.55,0.49,0.41,0.43,0.39,0.88
124-2,NaN,0.71,0.69,0.69,0.68,0.62,0.63,0.53,0.54,0.57,0.57,0.39,0.41,0.56,0.53,0.59,0.66,0.56,0.56,0.46,0.46,0.50,0.53,0.41,0.39,0.41,0.39,0.54,0.56,0.38,0.36,0.35,0.55,0.48,0.41,0.42,0.42,0.41,0.53
124-3,NaN,0.80,0.79,0.79,0.75,0.72,0.37,0.68,0.75,0.40,0.37,0.62,0.56,0.64,0.67,0.84,0.80,0.69,0.68,0.56,0.56,0.63,0.68,0.31,0.32,0.31,0.33,0.69,0.58,0.35,0.33,0.33,0.57,0.34,0.47,0.36,0.41,0.34,0.88
125-1,NaN,0.66,0.63,0.63,0.61,0.65,0.86,0.79,0.79,0.77,0.76,0.81,0.77,0.66,0.74,0.91,0.77,0.66,0.76,0.72,0.72,0.71,0.58,0.74,0.74,0.74,0.73,0.59,0.74,0.75,0.77,0.78,0.73,0.74,0.74,0.67,0.70,0.69,0.49
125-2,NaN,0.88,0.82,0.81,0.79,0.78,0.74,0.85,0.63,0.67,0.65,0.73,0.72,0.68,0.77,0.87,0.68,0.70,0.82,0.72,0.72,0.65,0.67,0.68,0.66,0.69,0.64,0.66,0.73,0.78,0.70,0.72,0.70,0.70,0.75,0.63,0.74,0.65,0.55
125-3,NaN,0.98,0.94,0.93,0.90,0.82,0.77,0.78,0.82,0.71,0.71,0.59,0.63,0.75,0.66,0.81,0.78,0.71,0.73,0.66,0.66,0.64,0.64,0.64,0.64,0.63,0.63,0.64,0.67,0.65,0.63,0.65,0.67,0.62,0.57,0.56,0.50,0.54,0.99
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.93,0.89,0.89,0.86,0.82,0.84,0.83,0.88,0.81,0.80,0.77,0.78,0.71,0.78,0.93,0.92,0.74,0.76,0.77,0.78,0.66,0.72,0.82,0.79,0.81,0.78,0.66,0.78,0.73,0.80,0.80,0.76,0.76,0.79,0.60,0.74,0.62,0.85
127-2,NaN,0.92,0.88,0.87,0.84,0.83,0.85,0.83,0.82,0.85,0.85,0.74,0.74,0.82,0.74,0.92,0.85,0.82,0.81,0.74,0.75,0.70,0.74,0.83,0.77,0.81,0.76,0.72,0.81,0.78,0.80,0.79,0.79,0.79,0.77,0.63,0.71,0.62,0.90
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.88,0.80,0.76,0.76,0.81,0.85,0.81,0.56,0.49,0.51,0.62,0.59,0.74,0.81,0.70,0.55,0.62,0.65,0.70,0.70,0.54,0.69,0.51,0.58,0.48,0.55,0.70,0.65,0.65,0.51,0.52,0.60,0.64,0.57,0.34,0.61,0.31,0.87
129-1,NaN,0.94,0.90,0.90,0.88,0.82,0.83,0.87,0.80,0.77,0.78,0.77,0.78,0.79,0.80,0.87,0.78,0.73,0.79,0.70,0.70,0.75,0.67,0.71,0.72,0.72,0.73,0.68,0.81,0.79,0.74,0.74,0.78,0.77,0.74,0.61,0.70,0.60,0.86
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.94,0.90,0.90,0.88,0.82,0.83,0.87,0.80,0.77,0.78,0.77,0.78,0.79,0.80,0.87,0.78,0.73,0.79,0.70,0.70,0.75,0.67,0.71,0.72,0.72,0.73,0.68,0.81,0.79,0.74,0.74,0.78,0.77,0.74,0.61,0.70,0.60,0.86
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.62,0.61,0.61,0.60,0.63,0.87,0.73,0.54,0.78,0.78,0.72,0.66,0.64,0.69,0.92,0.64,0.65,0.65,0.64,0.64,0.73,0.53,0.76,0.75,0.75,0.74,0.53,0.70,0.76,0.77,0.79,0.68,0.79,0.76,0.71,0.74,0.73,0.51
131-2,NaN,0.54,0.53,0.53,0.52,0.56,0.86,0.73,0.54,0.77,0.77,0.70,0.64,0.65,0.69,0.92,0.64,0.61,0.61,0.66,0.66,0.57,0.53,0.77,0.78,0.77,0.77,0.54,0.70,0.75,0.81,0.81,0.68,0.80,0.77,0.73,0.76,0.76,0.52
131-3,NaN,0.79,0.75,0.75,0.73,0.74,0.87,0.75,0.66,0.81,0.79,0.78,0.71,0.68,0.74,0.94,0.70,0.72,0.69,0.69,0.69,0.55,0.50,0.76,0.70,0.76,0.71,0.53,0.73,0.79,0.77,0.78,0.69,0.80,0.71,0.72,0.72,0.75,0.68
132-1,NaN,0.88,0.81,0.81,0.80,0.74,0.70,0.88,0.78,0.71,0.70,0.72,0.74,0.75,0.85,0.88,0.75,0.74,0.75,0.78,0.78,0.71,0.61,0.71,0.66,0.69,0.65,0.63,0.74,0.69,0.72,0.76,0.72,0.74,0.69,0.64,0.60,0.64,0.86
132-2,NaN,0.88,0.81,0.81,0.81,0.73,0.70,0.87,0.78,0.71,0.68,0.73,0.75,0.75,0.84,0.88,0.75,0.73,0.76,0.76,0.76,0.71,0.64,0.69,0.66,0.69,0.65,0.67,0.74,0.68,0.71,0.75,0.72,0.73,0.68,0.64,0.60,0.64,0.86
65-1,NaN,0.87,0.85,0.83,0.81,0.78,0.71,0.66,0.80,0.68,0.68,0.66,0.62,0.62,0.55,0.82,0.81,0.63,0.74,0.54,0.54,0.78,0.56,0.58,0.58,0.59,0.58,0.55,0.70,0.68,0.60,0.59,0.69,0.65,0.57,0.53,0.53,0.50,0.91
65-2,NaN,0.89,0.85,0.85,0.80,0.76,0.79,0.72,0.80,0.67,0.70,0.72,0.67,0.61,0.60,0.82,0.80,0.64,0.71,0.57,0.57,0.77,0.55,0.61,0.59,0.61,0.60,0.51,0.72,0.66,0.63,0.62,0.71,0.67,0.58,0.54,0.58,0.55,0.90
65-3,NaN,0.89,0.85,0.85,0.79,0.75,0.72,0.65,0.80,0.67,0.68,0.66,0.63,0.62,0.58,0.85,0.84,0.64,0.73,0.54,0.54,0.74,0.53,0.59,0.58,0.59,0.58,0.47,0.69,0.69,0.60,0.60,0.70,0.65,0.58,0.53,0.53,0.51,0.90
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-2,NaN,0.70,0.62,0.62,0.59,0.61,0.84,0.87,0.91,0.79,0.78,0.81,0.73,0.69,0.84,0.93,0.88,0.69,0.71,0.76,0.76,0.78,0.69,0.75,0.74,0.74,0.74,0.71,0.65,0.75,0.76,0.76,0.64,0.76,0.72,0.57,0.69,0.56,0.33
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
