ID-model,GO:0005575,GO:0005576,GO:0005634,GO:0016020,GO:0071944,GO:0005886,GO:0044446,GO:0044422,GO:0005623,GO:0005829,GO:0043228,GO:0043232,GO:0042995,GO:0043229,GO:0043226,GO:0043231,GO:0043227,GO:0044464,GO:0044424,GO:0005622,GO:0005737,GO:0044444
BLAST-S11,NaN,0.87,0.80,0.60,0.73,0.70,0.52,0.51,0.65,0.57,0.58,0.58,0.62,0.52,0.51,0.54,0.54,0.51,0.49,0.47,0.46,0.39
BLAST-S14,NaN,0.90,0.85,0.80,0.76,0.74,0.72,0.71,0.67,0.62,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.58,0.55,0.53,0.51,0.50
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.88,0.77,0.64,0.73,0.75,0.66,0.66,0.63,0.51,0.66,0.66,0.55,0.53,0.53,0.55,0.56,0.49,0.42,0.46,0.49,0.50
101-2,NaN,0.63,0.61,0.54,0.56,0.56,0.47,0.47,0.52,0.48,0.47,0.47,0.50,0.56,0.56,0.55,0.55,0.56,0.56,0.54,0.50,0.48
101-3,NaN,0.93,0.92,0.72,0.71,0.72,0.70,0.69,0.79,0.53,0.68,0.68,0.56,0.72,0.72,0.72,0.72,0.68,0.68,0.69,0.58,0.52
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.84,0.74,0.62,0.53,0.53,0.69,0.68,0.74,0.50,0.56,0.56,0.58,0.66,0.66,0.66,0.66,0.61,0.60,0.63,0.54,0.56
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.89,0.73,0.65,0.66,0.66,0.70,0.70,0.57,0.58,0.72,0.72,0.73,0.61,0.61,0.60,0.60,0.53,0.57,0.58,0.42,0.49
105-2,NaN,0.92,0.81,0.73,0.73,0.73,0.66,0.67,0.73,0.55,0.76,0.76,0.73,0.65,0.65,0.67,0.67,0.67,0.61,0.65,0.55,0.54
105-3,NaN,0.89,0.73,0.68,0.71,0.71,0.63,0.63,0.67,0.64,0.74,0.74,0.69,0.58,0.58,0.60,0.60,0.56,0.56,0.58,0.49,0.57
106-1,NaN,0.71,0.63,0.53,0.63,0.63,0.61,0.61,0.55,0.54,0.56,0.56,0.50,0.59,0.59,0.57,0.57,0.57,0.59,0.58,0.55,0.56
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.62,0.61,0.61,0.63,0.63,0.58,0.58,0.53,0.54,0.56,0.56,0.50,0.60,0.60,0.57,0.57,0.59,0.60,0.59,0.55,0.56
107-1,NaN,0.85,0.77,0.75,0.74,0.74,0.64,0.65,0.59,0.56,0.70,0.70,0.68,0.58,0.57,0.60,0.60,0.59,0.58,0.59,0.55,0.49
107-2,NaN,0.95,0.87,0.75,0.74,0.74,0.50,0.50,0.86,0.51,0.68,0.68,0.59,0.70,0.70,0.73,0.73,0.70,0.65,0.64,0.59,0.59
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.91,0.80,0.74,0.81,0.81,0.65,0.62,0.60,0.56,0.60,0.60,0.56,0.54,0.54,0.56,0.55,0.51,0.48,0.48,0.44,0.49
110-2,NaN,0.83,0.89,0.68,0.74,0.75,0.59,0.59,0.77,0.50,0.70,0.70,0.65,0.68,0.66,0.69,0.67,0.64,0.60,0.64,0.49,0.55
110-3,NaN,0.71,0.60,0.62,0.58,0.59,0.61,0.57,0.69,0.65,0.65,0.65,0.55,0.59,0.59,0.59,0.59,0.64,0.64,0.63,0.67,0.66
111-1,NaN,0.90,0.74,0.75,0.80,0.81,0.65,0.62,0.65,0.58,0.57,0.57,0.54,0.51,0.52,0.52,0.51,0.50,0.47,0.47,0.47,0.49
111-2,NaN,0.76,0.62,0.62,0.58,0.58,0.71,0.67,0.71,0.64,0.68,0.68,0.55,0.58,0.59,0.58,0.57,0.62,0.63,0.62,0.68,0.68
111-3,NaN,0.55,0.52,0.50,0.48,0.48,0.59,0.58,0.56,0.50,0.56,0.56,0.50,0.55,0.55,0.54,0.54,0.53,0.54,0.53,0.53,0.53
112-1,NaN,0.95,0.90,0.80,0.82,0.83,0.74,0.73,0.80,0.58,0.74,0.74,0.66,0.70,0.69,0.69,0.66,0.65,0.64,0.66,0.55,0.58
112-2,NaN,0.95,0.90,0.80,0.82,0.83,0.75,0.73,0.80,0.58,0.73,0.73,0.65,0.70,0.69,0.68,0.66,0.65,0.63,0.65,0.54,0.57
112-3,NaN,0.94,0.90,0.79,0.82,0.83,0.71,0.69,0.78,0.58,0.74,0.74,0.66,0.70,0.69,0.69,0.67,0.66,0.65,0.68,0.55,0.58
113-1,NaN,0.95,0.91,0.79,0.83,0.84,0.72,0.70,0.78,0.58,0.74,0.74,0.65,0.70,0.68,0.69,0.66,0.65,0.64,0.67,0.54,0.57
113-2,NaN,0.71,0.60,0.59,0.54,0.55,0.61,0.57,0.66,0.65,0.63,0.63,0.55,0.56,0.56,0.56,0.55,0.62,0.63,0.63,0.69,0.68
113-3,NaN,0.90,0.76,0.72,0.78,0.78,0.57,0.54,0.61,0.58,0.58,0.58,0.54,0.48,0.48,0.53,0.52,0.47,0.45,0.46,0.47,0.49
114-1,NaN,0.94,0.92,0.77,0.76,0.76,0.80,0.78,0.77,0.51,0.73,0.73,0.71,0.69,0.68,0.70,0.70,0.65,0.59,0.62,0.55,0.55
115-1,NaN,0.94,0.90,0.77,0.76,0.76,0.72,0.69,0.88,0.49,0.75,0.75,0.70,0.68,0.67,0.71,0.71,0.66,0.66,0.66,0.59,0.59
116-1,NaN,0.73,0.72,0.55,0.54,0.54,0.57,0.56,0.67,0.54,0.51,0.51,0.53,0.60,0.60,0.63,0.63,0.57,0.61,0.58,0.56,0.55
116-2,NaN,0.66,0.67,0.48,0.52,0.52,0.52,0.52,0.60,0.55,0.52,0.52,0.50,0.58,0.58,0.61,0.61,0.55,0.57,0.54,0.55,0.52
117-1,NaN,0.89,0.88,0.71,0.71,0.73,0.63,0.61,0.72,0.63,0.63,0.63,0.70,0.68,0.68,0.70,0.70,0.57,0.63,0.65,0.55,0.58
117-2,NaN,0.49,0.52,0.53,0.59,0.59,0.54,0.53,0.58,0.50,0.50,0.50,0.56,0.49,0.49,0.51,0.51,0.52,0.49,0.50,0.52,0.49
119-1,NaN,0.87,0.85,0.83,0.90,0.90,0.68,0.67,0.73,0.69,0.59,0.59,0.65,0.60,0.59,0.65,0.65,0.60,0.57,0.57,0.59,0.63
120-1,NaN,0.93,0.90,0.75,0.77,0.76,0.79,0.76,0.84,0.57,0.75,0.75,0.66,0.68,0.67,0.70,0.70,0.67,0.60,0.63,0.57,0.59
120-2,NaN,0.94,0.86,0.78,0.84,0.84,0.64,0.57,0.91,0.48,0.66,0.66,0.61,0.69,0.69,0.68,0.67,0.77,0.66,0.66,0.63,0.59
120-3,NaN,0.85,0.79,0.72,0.70,0.69,0.62,0.59,0.84,0.54,0.59,0.59,0.50,0.71,0.70,0.67,0.66,0.76,0.69,0.71,0.62,0.64
121-1,NaN,0.86,0.80,0.66,0.57,0.57,0.68,0.67,0.80,0.49,0.61,0.61,0.54,0.68,0.68,0.70,0.70,0.63,0.59,0.60,0.52,0.57
121-2,NaN,0.53,0.50,0.57,0.56,0.56,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.48,0.48,0.48,0.49
121-3,NaN,0.85,0.82,0.66,0.62,0.62,0.72,0.71,0.80,0.54,0.59,0.59,0.58,0.69,0.69,0.71,0.71,0.63,0.63,0.64,0.54,0.59
122-1,NaN,0.84,0.81,0.69,0.68,0.68,0.72,0.70,0.74,0.49,0.60,0.60,0.59,0.65,0.64,0.65,0.64,0.60,0.60,0.58,0.53,0.52
124-1,NaN,0.72,0.54,0.59,0.80,0.78,0.55,0.57,0.30,0.36,0.58,0.58,0.62,0.43,0.43,0.41,0.41,0.43,0.49,0.44,0.46,0.50
124-2,NaN,0.65,0.72,0.36,0.63,0.61,0.51,0.54,0.26,0.50,0.48,0.48,0.57,0.40,0.40,0.34,0.34,0.41,0.44,0.40,0.40,0.44
124-3,NaN,0.68,0.43,0.58,0.58,0.59,0.54,0.53,0.29,0.36,0.59,0.59,0.60,0.40,0.40,0.38,0.38,0.42,0.47,0.43,0.49,0.49
125-1,NaN,0.94,0.91,0.77,0.75,0.75,0.78,0.75,0.80,0.53,0.69,0.69,0.58,0.67,0.67,0.69,0.69,0.66,0.59,0.62,0.55,0.55
125-2,NaN,0.88,0.87,0.74,0.80,0.78,0.76,0.77,0.77,0.62,0.61,0.61,0.63,0.68,0.67,0.69,0.69,0.66,0.63,0.66,0.56,0.57
125-3,NaN,0.90,0.83,0.78,0.71,0.72,0.65,0.63,0.68,0.68,0.63,0.63,0.49,0.58,0.58,0.61,0.60,0.53,0.56,0.53,0.57,0.58
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.85,0.91,0.76,0.85,0.86,0.67,0.65,0.80,0.64,0.72,0.72,0.69,0.63,0.63,0.68,0.67,0.60,0.54,0.55,0.65,0.65
127-2,NaN,0.83,0.92,0.76,0.86,0.87,0.64,0.59,0.86,0.58,0.70,0.71,0.62,0.72,0.70,0.75,0.73,0.64,0.60,0.64,0.66,0.65
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.59,0.64,0.57,0.54,0.56,0.53,0.54,0.52,0.51,0.63,0.63,0.71,0.50,0.50,0.51,0.51,0.58,0.54,0.56,0.52,0.54
129-1,NaN,0.90,0.83,0.78,0.83,0.84,0.67,0.67,0.80,0.57,0.77,0.77,0.70,0.70,0.69,0.71,0.70,0.65,0.58,0.64,0.55,0.62
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.90,0.83,0.78,0.83,0.84,0.67,0.67,0.80,0.57,0.77,0.77,0.70,0.70,0.69,0.71,0.70,0.65,0.58,0.64,0.55,0.62
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.95,0.88,0.72,0.67,0.64,0.76,0.74,0.87,0.48,0.61,0.61,0.58,0.69,0.69,0.71,0.71,0.67,0.64,0.65,0.57,0.57
131-2,NaN,0.93,0.89,0.74,0.64,0.64,0.76,0.74,0.84,0.50,0.61,0.61,0.59,0.69,0.69,0.72,0.71,0.64,0.65,0.66,0.57,0.58
131-3,NaN,0.92,0.88,0.70,0.77,0.75,0.67,0.63,0.79,0.61,0.72,0.72,0.65,0.65,0.64,0.68,0.68,0.59,0.60,0.61,0.56,0.52
132-1,NaN,0.96,0.89,0.81,0.80,0.81,0.73,0.71,0.80,0.55,0.69,0.69,0.62,0.71,0.71,0.73,0.71,0.67,0.67,0.68,0.58,0.62
132-2,NaN,0.95,0.90,0.79,0.79,0.80,0.73,0.71,0.79,0.55,0.69,0.69,0.62,0.73,0.72,0.74,0.72,0.68,0.69,0.71,0.58,0.62
65-1,NaN,0.70,0.73,0.58,0.63,0.64,0.58,0.58,0.52,0.28,0.68,0.68,0.70,0.55,0.55,0.50,0.49,0.44,0.48,0.49,0.42,0.40
65-2,NaN,0.69,0.73,0.57,0.63,0.65,0.58,0.57,0.51,0.46,0.69,0.69,0.71,0.55,0.54,0.49,0.48,0.43,0.48,0.49,0.44,0.41
65-3,NaN,0.71,0.73,0.57,0.62,0.64,0.58,0.56,0.51,0.47,0.68,0.68,0.71,0.55,0.55,0.49,0.49,0.44,0.48,0.49,0.42,0.40
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-2,NaN,0.93,0.84,0.75,0.69,0.68,0.72,0.69,0.85,0.49,0.82,0.82,0.45,0.72,0.72,0.72,0.72,0.71,0.67,0.67,0.63,0.57
70-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
70-2,NaN,0.90,0.89,0.80,0.81,0.82,0.69,0.68,0.71,0.53,0.71,0.65,0.72,0.74,0.74,0.77,0.76,0.59,0.66,0.69,0.52,0.61
70-3,NaN,0.94,0.90,0.71,0.70,0.74,0.68,0.65,0.86,0.55,0.70,0.70,0.69,0.67,0.68,0.75,0.75,0.67,0.64,0.68,0.66,0.64
72-1,NaN,0.73,0.86,0.71,0.64,0.64,0.70,0.68,0.77,0.54,0.60,0.60,0.59,0.66,0.65,0.60,0.61,0.66,0.64,0.65,0.54,0.57
