ID-model,GO:0003674,GO:0004672,GO:0016301,GO:0016773,GO:0016772,GO:0016740,GO:0003824,GO:0005515,GO:0005488
65-3,NaN,0.95,0.97,0.95,0.86,0.81,0.56,0.63,0.56
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.99,0.99,0.99,0.99,0.97,0.86,0.63,0.59
69-2,NaN,0.99,0.99,0.99,0.99,0.97,0.85,0.62,0.55
70-1,NaN,0.94,0.94,0.94,0.94,0.91,0.88,0.73,0.81
70-2,NaN,0.94,0.93,0.96,0.85,0.52,0.55,0.49,0.59
70-3,NaN,0.96,0.96,0.97,0.84,0.82,0.71,0.35,0.54
72-1,NaN,0.92,0.92,0.92,0.95,0.90,0.84,0.60,0.63
72-2,NaN,0.90,0.90,0.90,0.88,0.78,0.69,0.50,0.56
73-1,NaN,0.90,0.89,0.90,0.90,0.83,0.73,0.75,0.56
73-2,NaN,0.90,0.89,0.90,0.90,0.84,0.73,0.75,0.56
73-3,NaN,0.94,0.94,0.94,0.89,0.78,0.62,0.61,0.53
74-1,NaN,0.91,0.91,0.91,0.84,0.87,0.78,0.57,0.37
74-2,NaN,0.94,0.94,0.94,0.99,0.96,0.89,0.72,0.58
75-1,NaN,0.99,0.99,0.99,0.99,0.97,0.86,0.62,0.59
75-2,NaN,0.99,0.99,0.99,0.99,0.96,0.85,0.61,0.56
79-1,NaN,0.98,0.99,0.99,0.98,0.91,0.82,0.68,0.67
79-2,NaN,1.00,1.00,1.00,0.98,0.94,0.89,0.57,0.71
79-3,NaN,1.00,1.00,1.00,1.00,0.94,0.83,0.64,0.65
80-1,NaN,0.92,0.92,0.92,0.87,0.89,0.85,0.53,0.36
80-2,NaN,0.94,0.94,0.94,0.99,0.96,0.89,0.70,0.60
81-1,NaN,1.00,1.00,1.00,1.00,0.93,0.78,0.47,0.37
81-2,NaN,1.00,1.00,1.00,1.00,0.93,0.78,0.47,0.37
82-1,NaN,0.95,0.95,0.95,0.94,0.89,0.88,0.62,0.60
83-1,NaN,0.94,0.93,0.94,0.94,0.90,0.86,0.76,0.67
83-2,NaN,0.94,0.93,0.94,0.94,0.94,0.90,0.77,0.67
84-1,NaN,0.95,0.91,0.93,0.88,0.76,0.80,0.63,0.44
85-1,NaN,1.00,1.00,1.00,1.00,0.98,0.88,0.87,0.75
85-2,NaN,1.00,1.00,1.00,1.00,0.98,0.88,0.87,0.75
86-1,NaN,0.85,0.85,0.85,0.79,0.80,0.72,0.83,0.80
86-2,NaN,0.85,0.85,0.85,0.79,0.80,0.72,0.83,0.80
86-3,NaN,0.81,0.81,0.81,0.78,0.74,0.71,0.95,0.89
87-1,NaN,0.93,0.93,0.93,0.94,0.94,0.86,0.68,0.71
87-2,NaN,0.93,0.93,0.93,0.94,0.93,0.86,0.65,0.57
87-3,NaN,1.00,1.00,1.00,0.99,0.95,0.94,0.60,0.57
88-1,NaN,0.83,0.83,0.83,0.83,0.85,0.75,0.63,0.63
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,1.00,0.99,1.00,0.99,0.95,0.83,0.65,0.62
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.99,0.98,0.98,0.97,0.95,0.88,0.61,0.65
99-1,NaN,0.99,1.00,0.99,1.00,0.97,0.88,0.61,0.69
