ID-model,GO:0003674,GO:0004672,GO:0016301,GO:0016773,GO:0016772,GO:0016740,GO:0003824,GO:0005515,GO:0005488
BLAST-S11,NaN,0.93,0.93,0.93,0.94,0.86,0.76,0.79,0.69
BLAST-S14,NaN,0.94,0.94,0.94,0.93,0.84,0.76,0.57,0.54
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.95,0.94,0.94,0.92,0.83,0.84,0.66,0.53
101-2,NaN,0.95,0.95,0.95,0.91,0.93,0.87,0.67,0.57
101-3,NaN,0.95,0.94,0.95,0.95,0.90,0.88,0.70,0.63
102-1,NaN,0.92,0.91,0.92,0.94,0.92,0.83,0.77,0.63
102-2,NaN,0.92,0.92,0.92,0.92,0.91,0.81,0.73,0.55
102-3,NaN,0.50,0.50,0.50,0.49,0.48,0.50,0.51,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.90,0.90,0.90,0.92,0.88,0.81,0.47,0.52
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.90,0.90,0.90,0.90,0.85,0.81,0.72,0.64
105-2,NaN,0.93,0.93,0.93,0.93,0.87,0.84,0.63,0.57
105-3,NaN,0.91,0.91,0.91,0.91,0.88,0.79,0.62,0.55
106-1,NaN,0.70,0.70,0.70,0.71,0.72,0.71,0.54,0.66
106-2,NaN,0.50,0.50,0.50,0.50,0.53,0.57,0.50,0.51
106-3,NaN,0.70,0.70,0.70,0.67,0.68,0.69,0.46,0.45
107-1,NaN,0.94,0.94,0.94,0.95,0.90,0.86,0.69,0.67
107-2,NaN,0.94,0.94,0.94,0.95,0.90,0.79,0.51,0.51
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.93,0.93,0.93,0.90,0.83,0.79,0.85,0.71
110-2,NaN,0.91,0.91,0.91,0.92,0.86,0.84,0.84,0.80
110-3,NaN,0.80,0.74,0.81,0.71,0.62,0.53,0.76,0.73
111-1,NaN,0.93,0.93,0.93,0.90,0.83,0.80,0.85,0.71
111-2,NaN,0.80,0.74,0.81,0.71,0.64,0.57,0.76,0.73
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.55,0.54
112-1,NaN,0.94,0.93,0.94,0.93,0.88,0.84,0.93,0.83
112-2,NaN,0.95,0.94,0.94,0.94,0.88,0.85,0.93,0.83
112-3,NaN,0.94,0.93,0.93,0.93,0.89,0.85,0.66,0.72
113-1,NaN,0.94,0.93,0.94,0.93,0.89,0.85,0.67,0.72
113-2,NaN,0.80,0.74,0.81,0.71,0.62,0.53,0.41,0.56
113-3,NaN,0.92,0.92,0.92,0.89,0.83,0.81,0.59,0.59
114-1,NaN,0.94,0.94,0.94,0.95,0.92,0.87,0.80,0.71
115-1,NaN,0.98,0.98,0.98,0.98,0.96,0.87,0.64,0.50
116-1,NaN,0.80,0.80,0.80,0.83,0.77,0.74,0.47,0.37
116-2,NaN,0.85,0.85,0.85,0.88,0.77,0.74,0.50,0.48
117-1,NaN,0.92,0.94,0.94,0.93,0.87,0.86,0.61,0.69
117-2,NaN,0.65,0.65,0.65,0.67,0.72,0.68,0.55,0.54
119-1,NaN,0.93,0.92,0.93,0.93,0.92,0.84,0.58,0.52
120-1,NaN,0.92,0.93,0.93,0.93,0.93,0.88,0.87,0.68
120-2,NaN,0.76,0.85,0.81,0.76,0.58,0.71,0.62,0.53
120-3,NaN,0.82,0.81,0.80,0.74,0.63,0.69,0.50,0.57
121-1,NaN,0.75,0.75,0.75,0.79,0.76,0.75,0.49,0.49
121-2,NaN,0.60,0.65,0.60,0.71,0.71,0.68,0.50,0.58
121-3,NaN,0.85,0.85,0.85,0.88,0.83,0.79,0.76,0.51
122-1,NaN,0.95,0.95,0.95,0.96,0.97,0.89,0.75,0.60
124-1,NaN,0.66,0.28,0.28,0.45,0.27,0.24,0.66,0.64
124-2,NaN,0.60,0.30,0.30,0.38,0.25,0.26,0.50,0.42
124-3,NaN,0.64,0.20,0.20,0.38,0.23,0.24,0.66,0.64
125-1,NaN,0.95,0.95,0.95,0.96,0.91,0.86,0.80,0.71
125-2,NaN,0.95,0.95,0.95,0.95,0.92,0.88,0.57,0.67
125-3,NaN,0.94,0.94,0.94,0.94,0.91,0.86,0.83,0.63
126-1,NaN,0.50,0.50,0.50,0.54,0.54,0.53,0.50,0.55
127-1,NaN,0.95,0.94,0.94,0.95,0.91,0.87,0.53,0.54
127-2,NaN,0.94,0.94,0.94,0.94,0.89,0.86,0.45,0.60
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.68,0.68,0.68,0.63,0.57,0.61,0.49,0.51
129-1,NaN,0.93,0.92,0.93,0.93,0.87,0.81,0.41,0.49
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.93,0.92,0.93,0.93,0.87,0.81,0.41,0.49
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.95,0.94,0.95,0.94,0.88,0.80,0.53,0.59
131-2,NaN,0.95,0.95,0.95,0.95,0.91,0.84,0.54,0.62
131-3,NaN,0.95,0.94,0.94,0.98,0.95,0.82,0.65,0.63
132-1,NaN,0.95,0.93,0.94,0.91,0.85,0.80,0.93,0.84
132-2,NaN,0.95,0.93,0.94,0.91,0.86,0.81,0.61,0.70
