ID-model,GO:0003674,GO:0016740,GO:0016787,GO:0003824,GO:0097159,GO:1901363,GO:0005515,GO:0005488,GO:0019899
65-3,NaN,0.81,0.93,0.86,0.89,0.91,0.55,0.56,0.37
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-2,NaN,0.95,0.95,0.93,0.84,0.84,0.81,0.74,0.72
70-1,NaN,0.99,0.97,0.95,0.93,0.93,0.88,0.90,0.60
70-2,NaN,0.65,0.96,0.74,0.91,0.91,0.50,0.51,0.50
70-3,NaN,0.84,0.99,0.75,0.51,0.82,0.68,0.62,0.36
72-1,NaN,0.98,0.94,0.90,0.81,0.81,0.63,0.60,0.49
72-2,NaN,0.68,0.75,0.69,0.89,0.89,0.56,0.61,0.49
73-1,NaN,0.85,0.89,0.87,0.79,0.79,0.66,0.57,0.36
73-2,NaN,0.85,0.89,0.87,0.77,0.77,0.67,0.57,0.35
73-3,NaN,0.72,0.74,0.56,0.70,0.70,0.59,0.56,0.28
74-1,NaN,0.99,0.99,0.98,0.92,0.92,0.65,0.47,0.42
74-2,NaN,0.99,0.96,0.97,0.90,0.90,0.69,0.48,0.52
75-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-2,NaN,0.97,0.95,0.93,0.87,0.87,0.82,0.74,0.72
79-1,NaN,0.98,0.94,0.84,0.90,0.89,0.56,0.68,0.48
79-2,NaN,1.00,0.94,0.78,0.90,0.89,0.61,0.64,0.54
79-3,NaN,0.98,0.95,0.87,0.92,0.91,0.54,0.67,0.45
80-1,NaN,0.99,0.98,0.97,0.91,0.91,0.66,0.50,0.42
80-2,NaN,0.99,0.96,0.97,0.91,0.91,0.70,0.47,0.52
81-1,NaN,0.99,0.98,0.94,0.78,0.78,0.64,0.59,0.49
81-2,NaN,0.99,0.98,0.93,0.78,0.78,0.64,0.59,0.49
82-1,NaN,0.93,0.88,0.82,0.84,0.84,0.56,0.51,0.38
83-1,NaN,0.98,0.92,0.90,0.51,0.52,0.52,0.50,0.44
83-2,NaN,0.98,0.93,0.92,0.51,0.52,0.52,0.50,0.43
84-1,NaN,0.80,0.89,0.87,0.63,0.63,0.48,0.42,0.40
85-1,NaN,0.98,0.95,0.95,0.92,0.93,0.64,0.64,0.29
85-2,NaN,0.98,0.95,0.95,0.92,0.93,0.64,0.64,0.29
86-1,NaN,0.85,0.91,0.82,0.71,0.71,0.70,0.73,0.49
86-2,NaN,0.85,0.91,0.82,0.71,0.71,0.70,0.73,0.49
86-3,NaN,0.86,0.88,0.83,0.71,0.71,0.72,0.72,0.49
87-1,NaN,0.99,0.94,0.95,0.83,0.84,0.53,0.55,0.44
87-2,NaN,0.99,0.95,0.96,0.85,0.86,0.52,0.47,0.44
87-3,NaN,0.99,0.94,0.96,0.87,0.87,0.61,0.48,0.47
88-1,NaN,0.91,0.87,0.82,0.72,0.68,0.60,0.64,0.55
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.95,0.93,0.86,0.89,0.89,0.64,0.65,0.53
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.51,0.56,0.50,0.60,0.60,0.39,0.39,0.31
99-1,NaN,0.97,0.96,0.94,0.94,0.93,0.65,0.60,0.55
