ID-model,GO:0003674,GO:0001071,GO:0003700,GO:0003677,GO:0043565,GO:0000981,GO:0003676,GO:0000975,GO:0044212,GO:0001067,GO:0016787,GO:0000977,GO:0001012,GO:0043167,GO:0003824,GO:0000976,GO:1901363,GO:0097159,GO:0005488,GO:0005515,GO:0019899,GO:0019900
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.94,0.94,0.94,0.92,0.89,0.94,0.88,0.88,0.88,0.93,0.89,0.88,0.62,0.83,0.81,0.74,0.73,0.53,0.65,0.56,0.43
105-2,NaN,0.95,0.95,0.96,0.94,0.89,0.95,0.93,0.93,0.93,0.95,0.90,0.90,0.63,0.85,0.84,0.78,0.78,0.59,0.60,0.63,0.58
105-3,NaN,0.96,0.96,0.95,0.92,0.89,0.92,0.86,0.87,0.86,0.92,0.85,0.84,0.63,0.81,0.85,0.75,0.74,0.52,0.62,0.53,0.47
106-1,NaN,0.74,0.74,0.78,0.76,0.54,0.79,0.53,0.53,0.53,0.76,0.50,0.50,0.76,0.75,0.53,0.72,0.72,0.61,0.63,0.49,0.50
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.65,0.50,0.50,0.60,0.61,0.50,0.43,0.43,0.63,0.50,0.50,0.50
106-3,NaN,0.75,0.75,0.91,0.79,0.58,0.89,0.57,0.57,0.57,0.95,0.50,0.50,0.82,0.83,0.57,0.75,0.75,0.73,0.68,0.47,0.50
107-1,NaN,0.94,0.94,0.95,0.91,0.86,0.90,0.88,0.88,0.88,0.93,0.83,0.83,0.70,0.85,0.74,0.80,0.79,0.52,0.62,0.53,0.48
107-2,NaN,0.98,0.98,0.94,0.94,0.79,0.94,0.84,0.84,0.84,0.93,0.80,0.80,0.66,0.92,0.69,0.74,0.74,0.47,0.59,0.60,0.59
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.93,0.93,0.92,0.89,0.88,0.84,0.85,0.85,0.85,0.88,0.82,0.82,0.73,0.82,0.81,0.73,0.71,0.76,0.78,0.52,0.65
110-2,NaN,0.95,0.86,0.93,0.85,0.82,0.90,0.85,0.74,0.87,0.97,0.76,0.76,0.87,0.93,0.71,0.80,0.80,0.81,0.84,0.63,0.52
110-3,NaN,0.84,0.84,0.76,0.80,0.72,0.75,0.81,0.81,0.81,0.67,0.70,0.70,0.59,0.61,0.73,0.70,0.70,0.68,0.66,0.59,0.66
111-1,NaN,0.93,0.93,0.92,0.89,0.88,0.83,0.86,0.86,0.86,0.91,0.83,0.82,0.75,0.86,0.82,0.72,0.71,0.76,0.78,0.53,0.67
111-2,NaN,0.83,0.83,0.77,0.78,0.71,0.77,0.80,0.80,0.80,0.65,0.70,0.70,0.57,0.67,0.73,0.73,0.73,0.71,0.72,0.62,0.69
111-3,NaN,0.47,0.47,0.46,0.46,0.47,0.57,0.50,0.50,0.50,NaN,0.50,0.50,NaN,0.97,0.50,0.55,0.54,0.79,0.46,0.50,0.50
112-1,NaN,0.99,0.97,0.95,0.90,0.90,0.88,0.90,0.89,0.89,0.98,0.79,0.79,0.84,0.95,0.82,0.81,0.80,0.83,0.89,0.61,0.69
112-2,NaN,0.99,0.97,0.95,0.90,0.91,0.89,0.90,0.89,0.89,0.98,0.79,0.79,0.84,0.95,0.82,0.81,0.80,0.84,0.89,0.61,0.69
112-3,NaN,0.99,0.96,0.94,0.90,0.90,0.88,0.90,0.89,0.89,0.98,0.79,0.79,0.85,0.94,0.82,0.80,0.80,0.69,0.67,0.61,0.69
113-1,NaN,0.99,0.97,0.94,0.90,0.91,0.88,0.90,0.89,0.89,0.98,0.79,0.79,0.84,0.94,0.82,0.81,0.80,0.70,0.68,0.61,0.69
113-2,NaN,0.88,0.88,0.88,0.89,0.76,0.86,0.92,0.92,0.92,0.65,0.75,0.75,0.56,0.58,0.81,0.82,0.82,0.64,0.55,0.70,0.73
113-3,NaN,0.92,0.92,0.92,0.89,0.88,0.83,0.86,0.86,0.86,0.91,0.83,0.82,0.72,0.87,0.82,0.72,0.70,0.61,0.53,0.55,0.71
114-1,NaN,0.98,0.98,0.97,0.97,0.92,0.93,0.90,0.90,0.90,0.97,0.78,0.78,0.72,0.94,0.76,0.83,0.83,0.54,0.68,0.48,0.49
115-1,NaN,0.99,0.99,0.97,0.97,0.92,0.95,0.90,0.89,0.90,0.97,0.83,0.87,0.78,0.94,0.77,0.80,0.80,0.61,0.69,0.51,0.43
116-1,NaN,0.82,0.82,0.83,0.59,0.53,0.84,0.50,0.50,0.50,0.88,0.50,0.50,0.78,0.90,0.50,0.70,0.71,0.60,0.52,0.50,0.50
116-2,NaN,0.78,0.78,0.78,0.53,0.49,0.81,0.50,0.50,0.50,0.89,0.50,0.50,0.73,0.92,0.50,0.70,0.70,0.72,0.57,0.50,0.50
117-1,NaN,0.96,0.96,0.98,0.96,0.93,0.94,0.94,0.94,0.94,0.94,0.90,0.90,0.78,0.92,0.87,0.87,0.87,0.79,0.62,0.52,0.61
117-2,NaN,0.67,0.67,0.71,0.50,0.67,0.70,0.73,0.73,0.73,0.98,0.50,0.50,0.78,0.95,0.50,0.68,0.68,0.82,0.50,0.50,0.50
119-1,NaN,0.98,0.98,0.99,0.90,0.84,0.96,0.91,0.91,0.91,0.91,0.78,0.78,0.85,0.91,0.73,0.88,0.87,0.70,0.63,0.52,0.56
120-1,NaN,0.98,0.98,0.97,0.98,0.94,0.95,0.96,0.96,0.96,0.96,0.93,0.93,0.73,0.92,0.95,0.84,0.83,0.55,0.64,0.54,0.55
120-2,NaN,0.99,0.99,0.95,0.87,0.81,0.92,0.79,0.79,0.79,0.96,0.50,0.50,0.65,0.90,0.63,0.84,0.81,0.56,0.62,0.54,0.47
120-3,NaN,0.95,0.95,0.88,0.76,0.50,0.84,0.80,0.78,0.80,0.70,0.50,0.50,0.46,0.75,0.50,0.83,0.83,0.71,0.50,0.50,0.50
121-1,NaN,0.82,0.82,0.93,0.82,0.59,0.91,0.50,0.50,0.50,0.92,0.50,0.50,0.61,0.88,0.50,0.80,0.80,0.60,0.50,0.53,0.50
121-2,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,1.00,1.00,0.43,0.33,0.50,0.50
121-3,NaN,0.86,0.86,0.98,0.82,0.59,0.94,0.50,0.50,0.50,0.87,0.50,0.50,0.63,0.89,0.50,0.86,0.86,0.59,0.72,0.53,0.50
122-1,NaN,0.90,0.90,0.83,0.76,0.58,0.82,0.50,0.50,0.50,0.93,0.50,0.50,0.79,0.90,0.50,0.75,0.75,0.64,0.76,0.45,0.48
124-1,NaN,0.73,0.73,0.80,0.79,0.93,0.67,0.86,0.86,0.86,0.75,0.90,0.89,0.27,0.52,0.84,0.66,0.68,0.32,0.26,0.52,0.51
124-2,NaN,0.85,0.85,0.92,0.88,0.86,0.51,0.50,0.50,0.50,0.59,0.50,0.50,0.27,0.27,0.50,0.51,0.51,0.44,0.17,0.50,0.49
124-3,NaN,0.62,0.62,0.72,0.58,0.87,0.59,0.86,0.86,0.86,0.36,0.90,0.89,0.27,0.45,0.84,0.47,0.50,0.31,0.26,0.52,0.52
125-1,NaN,0.98,0.98,0.95,0.83,0.73,0.91,0.61,0.61,0.61,0.92,0.49,0.49,0.78,0.92,0.55,0.81,0.81,0.50,0.67,0.48,0.49
125-2,NaN,0.95,0.95,0.96,0.87,0.84,0.95,0.80,0.80,0.80,0.93,0.65,0.65,0.78,0.80,0.66,0.82,0.82,0.55,0.52,0.54,0.49
125-3,NaN,0.96,0.96,0.96,0.95,0.91,0.87,0.91,0.91,0.91,0.90,0.91,0.91,0.77,0.89,0.93,0.74,0.72,0.67,0.67,0.61,0.59
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.95,0.50,0.50,0.69,0.75,0.50,0.44,0.44,0.61,0.68,0.45,0.50
127-1,NaN,0.97,0.98,0.97,0.91,0.87,0.94,0.88,0.88,0.88,0.97,0.77,0.77,0.88,0.94,0.79,0.91,0.91,0.74,0.63,0.58,0.48
127-2,NaN,0.98,0.98,0.99,0.98,0.89,0.97,0.97,0.97,0.98,0.97,0.92,0.92,0.94,0.94,0.91,0.95,0.95,0.82,0.68,0.47,0.41
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.90,0.91,0.91,0.86,0.89,0.89,0.96,0.96,0.96,0.94,0.87,0.87,0.67,0.88,0.84,0.82,0.80,0.57,0.62,0.59,0.54
129-1,NaN,0.97,0.97,0.97,0.95,0.91,0.94,0.94,0.94,0.94,0.97,0.89,0.89,0.90,0.91,0.84,0.91,0.91,0.54,0.32,0.53,0.64
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.97,0.97,0.97,0.95,0.91,0.94,0.94,0.94,0.94,0.97,0.89,0.89,0.90,0.91,0.84,0.91,0.91,0.54,0.32,0.53,0.64
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.92,0.92,0.93,0.78,0.57,0.90,0.50,0.50,0.50,0.88,0.50,0.50,0.81,0.89,0.50,0.79,0.79,0.53,0.53,0.49,0.50
131-2,NaN,0.88,0.88,0.99,0.79,0.61,0.95,0.50,0.50,0.50,0.89,0.50,0.50,0.79,0.89,0.50,0.84,0.84,0.53,0.52,0.49,0.49
131-3,NaN,0.97,0.97,0.95,0.86,0.68,0.95,0.74,0.74,0.74,0.88,0.52,0.57,0.74,0.87,0.60,0.85,0.85,0.60,0.56,0.48,0.50
132-1,NaN,0.99,0.97,0.94,0.90,0.92,0.87,0.89,0.89,0.89,0.96,0.80,0.80,0.78,0.90,0.83,0.79,0.77,0.82,0.88,0.64,0.71
132-2,NaN,0.99,0.97,0.93,0.90,0.91,0.87,0.89,0.89,0.89,0.96,0.80,0.80,0.78,0.89,0.83,0.79,0.78,0.71,0.72,0.64,0.71
65-1,NaN,0.91,0.92,0.88,0.81,0.91,0.82,0.88,0.87,0.87,0.76,0.52,0.56,0.71,0.66,0.68,0.67,0.69,0.59,0.63,0.50,0.45
65-2,NaN,0.92,0.92,0.88,0.81,0.91,0.86,0.87,0.87,0.87,0.76,0.52,0.56,0.70,0.66,0.71,0.72,0.72,0.60,0.61,0.50,0.44
65-3,NaN,0.92,0.92,0.88,0.81,0.92,0.82,0.87,0.87,0.86,0.76,0.53,0.56,0.70,0.66,0.68,0.68,0.70,0.58,0.63,0.50,0.45
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-2,NaN,0.97,0.97,0.93,0.94,0.90,0.93,0.94,0.94,0.93,0.95,0.90,0.89,0.68,0.88,0.84,0.78,0.78,0.70,0.65,0.49,0.42
70-1,NaN,0.97,0.97,0.96,0.96,0.89,0.94,0.82,0.82,0.82,0.94,0.50,0.50,0.73,0.91,0.50,0.89,0.89,0.76,0.73,0.46,0.46
70-2,NaN,0.98,0.98,0.52,0.88,0.97,0.87,0.85,0.86,0.85,0.93,0.94,0.82,0.75,0.65,0.82,0.87,0.87,0.73,0.51,0.50,0.47
70-3,NaN,0.93,0.93,0.73,0.50,0.92,0.67,0.49,0.49,0.49,0.98,0.50,0.50,0.62,0.86,0.50,0.81,0.41,0.57,0.51,0.50,0.47
72-1,NaN,0.91,0.91,0.92,0.72,0.58,0.86,0.50,0.50,0.50,0.88,0.50,0.50,0.68,0.86,0.50,0.74,0.73,0.58,0.59,0.46,0.49
72-2,NaN,0.91,0.91,0.92,0.72,0.50,0.88,0.50,0.50,0.50,0.66,0.50,0.50,0.61,0.68,0.50,0.88,0.88,0.63,0.53,0.47,0.49
73-1,NaN,0.98,0.98,0.91,0.92,0.87,0.81,0.88,0.88,0.88,0.90,0.92,0.91,0.56,0.87,0.88,0.69,0.68,0.64,0.71,0.75,0.55
73-2,NaN,0.98,0.98,0.91,0.93,0.88,0.81,0.90,0.88,0.90,0.90,0.89,0.89,0.56,0.86,0.88,0.69,0.69,0.66,0.74,0.75,0.57
73-3,NaN,0.91,0.92,0.80,0.90,0.92,0.75,0.88,0.87,0.88,0.64,0.85,0.93,0.53,0.53,0.86,0.62,0.60,0.52,0.62,0.64,0.57
74-1,NaN,0.98,0.98,0.94,0.81,0.77,0.90,0.75,0.75,0.75,0.83,0.72,0.72,0.69,0.87,0.69,0.75,0.75,0.55,0.62,0.51,0.41
74-2,NaN,0.97,0.97,0.97,0.83,0.69,0.96,0.50,0.50,0.50,0.97,0.50,0.50,0.67,0.92,0.50,0.85,0.85,0.68,0.72,0.53,0.48
75-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-2,NaN,0.99,0.99,0.98,0.94,0.90,0.95,0.94,0.94,0.93,0.96,0.90,0.89,0.74,0.89,0.84,0.79,0.79,0.70,0.66,0.49,0.42
79-1,NaN,0.86,0.83,0.94,0.71,0.84,0.94,0.82,0.76,0.82,0.98,0.62,0.72,0.83,0.92,0.67,0.91,0.90,0.78,0.62,0.46,0.50
79-2,NaN,0.85,0.81,0.96,0.69,0.82,0.95,0.81,0.75,0.81,0.98,0.58,0.69,0.88,0.91,0.64,0.92,0.92,0.73,0.59,0.45,0.47
79-3,NaN,0.88,0.84,0.94,0.70,0.81,0.94,0.81,0.75,0.81,0.94,0.61,0.70,0.79,0.93,0.66,0.86,0.86,0.82,0.65,0.55,0.59
80-1,NaN,0.99,0.99,0.94,0.81,0.77,0.91,0.75,0.75,0.75,0.84,0.72,0.72,0.67,0.87,0.69,0.80,0.80,0.46,0.62,0.51,0.41
80-2,NaN,0.98,0.98,0.98,0.83,0.69,0.96,0.50,0.50,0.50,0.97,0.50,0.50,0.71,0.93,0.50,0.85,0.85,0.64,0.71,0.53,0.48
81-1,NaN,0.94,0.94,0.83,0.83,0.61,0.81,0.50,0.50,0.50,0.92,0.50,0.50,0.73,0.88,0.50,0.79,0.79,0.59,0.63,0.50,0.50
81-2,NaN,0.94,0.94,0.83,0.83,0.61,0.81,0.50,0.50,0.50,0.92,0.50,0.50,0.73,0.88,0.50,0.79,0.79,0.59,0.63,0.50,0.50
82-1,NaN,0.96,0.96,0.92,0.86,0.92,0.84,0.89,0.89,0.89,0.91,0.88,0.88,0.87,0.83,0.89,0.80,0.80,0.62,0.72,0.53,0.44
83-1,NaN,1.00,1.00,0.99,0.98,0.96,0.96,0.96,0.96,0.96,0.99,0.94,0.94,0.60,0.95,0.95,0.65,0.65,0.51,0.39,0.52,0.39
83-2,NaN,1.00,1.00,0.99,0.98,0.96,0.96,0.96,0.96,0.96,0.99,0.94,0.94,0.60,0.96,0.95,0.65,0.65,0.51,0.39,0.52,0.39
84-1,NaN,0.91,0.91,0.89,0.92,0.85,0.77,0.89,0.88,0.89,0.77,0.88,0.88,0.66,0.85,0.81,0.49,0.49,0.55,0.66,0.48,0.50
85-1,NaN,0.99,0.99,0.97,0.89,0.91,0.98,0.91,0.91,0.91,0.95,0.84,0.84,0.79,0.92,0.82,0.90,0.90,0.81,0.69,0.62,0.53
85-2,NaN,0.99,0.99,0.97,0.89,0.91,0.98,0.91,0.91,0.91,0.95,0.84,0.84,0.79,0.92,0.82,0.90,0.90,0.81,0.69,0.62,0.53
86-1,NaN,0.74,0.74,0.73,0.64,0.54,0.72,0.56,0.56,0.56,0.62,0.59,0.59,0.66,0.75,0.56,0.70,0.70,0.67,0.74,0.49,0.50
86-2,NaN,0.74,0.74,0.73,0.64,0.54,0.72,0.56,0.56,0.56,0.62,0.59,0.59,0.66,0.75,0.56,0.70,0.70,0.67,0.74,0.49,0.50
86-3,NaN,0.74,0.74,0.66,0.63,0.50,0.67,0.54,0.54,0.54,0.65,0.56,0.56,0.66,0.79,0.54,0.64,0.63,0.74,0.74,0.49,0.50
87-1,NaN,0.95,0.95,0.99,0.88,0.60,0.97,0.70,0.70,0.70,0.98,0.53,0.53,0.80,0.90,0.58,0.91,0.90,0.63,0.67,0.44,0.50
87-2,NaN,0.94,0.94,0.99,0.85,0.61,0.96,0.70,0.70,0.70,0.97,0.53,0.53,0.79,0.91,0.58,0.85,0.84,0.56,0.65,0.44,0.50
87-3,NaN,0.95,0.95,0.96,0.85,0.61,0.91,0.61,0.61,0.61,0.89,0.49,0.49,0.85,0.90,0.55,0.85,0.84,0.59,0.66,0.45,0.48
88-1,NaN,0.71,0.71,0.85,0.74,0.71,0.83,0.80,0.80,0.80,0.97,0.75,0.75,0.77,0.88,0.72,0.83,0.83,0.79,0.67,0.47,0.50
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.92,0.92,0.96,0.79,0.69,0.91,0.67,0.67,0.67,0.95,0.59,0.59,0.69,0.91,0.58,0.82,0.82,0.64,0.65,0.48,0.50
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.68,0.68,0.46,0.56,0.71,0.41,0.53,0.53,0.53,0.43,0.63,0.63,0.54,0.42,0.56,0.39,0.39,0.50,0.53,0.38,0.30
99-1,NaN,0.97,0.97,0.97,0.89,0.68,0.93,0.61,0.61,0.61,0.96,0.50,0.50,0.83,0.92,0.50,0.88,0.87,0.71,0.62,0.49,0.48
