ID-model,GO:0003674,GO:0016740,GO:0016787,GO:0003824,GO:0097159,GO:1901363,GO:0005515,GO:0005488,GO:0019899
BLAST-S11,NaN,0.94,0.96,0.90,0.85,0.85,0.65,0.57,0.30
BLAST-S14,NaN,0.95,0.93,0.90,0.86,0.85,0.53,0.50,0.36
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.95,0.89,0.87,0.78,0.77,0.58,0.34,0.52
101-2,NaN,1.00,0.94,0.93,0.81,0.81,0.66,0.69,0.53
101-3,NaN,1.00,0.95,0.95,0.85,0.85,0.74,0.60,0.52
102-1,NaN,0.97,0.97,0.90,0.93,0.91,0.67,0.69,0.27
102-2,NaN,0.97,0.97,0.90,0.93,0.90,0.70,0.69,0.27
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.91,0.81,0.83,0.73,0.73,0.52,0.52,0.50
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.97,0.95,0.90,0.80,0.80,0.49,0.47,0.34
105-2,NaN,0.98,0.96,0.94,0.87,0.87,0.51,0.48,0.33
105-3,NaN,0.96,0.97,0.91,0.84,0.84,0.45,0.44,0.28
106-1,NaN,0.88,0.74,0.84,0.85,0.85,0.53,0.47,0.50
106-2,NaN,0.62,0.62,0.68,0.47,0.47,0.50,0.32,0.50
106-3,NaN,0.65,0.65,0.70,0.60,0.60,0.49,0.42,0.50
107-1,NaN,0.97,0.95,0.90,0.84,0.84,0.44,0.48,0.45
107-2,NaN,0.96,0.96,0.93,0.86,0.86,0.52,0.48,0.46
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.91,0.92,0.78,0.84,0.83,0.58,0.58,0.25
110-2,NaN,0.86,0.98,0.88,0.80,0.80,0.56,0.53,0.37
110-3,NaN,0.76,0.73,0.67,0.66,0.62,0.62,0.65,0.50
111-1,NaN,0.92,0.91,0.79,0.83,0.82,0.58,0.57,0.25
111-2,NaN,0.80,0.73,0.69,0.77,0.73,0.62,0.63,0.49
111-3,NaN,0.56,0.50,0.52,0.63,0.63,0.52,0.54,0.49
112-1,NaN,0.98,0.97,0.95,0.86,0.85,0.60,0.59,0.29
112-2,NaN,0.98,0.97,0.95,0.86,0.85,0.60,0.58,0.29
112-3,NaN,0.98,0.98,0.96,0.86,0.85,0.60,0.58,0.29
113-1,NaN,0.98,0.98,0.96,0.86,0.85,0.60,0.58,0.29
113-2,NaN,0.74,0.64,0.65,0.66,0.62,0.60,0.59,0.50
113-3,NaN,0.92,0.90,0.78,0.83,0.82,0.56,0.56,0.25
114-1,NaN,0.99,0.95,0.93,0.88,0.88,0.63,0.47,0.52
115-1,NaN,0.98,0.94,0.93,0.94,0.94,0.75,0.62,0.50
116-1,NaN,0.87,0.85,0.87,0.84,0.84,0.55,0.57,0.50
116-2,NaN,0.76,0.87,0.84,0.77,0.77,0.56,0.60,0.50
117-1,NaN,0.98,0.97,0.98,0.85,0.86,0.52,0.58,0.29
117-2,NaN,0.70,0.62,0.71,0.52,0.52,0.47,0.44,0.49
119-1,NaN,0.99,0.95,0.94,0.90,0.90,0.52,0.45,0.42
120-1,NaN,0.99,0.95,0.93,0.88,0.88,0.63,0.46,0.28
120-2,NaN,0.70,0.94,0.85,0.79,0.81,0.68,0.46,0.43
120-3,NaN,0.63,0.77,0.75,0.79,0.81,0.50,0.54,0.50
121-1,NaN,0.96,0.89,0.91,0.74,0.74,0.50,0.45,0.50
121-2,NaN,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50
121-3,NaN,0.96,0.90,0.89,0.76,0.76,0.55,0.51,0.49
122-1,NaN,0.96,0.92,0.91,0.73,0.73,0.66,0.58,0.49
124-1,NaN,0.47,0.73,0.44,0.58,0.58,0.54,0.55,0.48
124-2,NaN,0.39,0.47,0.26,0.27,0.27,0.47,0.49,0.50
124-3,NaN,0.25,0.61,0.36,0.48,0.48,0.54,0.55,0.48
125-1,NaN,0.99,0.94,0.93,0.88,0.88,0.63,0.47,0.52
125-2,NaN,0.97,0.93,0.90,0.81,0.81,0.48,0.47,0.49
125-3,NaN,0.98,0.96,0.87,0.83,0.82,0.63,0.56,0.23
126-1,NaN,1.00,0.92,0.89,0.80,0.80,0.63,0.52,0.50
127-1,NaN,1.00,0.95,0.96,0.93,0.93,0.57,0.53,0.50
127-2,NaN,1.00,0.98,0.95,0.95,0.94,0.56,0.61,0.37
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.87,0.83,0.84,0.83,0.82,0.43,0.44,0.32
129-1,NaN,0.97,0.98,0.97,0.96,0.95,0.59,0.64,0.23
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.97,0.98,0.97,0.96,0.95,0.59,0.64,0.23
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.98,0.95,0.93,0.89,0.89,0.51,0.51,0.50
131-2,NaN,0.98,0.95,0.94,0.87,0.87,0.51,0.49,0.50
131-3,NaN,0.98,0.94,0.93,0.84,0.84,0.54,0.52,0.54
132-1,NaN,0.98,0.96,0.95,0.87,0.86,0.57,0.60,0.27
132-2,NaN,0.98,0.97,0.96,0.87,0.86,0.56,0.59,0.27
65-1,NaN,0.61,0.94,0.79,0.83,0.84,0.49,0.52,0.39
65-2,NaN,0.67,0.94,0.81,0.85,0.86,0.54,0.54,0.40
65-3,NaN,0.59,0.94,0.79,0.83,0.84,0.50,0.52,0.41
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-2,NaN,0.95,0.95,0.93,0.84,0.84,0.81,0.74,0.72
70-1,NaN,0.99,0.97,0.95,0.93,0.93,0.88,0.90,0.60
70-2,NaN,0.65,0.96,0.74,0.91,0.91,0.50,0.51,0.50
70-3,NaN,0.84,0.99,0.75,0.51,0.82,0.68,0.62,0.36
72-1,NaN,0.98,0.94,0.90,0.81,0.81,0.64,0.61,0.49
72-2,NaN,0.62,0.68,0.64,0.89,0.89,0.62,0.68,0.49
73-1,NaN,0.85,0.89,0.87,0.79,0.79,0.66,0.57,0.36
73-2,NaN,0.85,0.89,0.87,0.77,0.77,0.67,0.57,0.35
73-3,NaN,0.73,0.75,0.57,0.70,0.71,0.57,0.54,0.29
74-1,NaN,0.59,0.66,0.67,0.66,0.66,0.57,0.51,0.46
74-2,NaN,0.99,0.96,0.97,0.90,0.90,0.68,0.47,0.52
75-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
75-2,NaN,0.97,0.95,0.93,0.87,0.87,0.82,0.74,0.72
79-1,NaN,0.98,0.91,0.85,0.90,0.90,0.51,0.60,0.48
79-2,NaN,0.73,0.89,0.73,0.78,0.78,0.52,0.51,0.53
79-3,NaN,0.98,0.95,0.87,0.92,0.91,0.54,0.67,0.45
80-1,NaN,0.59,0.69,0.69,0.65,0.66,0.57,0.50,0.46
80-2,NaN,0.99,0.96,0.97,0.91,0.91,0.69,0.46,0.52
81-1,NaN,0.99,0.95,0.94,0.68,0.68,0.58,0.50,0.50
81-2,NaN,0.99,0.95,0.94,0.68,0.68,0.58,0.50,0.50
82-1,NaN,0.94,0.89,0.85,0.80,0.80,0.51,0.44,0.39
83-1,NaN,0.98,0.92,0.89,0.47,0.48,0.52,0.50,0.44
83-2,NaN,0.98,0.93,0.90,0.47,0.48,0.52,0.50,0.44
84-1,NaN,0.69,0.85,0.82,0.55,0.55,0.48,0.42,0.40
85-1,NaN,0.98,0.95,0.95,0.93,0.93,0.60,0.61,0.29
85-2,NaN,0.98,0.95,0.95,0.93,0.93,0.60,0.61,0.29
86-1,NaN,0.74,0.91,0.77,0.72,0.72,0.65,0.71,0.49
86-2,NaN,0.74,0.91,0.77,0.72,0.72,0.65,0.71,0.49
86-3,NaN,0.75,0.89,0.78,0.69,0.69,0.67,0.69,0.49
87-1,NaN,0.99,0.94,0.95,0.84,0.85,0.50,0.50,0.44
87-2,NaN,0.99,0.95,0.96,0.86,0.87,0.49,0.43,0.44
87-3,NaN,0.99,0.92,0.94,0.85,0.85,0.54,0.40,0.47
88-1,NaN,0.91,0.88,0.83,0.73,0.68,0.59,0.61,0.54
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.96,0.93,0.87,0.89,0.89,0.64,0.64,0.53
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.51,0.56,0.50,0.60,0.60,0.39,0.39,0.31
99-1,NaN,0.97,0.96,0.94,0.94,0.94,0.61,0.57,0.55
