ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0043226,GO:0043229,GO:0005634,GO:0044444,GO:0043227,GO:0043231,GO:0005622,GO:0044424,GO:0005737
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,1.00,1.00,0.64,0.63,0.84,0.67,0.56,0.55,0.62,0.62,0.71
127-2,NaN,1.00,1.00,0.68,0.70,0.80,0.73,0.66,0.71,0.64,0.64,0.73
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,NaN,NaN,0.68,0.68,0.82,0.45,0.59,0.59,0.51,0.51,0.29
129-1,NaN,0.97,0.97,0.64,0.65,0.84,0.66,0.58,0.60,0.59,0.60,0.63
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.97,0.97,0.64,0.65,0.84,0.66,0.58,0.60,0.59,0.60,0.63
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.98,0.98,0.81,0.81,0.84,0.78,0.80,0.80,0.63,0.63,0.62
131-2,NaN,0.98,0.98,0.76,0.76,0.76,0.81,0.76,0.76,0.53,0.53,0.65
131-3,NaN,0.68,0.68,0.79,0.79,0.80,0.85,0.78,0.78,0.65,0.65,0.59
132-1,NaN,0.94,0.94,0.80,0.80,0.91,0.84,0.80,0.81,0.75,0.75,0.71
132-2,NaN,0.94,0.94,0.76,0.75,0.89,0.80,0.77,0.77,0.72,0.72,0.63
65-1,NaN,0.90,0.90,0.52,0.52,0.72,0.60,0.47,0.46,0.62,0.62,0.48
65-2,NaN,0.93,0.97,0.53,0.53,0.72,0.65,0.50,0.50,0.65,0.65,0.55
65-3,NaN,0.93,0.93,0.51,0.51,0.71,0.64,0.48,0.48,0.61,0.61,0.50
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.87,0.87,0.76,0.76,0.84,0.80,0.78,0.78,0.71,0.71,0.68
69-2,NaN,1.00,1.00,0.72,0.72,0.85,0.68,0.69,0.69,0.61,0.62,0.61
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.98,0.98,0.79,0.79,0.83,0.85,0.83,0.82,0.75,0.75,0.67
70-3,NaN,0.77,0.77,0.79,0.80,0.90,0.75,0.76,0.76,0.61,0.61,0.65
72-1,NaN,0.42,0.42,0.73,0.73,0.85,0.74,0.72,0.72,0.61,0.61,0.65
72-2,NaN,0.97,0.97,0.72,0.72,0.79,0.70,0.72,0.72,0.62,0.62,0.67
73-1,NaN,1.00,1.00,0.57,0.57,0.69,0.65,0.50,0.50,0.64,0.63,0.62
73-2,NaN,1.00,1.00,0.57,0.57,0.69,0.65,0.50,0.50,0.64,0.63,0.62
73-3,NaN,0.50,0.50,0.48,0.48,0.62,0.52,0.48,0.48,0.48,0.48,0.47
74-1,NaN,0.95,0.95,0.77,0.77,0.65,0.81,0.75,0.75,0.41,0.41,0.59
74-2,NaN,0.97,0.97,0.91,0.91,0.86,0.74,0.89,0.89,0.90,0.90,0.74
75-1,NaN,0.97,0.97,0.87,0.87,0.84,0.88,0.87,0.87,0.69,0.68,0.68
75-2,NaN,1.00,1.00,0.84,0.84,0.85,0.85,0.84,0.84,0.61,0.61,0.66
79-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.96,0.96,0.91,0.91,0.77,0.85,0.87,0.87,0.69,0.69,0.69
80-2,NaN,1.00,1.00,0.91,0.91,0.86,0.88,0.91,0.91,0.83,0.83,0.72
81-1,NaN,0.97,0.97,0.82,0.82,0.79,0.76,0.81,0.81,0.80,0.80,0.70
81-2,NaN,0.97,0.97,0.82,0.82,0.79,0.76,0.81,0.81,0.80,0.80,0.70
82-1,NaN,0.48,0.48,0.70,0.71,0.65,0.70,0.57,0.61,0.60,0.60,0.69
83-1,NaN,0.48,0.48,0.55,0.55,0.81,0.77,0.59,0.59,0.48,0.48,0.53
83-2,NaN,0.48,0.48,0.55,0.55,0.81,0.77,0.59,0.59,0.48,0.48,0.53
84-1,NaN,0.98,0.98,0.49,0.49,0.50,0.57,0.50,0.50,0.47,0.47,0.63
85-1,NaN,0.82,0.82,0.71,0.71,0.70,0.69,0.67,0.67,0.57,0.57,0.62
85-2,NaN,0.82,0.82,0.71,0.71,0.70,0.69,0.67,0.67,0.57,0.57,0.62
86-1,NaN,0.47,0.94,0.78,0.78,0.76,0.78,0.80,0.81,0.67,0.66,0.66
86-2,NaN,0.47,0.94,0.78,0.78,0.76,0.78,0.80,0.81,0.67,0.66,0.66
86-3,NaN,1.00,1.00,0.83,0.83,0.85,0.75,0.84,0.84,0.78,0.78,0.66
87-1,NaN,0.53,0.53,0.57,0.57,0.79,0.68,0.55,0.55,0.42,0.42,0.61
87-2,NaN,0.22,0.22,0.64,0.64,0.83,0.66,0.63,0.63,0.36,0.40,0.59
87-3,NaN,0.24,0.24,0.69,0.69,0.76,0.73,0.67,0.67,0.64,0.64,0.67
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.98,0.98,0.73,0.73,0.74,0.70,0.74,0.74,0.63,0.63,0.68
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,0.98,0.98,0.78,0.78,0.77,0.70,0.76,0.76,0.64,0.64,0.58
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.15,0.15,0.59,0.59,0.52,0.38,0.58,0.58,0.58,0.58,0.58
99-1,NaN,0.94,0.94,0.79,0.79,0.82,0.73,0.75,0.75,0.55,0.53,0.51
