ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
80-1,0.77,0.504,0.44,0.77,0.505,0.022,0.50
80-2,0.96,0.517,0.53,0.96,0.517,0.020,0.50
81-1,0.76,0.524,0.16,0.76,0.524,0.021,0.39
81-2,0.76,0.524,0.16,0.76,0.524,0.021,0.39
82-1,0.74,0.590,0.61,0.74,0.589,0.015,0.60
83-1,1.00,0.563,0.39,1.00,0.562,0.013,0.38
83-2,1.00,0.517,0.24,1.00,0.516,0.017,0.27
84-1,0.89,0.597,0.20,0.89,0.596,0.012,0.19
85-1,0.82,0.530,0.32,0.82,0.528,0.021,0.33
85-2,0.82,0.530,0.32,0.82,0.528,0.021,0.33
86-1,1.00,0.637,0.71,1.00,0.636,0.010,0.72
86-2,1.00,0.637,0.71,1.00,0.636,0.010,0.72
86-3,0.79,0.628,0.37,0.79,0.627,0.018,0.38
87-1,0.84,0.521,0.26,0.84,0.518,0.020,0.27
87-2,0.84,0.515,0.22,0.84,0.510,0.022,0.19
87-3,0.83,0.521,0.21,0.83,0.520,0.020,0.28
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.83,0.820,1.00,0.83,0.820,0.024,1.00
93-2,0.94,0.906,1.00,0.94,0.906,0.011,1.00
94-1,0.99,0.491,0.49,0.99,0.491,0.022,0.56
95-1,1.00,0.631,0.97,1.00,0.629,0.012,0.95
95-2,1.00,0.628,1.00,1.00,0.623,0.013,0.97
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.46,0.562,0.51,0.46,0.561,0.026,0.51
99-1,0.82,0.602,0.17,0.82,0.600,0.016,0.17
