ID-model,GO:0008150,GO:0044262,GO:0005976,GO:0016051,GO:0044264,GO:0005975,GO:0009059,GO:0044723,GO:0034645,GO:0044237,GO:0006082,GO:0043436,GO:0043170,GO:0044710,GO:0009058,GO:0044249,GO:1901576,GO:0019752,GO:0044260,GO:0008152,GO:0071704,GO:0009987,GO:0044281,GO:0044238
107-2,NaN,0.89,0.97,0.90,0.97,0.87,0.78,0.83,0.77,0.73,0.88,0.88,0.75,0.73,0.71,0.71,0.71,0.88,0.83,0.64,0.68,0.71,0.78,0.70
107-3,NaN,0.87,0.94,0.89,0.94,0.84,0.74,0.82,0.73,0.63,0.84,0.84,0.74,0.62,0.66,0.66,0.66,0.84,0.77,0.53,0.55,0.60,0.70,0.58
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.73,0.79,0.80,0.78,0.66,0.84,0.70,0.83,0.54,0.62,0.62,0.84,0.56,0.71,0.75,0.71,0.63,0.74,0.53,0.52,0.48,0.60,0.43
110-2,NaN,0.63,0.70,0.76,0.66,0.67,0.74,0.70,0.69,0.57,0.60,0.55,0.64,0.58,0.74,0.75,0.73,0.59,0.54,0.61,0.66,0.43,0.62,0.53
110-3,NaN,0.79,0.85,0.82,0.85,0.73,0.76,0.70,0.75,0.69,0.84,0.84,0.71,0.68,0.74,0.74,0.74,0.83,0.75,0.66,0.61,0.67,0.83,0.59
111-1,NaN,0.73,0.79,0.80,0.78,0.66,0.84,0.70,0.83,0.54,0.62,0.62,0.84,0.56,0.71,0.75,0.71,0.63,0.74,0.53,0.52,0.48,0.60,0.43
111-2,NaN,0.79,0.85,0.82,0.85,0.73,0.76,0.70,0.75,0.69,0.84,0.84,0.71,0.68,0.74,0.74,0.74,0.83,0.75,0.66,0.61,0.67,0.83,0.59
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.83,0.89,0.86,0.87,0.76,0.81,0.72,0.79,0.62,0.76,0.76,0.77,0.67,0.77,0.78,0.76,0.77,0.76,0.66,0.68,0.55,0.74,0.57
112-2,NaN,0.83,0.89,0.85,0.87,0.76,0.81,0.72,0.79,0.62,0.76,0.76,0.76,0.66,0.76,0.79,0.75,0.77,0.75,0.66,0.67,0.55,0.75,0.57
112-3,NaN,0.84,0.92,0.86,0.89,0.77,0.80,0.71,0.78,0.71,0.73,0.75,0.74,0.64,0.75,0.77,0.75,0.76,0.75,0.61,0.75,0.63,0.72,0.68
113-1,NaN,0.85,0.92,0.86,0.89,0.77,0.80,0.71,0.78,0.71,0.74,0.75,0.74,0.63,0.75,0.77,0.74,0.76,0.74,0.60,0.74,0.63,0.73,0.68
113-2,NaN,0.80,0.87,0.84,0.87,0.75,0.76,0.71,0.74,0.67,0.84,0.84,0.70,0.70,0.71,0.72,0.71,0.83,0.74,0.64,0.59,0.63,0.83,0.61
113-3,NaN,0.76,0.81,0.82,0.81,0.69,0.84,0.72,0.83,0.61,0.61,0.61,0.83,0.56,0.69,0.74,0.69,0.62,0.74,0.48,0.57,0.55,0.58,0.52
114-1,NaN,0.95,1.00,0.97,1.00,0.91,0.97,0.90,0.97,0.64,0.91,0.92,0.94,0.71,0.89,0.89,0.89,0.92,1.00,0.59,0.52,0.54,0.70,0.67
115-1,NaN,0.93,1.00,0.89,1.00,0.91,0.92,0.88,0.92,0.76,0.94,0.94,0.89,0.74,0.79,0.80,0.79,0.94,0.98,0.71,0.61,0.63,0.81,0.65
116-1,NaN,0.82,0.85,0.72,0.85,0.77,0.74,0.72,0.72,0.80,0.92,0.92,0.76,0.72,0.79,0.76,0.76,0.96,0.81,0.71,0.65,0.70,0.83,0.69
116-2,NaN,0.73,0.75,0.63,0.75,0.70,0.59,0.65,0.60,0.67,0.85,0.85,0.61,0.71,0.61,0.61,0.61,0.83,0.69,0.67,0.64,0.66,0.78,0.63
117-1,NaN,0.91,0.98,0.95,0.98,0.87,0.97,0.86,0.97,0.85,0.93,0.93,0.93,0.85,0.92,0.89,0.91,0.94,0.98,0.81,0.90,0.76,0.80,0.75
117-2,NaN,0.50,0.50,0.50,0.50,0.47,0.50,0.50,0.50,0.50,0.54,0.54,0.50,0.53,0.56,0.56,0.56,0.54,0.50,0.59,0.56,0.49,0.50,0.45
119-1,NaN,0.92,0.99,0.95,0.99,0.86,0.93,0.84,0.92,0.77,0.90,0.90,0.91,0.77,0.83,0.84,0.83,0.90,0.92,0.65,0.71,0.67,0.71,0.72
120-1,NaN,0.91,1.00,0.98,1.00,0.91,0.97,0.89,0.97,0.64,0.90,0.92,0.94,0.71,0.90,0.90,0.90,0.91,1.00,0.59,0.53,0.54,0.71,0.67
120-2,NaN,0.50,0.50,0.50,0.50,0.56,0.52,0.64,0.52,0.22,0.45,0.47,0.61,0.32,0.53,0.56,0.53,0.51,0.54,0.29,0.35,0.21,0.39,0.51
120-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.56,0.45,0.40,0.37,0.44,0.49,0.50,0.49,0.42,0.37,0.33,0.52,0.63,0.47,0.61
121-1,NaN,0.91,1.00,0.93,0.95,0.85,0.86,0.81,0.81,0.64,0.92,0.92,0.91,0.78,0.82,0.79,0.82,0.92,0.88,0.53,0.61,0.62,0.76,0.66
121-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
121-3,NaN,0.91,1.00,0.93,0.95,0.82,0.87,0.82,0.81,0.62,0.92,0.92,0.84,0.78,0.83,0.79,0.83,0.92,0.86,0.53,0.62,0.52,0.75,0.61
122-1,NaN,0.73,0.80,0.74,0.75,0.69,0.76,0.67,0.69,0.61,0.77,0.77,0.80,0.64,0.68,0.65,0.68,0.79,0.77,0.60,0.55,0.55,0.59,0.51
124-1,NaN,0.67,0.75,0.67,0.75,0.54,0.56,0.51,0.53,0.33,0.35,0.35,0.16,0.31,0.22,0.26,0.24,0.40,0.18,0.36,0.34,0.36,0.33,0.20
124-2,NaN,0.25,0.27,0.38,0.22,0.21,0.18,0.25,0.11,0.45,0.33,0.33,0.11,0.38,0.23,0.25,0.23,0.35,0.12,0.31,0.49,0.42,0.37,0.40
124-3,NaN,0.54,0.58,0.53,0.58,0.54,0.49,0.51,0.53,0.29,0.28,0.28,0.15,0.35,0.21,0.25,0.23,0.32,0.18,0.33,0.27,0.31,0.31,0.14
125-1,NaN,0.95,1.00,0.97,1.00,0.91,0.97,0.90,0.97,0.64,0.91,0.92,0.94,0.71,0.89,0.89,0.89,0.92,1.00,0.59,0.52,0.54,0.70,0.67
125-2,NaN,0.95,1.00,1.00,1.00,0.87,0.98,0.90,0.98,0.60,0.90,0.90,0.86,0.72,0.89,0.89,0.89,0.90,0.93,0.55,0.52,0.55,0.74,0.55
125-3,NaN,0.69,0.78,0.74,0.73,0.74,0.85,0.71,0.84,0.55,0.72,0.72,0.74,0.71,0.67,0.70,0.67,0.72,0.69,0.64,0.56,0.40,0.64,0.50
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.54,0.52,0.50,0.50,0.53,0.52,0.53,0.53,0.53,0.50,0.54,0.52,0.52,0.52,0.50,0.52
127-1,NaN,0.90,1.00,0.90,0.95,0.91,0.91,0.85,0.88,0.87,0.92,0.92,0.89,0.88,0.87,0.88,0.87,0.93,0.88,0.88,0.80,0.66,0.83,0.71
127-2,NaN,0.84,0.86,0.81,0.82,0.83,0.86,0.80,0.83,0.75,0.73,0.73,0.79,0.79,0.85,0.81,0.86,0.73,0.74,0.79,0.80,0.60,0.67,0.69
127-3,NaN,0.45,0.46,0.53,0.46,0.51,0.45,0.51,0.45,0.55,0.51,0.51,0.44,0.55,0.56,0.56,0.56,0.52,0.45,0.54,0.54,0.54,0.50,0.55
128-1,NaN,0.75,0.71,0.74,0.69,0.79,0.80,0.78,0.78,0.55,0.60,0.60,0.69,0.46,0.61,0.61,0.61,0.62,0.63,0.59,0.52,0.45,0.48,0.53
129-1,NaN,0.76,0.76,0.79,0.75,0.74,0.81,0.78,0.79,0.70,0.66,0.66,0.79,0.62,0.70,0.70,0.70,0.67,0.75,0.61,0.66,0.67,0.58,0.62
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.76,0.76,0.79,0.75,0.74,0.81,0.78,0.79,0.70,0.66,0.66,0.79,0.62,0.70,0.70,0.70,0.67,0.75,0.61,0.66,0.67,0.58,0.62
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.73,0.80,0.80,0.75,0.74,0.81,0.76,0.75,0.58,0.81,0.81,0.77,0.74,0.78,0.76,0.78,0.79,0.77,0.57,0.54,0.54,0.67,0.59
131-2,NaN,0.86,0.95,0.90,0.90,0.82,0.88,0.82,0.83,0.63,0.92,0.92,0.88,0.80,0.83,0.80,0.83,0.92,0.88,0.60,0.57,0.59,0.77,0.63
131-3,NaN,0.81,0.85,0.83,0.85,0.74,0.82,0.71,0.81,0.59,0.88,0.88,0.76,0.76,0.82,0.81,0.82,0.87,0.79,0.56,0.48,0.53,0.77,0.53
132-1,NaN,0.84,0.89,0.87,0.89,0.76,0.84,0.74,0.83,0.61,0.76,0.75,0.84,0.63,0.79,0.80,0.79,0.77,0.80,0.66,0.63,0.61,0.74,0.55
132-2,NaN,0.87,0.92,0.90,0.92,0.77,0.83,0.77,0.82,0.71,0.75,0.75,0.83,0.60,0.77,0.79,0.77,0.77,0.80,0.61,0.70,0.66,0.72,0.67
65-1,NaN,0.37,0.31,0.50,0.38,0.41,0.30,0.47,0.30,0.21,0.34,0.34,0.24,0.22,0.33,0.34,0.32,0.27,0.22,0.17,0.18,0.24,0.33,0.27
65-2,NaN,0.37,0.31,0.48,0.38,0.43,0.29,0.49,0.30,0.20,0.37,0.37,0.25,0.21,0.33,0.34,0.32,0.31,0.23,0.15,0.18,0.24,0.32,0.25
65-3,NaN,0.37,0.31,0.50,0.38,0.42,0.30,0.48,0.30,0.21,0.34,0.34,0.25,0.22,0.33,0.34,0.33,0.27,0.23,0.15,0.20,0.24,0.33,0.27
68-1,NaN,0.96,0.98,0.97,1.00,0.86,0.76,0.83,0.80,0.70,0.86,0.86,0.59,0.72,0.68,0.68,0.68,0.91,0.68,0.43,0.64,0.74,0.73,0.66
68-2,NaN,0.93,0.99,0.94,0.99,0.83,0.80,0.80,0.82,0.68,0.79,0.79,0.64,0.67,0.71,0.70,0.71,0.82,0.74,0.45,0.55,0.67,0.67,0.63
69-1,NaN,0.86,0.91,0.88,0.92,0.87,0.86,0.84,0.85,0.81,0.97,0.97,0.81,0.71,0.75,0.79,0.75,0.96,0.89,0.56,0.55,0.72,0.82,0.60
69-2,NaN,0.73,0.84,0.91,0.74,0.84,0.83,0.87,0.80,0.79,0.97,0.97,0.81,0.68,0.75,0.77,0.75,0.92,0.85,0.54,0.54,0.70,0.79,0.57
70-1,NaN,0.67,0.55,0.70,0.57,0.62,0.57,0.59,0.58,0.62,0.79,0.78,0.52,0.71,0.74,0.76,0.71,0.80,0.50,0.37,0.58,0.68,0.70,0.50
70-2,NaN,0.50,0.48,0.46,0.50,0.56,0.55,0.57,0.66,0.68,0.65,0.61,0.50,0.55,0.60,0.59,0.62,0.63,0.53,0.50,0.64,0.49,0.69,0.57
70-3,NaN,0.50,0.58,0.50,0.50,0.65,0.64,0.50,0.50,0.56,0.43,0.48,0.57,0.48,0.58,0.51,0.55,0.48,0.61,0.49,0.45,0.55,0.43,0.38
72-1,NaN,0.82,0.84,0.83,0.85,0.78,0.83,0.75,0.82,0.73,0.78,0.78,0.83,0.63,0.78,0.78,0.78,0.81,0.85,0.51,0.44,0.60,0.58,0.56
72-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.62,0.54,0.54,0.53,0.49,0.50,0.50,0.50,0.54,0.50,0.68,0.44,0.55,0.41,0.49
73-1,NaN,0.86,0.93,0.87,0.94,0.88,0.90,0.89,0.89,0.76,0.81,0.84,0.84,0.70,0.76,0.76,0.76,0.86,0.91,0.51,0.58,0.65,0.75,0.65
73-2,NaN,0.86,0.93,0.87,0.94,0.88,0.90,0.89,0.89,0.76,0.81,0.84,0.84,0.69,0.76,0.76,0.76,0.86,0.91,0.51,0.58,0.65,0.74,0.65
73-3,NaN,0.84,0.85,0.87,0.90,0.84,0.80,0.83,0.80,0.50,0.71,0.71,0.68,0.62,0.49,0.56,0.52,0.71,0.73,0.58,0.54,0.48,0.68,0.52
74-1,NaN,0.71,0.74,0.71,0.74,0.68,0.60,0.63,0.62,0.60,0.70,0.70,0.65,0.57,0.57,0.57,0.57,0.72,0.66,0.60,0.51,0.57,0.59,0.64
74-2,NaN,0.83,0.87,0.85,0.87,0.74,0.84,0.72,0.84,0.68,0.96,0.96,0.83,0.89,0.83,0.83,0.85,0.95,0.86,0.43,0.68,0.73,0.84,0.67
75-1,NaN,0.92,0.97,0.90,0.97,0.88,0.89,0.86,0.90,0.81,0.97,0.97,0.86,0.72,0.75,0.80,0.75,0.97,0.94,0.56,0.55,0.72,0.82,0.62
75-2,NaN,0.88,0.97,0.92,0.97,0.86,0.90,0.88,0.89,0.79,0.97,0.97,0.89,0.70,0.75,0.77,0.75,0.96,0.97,0.54,0.54,0.70,0.79,0.60
79-1,NaN,0.55,0.53,0.60,0.56,0.68,0.69,0.73,0.67,0.68,0.67,0.67,0.66,0.60,0.70,0.71,0.72,0.65,0.66,0.57,0.60,0.63,0.58,0.60
79-2,NaN,0.48,0.46,0.53,0.48,0.58,0.58,0.62,0.54,0.58,0.65,0.65,0.51,0.62,0.61,0.61,0.61,0.63,0.49,0.51,0.51,0.51,0.58,0.49
79-3,NaN,0.75,0.84,0.91,0.79,0.82,0.96,0.87,0.92,0.71,0.88,0.88,0.85,0.61,0.90,0.87,0.90,0.89,0.84,0.64,0.72,0.67,0.79,0.69
80-1,NaN,0.71,0.74,0.71,0.74,0.68,0.60,0.63,0.62,0.60,0.70,0.70,0.65,0.57,0.57,0.57,0.57,0.72,0.66,0.60,0.52,0.58,0.58,0.65
80-2,NaN,0.95,1.00,0.91,1.00,0.83,0.94,0.83,0.94,0.67,0.95,0.95,0.91,0.83,0.83,0.83,0.83,0.94,0.93,0.43,0.65,0.73,0.79,0.68
81-1,NaN,0.76,0.80,0.86,0.83,0.81,0.72,0.80,0.70,0.64,0.96,0.96,0.69,0.75,0.76,0.77,0.76,0.96,0.74,0.43,0.55,0.60,0.78,0.54
81-2,NaN,0.76,0.80,0.86,0.83,0.82,0.72,0.81,0.70,0.66,0.96,0.96,0.69,0.77,0.78,0.78,0.78,0.96,0.74,0.48,0.58,0.62,0.79,0.55
82-1,NaN,0.62,0.63,0.70,0.63,0.75,0.65,0.73,0.62,0.52,0.64,0.64,0.60,0.49,0.57,0.57,0.57,0.63,0.61,0.52,0.47,0.42,0.49,0.50
83-1,NaN,0.88,0.95,0.93,0.94,0.88,0.81,0.83,0.88,0.65,0.93,0.93,0.77,0.78,0.89,0.88,0.89,0.93,0.94,0.59,0.49,0.51,0.80,0.60
83-2,NaN,0.88,0.95,0.93,0.94,0.88,0.82,0.83,0.88,0.65,0.93,0.93,0.79,0.78,0.84,0.84,0.85,0.93,0.98,0.59,0.49,0.51,0.78,0.60
84-1,NaN,0.42,0.45,0.51,0.33,0.46,0.34,0.50,0.33,0.40,0.50,0.51,0.28,0.45,0.51,0.51,0.51,0.48,0.26,0.33,0.33,0.42,0.47,0.33
85-1,NaN,0.93,0.99,0.86,0.99,0.91,0.95,0.88,0.95,0.82,0.95,0.95,0.94,0.75,0.78,0.77,0.78,0.92,0.97,0.85,0.87,0.62,0.85,0.75
85-2,NaN,0.93,0.99,0.86,0.99,0.91,0.95,0.88,0.95,0.82,0.95,0.95,0.94,0.75,0.78,0.77,0.78,0.92,0.97,0.85,0.87,0.62,0.85,0.75
86-1,NaN,0.50,0.50,0.50,0.50,0.47,0.58,0.50,0.54,0.52,0.54,0.54,0.57,0.55,0.56,0.56,0.56,0.54,0.51,0.39,0.52,0.54,0.53,0.49
86-2,NaN,0.50,0.50,0.50,0.50,0.47,0.58,0.50,0.54,0.52,0.54,0.54,0.57,0.55,0.56,0.56,0.56,0.54,0.51,0.39,0.52,0.54,0.53,0.49
86-3,NaN,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.50,0.52,0.54,0.54,0.53,0.52,0.53,0.53,0.53,0.54,0.50,0.52,0.52,0.54,0.53,0.52
87-1,NaN,0.86,0.88,0.87,0.89,0.78,0.81,0.73,0.80,0.73,0.96,0.96,0.80,0.78,0.80,0.80,0.80,0.96,0.83,0.56,0.58,0.67,0.77,0.66
87-2,NaN,0.85,0.86,0.88,0.87,0.80,0.80,0.76,0.79,0.72,0.96,0.96,0.78,0.81,0.84,0.84,0.84,0.96,0.80,0.77,0.69,0.66,0.77,0.67
87-3,NaN,0.82,0.83,0.81,0.84,0.78,0.76,0.72,0.75,0.74,0.92,0.92,0.78,0.80,0.82,0.82,0.82,0.92,0.78,0.64,0.68,0.69,0.77,0.69
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.91,0.89,0.91,0.96,0.80,0.83,0.81,0.83,0.57,0.76,0.76,0.66,0.64,0.58,0.65,0.65,0.74,0.70,0.58,0.54,0.46,0.70,0.52
93-2,NaN,0.89,0.89,0.86,0.96,0.74,0.76,0.75,0.78,0.52,0.74,0.74,0.55,0.66,0.61,0.61,0.64,0.72,0.61,0.58,0.54,0.48,0.67,0.52
94-1,NaN,0.95,1.00,0.97,1.00,0.88,0.97,0.84,0.97,0.72,0.96,0.96,0.94,0.77,0.84,0.84,0.84,0.96,1.00,0.60,0.60,0.62,0.82,0.68
95-1,NaN,0.98,0.97,0.98,1.00,0.86,0.75,0.83,0.79,0.67,0.85,0.85,0.59,0.69,0.65,0.65,0.65,0.90,0.66,0.46,0.58,0.70,0.70,0.58
95-2,NaN,0.93,0.99,0.95,0.99,0.86,0.80,0.81,0.83,0.70,0.81,0.81,0.60,0.68,0.68,0.67,0.68,0.83,0.70,0.55,0.62,0.72,0.68,0.62
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.30,0.26,0.26,0.26,0.37,0.28,0.37,0.31,0.25,0.43,0.43,0.30,0.22,0.31,0.32,0.31,0.38,0.28,0.25,0.20,0.23,0.40,0.30
99-1,NaN,0.87,0.87,0.80,0.88,0.79,0.85,0.77,0.84,0.65,0.67,0.67,0.75,0.62,0.76,0.77,0.77,0.67,0.76,0.56,0.57,0.63,0.61,0.54
