ID-model,GO:0008150,GO:0044710,GO:0044238,GO:0008152,GO:0071704,GO:0044237,GO:0050896,GO:0044699,GO:0006810,GO:0051234,GO:0006950,GO:0009987,GO:0044765,GO:0051179
125-3,NaN,0.77,0.77,0.70,0.68,0.72,0.55,0.60,0.72,0.72,0.46,0.59,0.66,0.67
126-1,NaN,0.92,0.58,0.73,0.60,0.52,0.66,0.71,0.95,0.94,0.49,0.50,0.88,0.94
127-1,NaN,0.80,0.52,0.60,0.52,0.56,0.73,0.69,0.84,0.83,0.66,0.44,0.84,0.77
127-2,NaN,0.79,0.58,0.66,0.56,0.64,0.71,0.68,0.85,0.84,0.59,0.47,0.86,0.77
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.72,0.67,0.63,0.56,0.62,0.71,0.54,0.62,0.62,0.64,0.61,0.62,0.62
129-1,NaN,0.77,0.84,0.66,0.80,0.74,0.70,0.63,0.83,0.83,0.72,0.52,0.83,0.82
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.77,0.84,0.66,0.80,0.74,0.70,0.63,0.83,0.83,0.72,0.52,0.83,0.82
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.58,0.50,0.54,0.44,0.48,0.58,0.77,0.83,0.83,0.50,0.56,0.84,0.81
131-2,NaN,0.58,0.50,0.52,0.44,0.48,0.58,0.74,0.78,0.78,0.50,0.56,0.79,0.77
131-3,NaN,0.78,0.75,0.67,0.68,0.67,0.64,0.80,0.90,0.90,0.53,0.62,0.92,0.89
132-1,NaN,0.80,0.72,0.68,0.77,0.73,0.84,0.60,0.86,0.86,0.65,0.59,0.85,0.83
132-2,NaN,0.80,0.72,0.68,0.77,0.73,0.84,0.58,0.87,0.86,0.65,0.56,0.86,0.83
65-1,NaN,0.62,0.62,0.55,0.54,0.60,0.65,0.60,0.74,0.74,0.46,0.56,0.76,0.72
65-2,NaN,0.64,0.62,0.53,0.55,0.60,0.66,0.63,0.77,0.77,0.48,0.56,0.77,0.75
65-3,NaN,0.61,0.62,0.55,0.54,0.60,0.64,0.60,0.75,0.75,0.48,0.55,0.75,0.73
68-1,NaN,0.71,0.49,0.42,0.46,0.45,0.51,0.73,0.92,0.92,0.59,0.48,0.92,0.89
68-2,NaN,0.79,0.56,0.46,0.54,0.49,0.59,0.71,0.82,0.81,0.46,0.50,0.88,0.78
