ID-model,GO:0008150,GO:0008152,GO:0009058,GO:0044249,GO:1901576,GO:0009059,GO:0043170,GO:0005975,GO:0044260,GO:0044710,GO:0071704,GO:0044237,GO:0009987,GO:0044281,GO:0044238
120-3,NaN,NaN,0.58,0.50,0.58,0.50,0.36,0.50,0.37,0.83,0.60,0.61,0.62,0.40,0.77
121-1,NaN,NaN,0.67,0.67,0.67,0.78,0.95,0.88,0.95,NaN,NaN,0.46,0.46,0.84,0.50
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121-3,NaN,NaN,0.83,0.83,0.83,0.83,0.81,0.89,0.95,0.53,0.60,0.50,0.50,0.80,0.32
122-1,NaN,NaN,0.75,0.75,0.75,0.75,0.89,0.62,0.88,NaN,NaN,0.20,0.20,0.54,0.22
124-1,NaN,NaN,0.18,0.18,0.18,0.60,0.19,0.58,0.20,0.00,0.03,0.07,0.07,0.05,0.05
124-2,NaN,NaN,0.24,0.22,0.24,0.28,0.06,0.08,0.05,0.10,0.03,0.07,0.07,0.08,0.00
124-3,NaN,NaN,0.16,0.16,0.16,0.50,0.19,0.64,0.20,0.00,0.03,0.07,0.07,0.08,0.05
125-1,NaN,NaN,0.86,0.86,0.86,0.90,0.89,0.92,1.00,0.47,0.47,0.46,0.46,0.68,0.50
125-2,NaN,NaN,0.98,0.98,0.98,0.98,0.84,0.88,0.97,0.93,0.93,0.54,0.54,0.86,0.51
125-3,NaN,NaN,0.90,0.90,0.91,0.91,0.93,0.81,0.90,0.38,0.31,0.33,0.33,0.49,0.26
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,NaN,0.83,0.81,0.83,0.85,1.00,0.96,1.00,0.90,0.97,0.96,0.93,0.77,0.62
127-2,NaN,NaN,0.95,0.90,0.96,0.90,0.80,0.80,0.82,0.80,0.87,0.79,0.71,0.58,0.71
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,NaN,NaN,NaN,NaN,0.00,NaN
128-1,NaN,NaN,0.94,0.94,0.94,0.93,0.94,0.80,0.93,0.82,0.91,1.00,1.00,0.53,0.78
129-1,NaN,NaN,0.88,0.88,0.88,0.85,0.91,0.63,0.88,NaN,NaN,NaN,NaN,0.48,0.08
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,NaN,0.88,0.88,0.88,0.85,0.91,0.63,0.88,NaN,NaN,NaN,NaN,0.48,0.08
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,NaN,0.89,0.89,0.89,0.81,0.67,0.77,0.86,NaN,NaN,0.30,0.30,0.66,0.39
131-2,NaN,NaN,0.83,0.83,0.83,0.82,0.82,0.80,0.90,NaN,NaN,0.25,0.25,0.77,0.27
131-3,NaN,NaN,0.82,0.82,0.82,0.73,0.66,0.75,0.71,0.43,0.50,0.54,0.54,0.72,0.25
132-1,NaN,NaN,0.88,0.88,0.88,0.87,0.87,0.77,0.83,0.20,0.20,0.14,0.25,0.72,0.19
132-2,NaN,NaN,0.88,0.88,0.88,0.85,0.87,0.86,0.83,0.67,0.80,0.61,0.52,0.69,0.71
65-1,NaN,NaN,0.67,0.67,0.67,0.54,0.45,0.64,0.50,0.00,0.00,0.48,0.48,0.24,0.46
65-2,NaN,NaN,0.56,0.56,0.56,0.48,0.30,0.67,0.41,0.00,0.00,0.04,0.12,0.27,0.21
65-3,NaN,NaN,0.65,0.67,0.65,0.60,0.45,0.69,0.51,0.00,0.14,0.48,0.60,0.24,0.43
68-1,NaN,NaN,0.84,0.84,0.84,0.84,0.73,0.98,0.77,0.93,1.00,0.93,0.93,0.77,0.77
68-2,NaN,NaN,0.84,0.83,0.84,0.86,0.81,0.90,0.85,1.00,1.00,0.89,0.89,0.75,0.78
69-1,NaN,NaN,0.76,0.76,0.76,0.76,0.69,0.89,0.85,0.30,0.43,0.86,0.89,0.87,0.46
69-2,NaN,NaN,0.79,0.79,0.79,0.69,0.71,0.83,0.83,0.23,0.40,0.82,0.89,0.87,0.41
70-1,NaN,NaN,0.73,0.67,0.54,0.30,0.36,0.67,0.30,0.97,0.80,0.64,0.64,0.57,0.44
70-2,NaN,NaN,0.67,0.64,0.66,0.48,0.50,0.51,0.49,0.53,0.37,0.46,0.62,0.53,0.50
70-3,NaN,NaN,0.27,0.41,0.27,0.51,0.55,0.65,0.53,0.13,0.10,0.14,0.14,0.25,0.15
72-1,NaN,NaN,0.83,0.83,0.83,0.76,0.82,0.85,0.80,0.70,0.67,0.86,0.86,0.58,0.54
72-2,NaN,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.10,0.07,0.46,0.46,0.30,0.41
73-1,NaN,NaN,0.70,0.74,0.74,0.81,0.77,0.88,0.92,0.37,0.40,0.66,0.66,0.63,0.42
73-2,NaN,NaN,0.70,0.74,0.74,0.81,0.77,0.88,0.92,0.37,0.40,0.66,0.66,0.63,0.42
73-3,NaN,NaN,0.62,0.75,0.75,0.90,0.70,0.92,0.83,0.46,0.50,0.46,0.50,0.82,0.50
74-1,NaN,NaN,0.70,0.70,0.70,0.75,1.00,1.00,1.00,0.83,0.83,1.00,1.00,1.00,0.83
74-2,NaN,NaN,0.79,0.79,0.79,0.83,0.87,0.80,0.98,0.53,0.67,0.77,0.80,0.77,0.51
75-1,NaN,NaN,0.76,0.76,0.76,0.78,0.73,0.89,0.88,0.30,0.43,0.86,0.89,0.85,0.46
75-2,NaN,NaN,0.79,0.79,0.79,0.72,0.74,0.86,0.90,0.23,0.40,0.82,0.89,0.84,0.41
79-1,NaN,NaN,0.89,0.89,0.89,0.71,0.71,0.60,0.71,0.67,0.50,0.78,0.89,0.56,0.19
79-2,NaN,NaN,1.00,1.00,1.00,0.67,0.78,0.69,0.69,0.80,0.60,1.00,1.00,0.75,0.25
79-3,NaN,NaN,0.96,0.96,0.96,0.95,0.73,0.81,0.88,0.73,0.73,0.57,0.57,0.77,0.47
80-1,NaN,NaN,0.70,0.70,0.70,0.75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00
80-2,NaN,NaN,0.79,0.79,0.79,0.83,0.90,0.84,0.98,0.87,0.93,0.77,0.80,0.77,0.60
81-1,NaN,NaN,0.75,0.75,0.75,0.59,0.72,1.00,0.74,0.25,0.25,0.60,0.60,0.81,0.25
81-2,NaN,NaN,0.75,0.75,0.75,0.59,0.72,1.00,0.74,0.25,0.25,0.60,0.60,0.81,0.25
82-1,NaN,NaN,0.91,0.91,0.86,0.72,0.75,0.78,0.72,NaN,NaN,0.67,0.62,0.46,0.52
83-1,NaN,NaN,0.88,0.85,0.88,0.75,0.75,0.85,0.87,0.47,0.47,0.46,0.46,0.78,0.50
83-2,NaN,NaN,0.88,0.85,0.88,0.77,0.81,0.85,0.98,0.47,0.47,0.46,0.46,0.73,0.50
84-1,NaN,NaN,0.60,0.60,0.60,0.41,0.26,0.36,0.25,NaN,NaN,0.50,0.55,0.07,0.25
85-1,NaN,NaN,0.64,0.57,0.71,0.82,0.82,0.87,0.94,NaN,NaN,0.71,0.75,0.86,0.40
85-2,NaN,NaN,0.64,0.57,0.71,0.82,0.82,0.87,0.94,NaN,NaN,0.71,0.75,0.86,0.40
86-1,NaN,NaN,0.54,0.54,0.54,0.55,0.55,0.50,0.42,0.57,0.60,0.57,0.68,0.55,0.44
86-2,NaN,NaN,0.54,0.54,0.54,0.55,0.55,0.50,0.42,0.57,0.60,0.57,0.68,0.55,0.44
86-3,NaN,NaN,0.56,0.56,0.56,0.56,NaN,0.50,0.50,NaN,NaN,NaN,NaN,0.57,NaN
87-1,NaN,NaN,0.77,0.77,0.77,0.77,0.85,1.00,0.88,0.93,1.00,0.88,0.91,0.78,0.95
87-2,NaN,NaN,0.86,0.86,0.86,0.73,0.74,0.97,0.80,0.83,0.87,0.73,0.73,0.80,0.72
87-3,NaN,NaN,0.72,0.72,0.72,0.69,0.79,0.94,0.81,0.87,0.87,0.80,0.80,0.84,0.78
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,0.54,0.67,0.54,0.82,0.60,0.83,0.62,0.43,0.50,0.50,0.50,0.78,0.50
93-2,NaN,NaN,0.62,0.62,0.62,0.82,0.60,0.75,0.67,0.47,0.50,0.50,0.50,0.70,0.50
94-1,NaN,NaN,0.84,0.84,0.84,0.89,0.88,0.91,1.00,0.43,0.47,0.64,0.64,0.82,0.50
95-1,NaN,NaN,0.84,0.84,0.84,0.84,0.73,0.98,0.77,0.93,1.00,0.93,0.93,0.77,0.77
95-2,NaN,NaN,0.84,0.83,0.84,0.87,0.85,0.91,0.88,1.00,0.93,0.86,0.86,0.74,0.79
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99-1,NaN,NaN,1.00,1.00,1.00,1.00,1.00,0.85,1.00,0.25,0.25,0.50,0.61,0.65,0.43
