ID-model,GO:0008150,GO:0050896,GO:0009059,GO:0006725,GO:0046483,GO:0044699,GO:1901360,GO:0044710,GO:0009058,GO:1901576,GO:0044763,GO:0044249,GO:0044238,GO:0034641,GO:0043170,GO:0044260,GO:0006807,GO:0051704,GO:0009987,GO:0044237,GO:0008152,GO:0044271,GO:0071704,GO:1901564
BLAST-S11,NaN,0.77,0.70,0.78,0.78,0.62,0.77,0.59,0.59,0.59,0.61,0.58,0.55,0.66,0.58,0.59,0.58,0.47,0.59,0.47,0.45,0.50,0.45,0.46
BLAST-S14,NaN,0.79,0.78,0.70,0.70,0.69,0.68,0.66,0.64,0.64,0.64,0.58,0.56,0.54,0.54,0.54,0.51,0.50,0.50,0.46,0.46,0.45,0.44,0.42
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.73,0.88,0.48,0.48,0.72,0.48,0.68,0.81,0.68,0.66,0.80,0.64,0.40,0.65,0.69,0.44,0.57,0.70,0.66,0.63,0.52,0.53,0.54
101-2,NaN,0.71,0.81,0.53,0.53,0.67,0.53,0.74,0.81,0.67,0.66,0.76,0.69,0.45,0.69,0.70,0.49,0.50,0.67,0.72,0.67,0.54,0.54,0.59
101-3,NaN,0.69,0.88,0.50,0.50,0.87,0.50,0.71,0.82,0.69,0.77,0.81,0.65,0.40,0.67,0.71,0.46,0.54,0.76,0.70,0.70,0.51,0.52,0.55
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.77,0.64,0.44,0.43,0.64,0.45,0.55,0.55,0.49,0.56,0.42,0.62,0.36,0.57,0.52,0.41,0.56,0.52,0.45,0.46,0.32,0.44,0.39
103-2,NaN,0.75,0.70,0.44,0.43,0.75,0.45,0.69,0.74,0.52,0.65,0.66,0.61,0.34,0.57,0.53,0.40,0.47,0.63,0.60,0.59,0.32,0.43,0.39
103-3,NaN,0.69,0.71,0.55,0.55,0.70,0.55,0.67,0.73,0.60,0.63,0.68,0.64,0.48,0.61,0.62,0.51,0.47,0.57,0.60,0.50,0.46,0.49,0.57
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.58,0.86,0.57,0.57,0.60,0.57,0.65,0.74,0.62,0.59,0.70,0.61,0.48,0.66,0.76,0.50,0.41,0.54,0.61,0.45,0.40,0.44,0.46
105-2,NaN,0.60,0.87,0.56,0.55,0.51,0.55,0.65,0.80,0.69,0.50,0.73,0.69,0.47,0.76,0.80,0.48,0.41,0.57,0.67,0.63,0.52,0.52,0.49
105-3,NaN,0.66,0.84,0.51,0.51,0.60,0.51,0.63,0.75,0.60,0.59,0.70,0.66,0.45,0.74,0.78,0.45,0.41,0.52,0.64,0.58,0.45,0.50,0.46
106-1,NaN,0.69,0.67,0.62,0.62,0.61,0.62,0.62,0.75,0.62,0.58,0.78,0.63,0.56,0.60,0.64,0.58,0.50,0.74,0.73,0.66,0.52,0.52,0.62
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.63,0.67,0.62,0.62,0.57,0.62,0.62,0.62,0.62,0.54,0.65,0.63,0.56,0.60,0.64,0.58,0.50,0.65,0.64,0.54,0.52,0.52,0.62
107-1,NaN,0.60,0.90,0.70,0.60,0.54,0.60,0.51,0.76,0.67,0.50,0.68,0.63,0.55,0.76,0.73,0.52,0.42,0.49,0.52,0.52,0.56,0.50,0.45
107-2,NaN,0.54,0.80,0.72,0.53,0.52,0.53,0.58,0.81,0.74,0.51,0.77,0.58,0.47,0.58,0.61,0.53,0.42,0.57,0.68,0.56,0.54,0.47,0.54
107-3,NaN,0.58,0.76,0.67,0.67,0.43,0.66,0.57,0.78,0.77,0.42,0.72,0.59,0.58,0.59,0.62,0.63,0.43,0.53,0.63,0.53,0.69,0.51,0.72
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.64,0.82,0.67,0.67,0.36,0.67,0.59,0.66,0.68,0.37,0.57,0.79,0.54,0.76,0.80,0.52,0.61,0.52,0.62,0.64,0.49,0.67,0.41
110-2,NaN,0.71,0.91,0.54,0.53,0.38,0.52,0.50,0.66,0.66,0.39,0.57,0.67,0.41,0.73,0.81,0.45,0.52,0.75,0.63,0.59,0.36,0.58,0.42
110-3,NaN,0.60,0.60,0.66,0.65,0.51,0.65,0.53,0.52,0.52,0.43,0.60,0.57,0.51,0.62,0.75,0.45,0.49,0.64,0.58,0.51,0.47,0.45,0.49
111-1,NaN,0.64,0.82,0.67,0.67,0.36,0.67,0.59,0.66,0.68,0.37,0.57,0.79,0.54,0.76,0.80,0.52,0.61,0.52,0.62,0.64,0.49,0.67,0.41
111-2,NaN,0.60,0.60,0.66,0.65,0.51,0.65,0.53,0.52,0.52,0.43,0.60,0.57,0.51,0.62,0.75,0.45,0.49,0.64,0.58,0.51,0.47,0.45,0.49
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.78,0.89,0.67,0.68,0.42,0.66,0.58,0.66,0.65,0.38,0.60,0.73,0.49,0.77,0.85,0.48,0.55,0.77,0.72,0.70,0.47,0.61,0.50
112-2,NaN,0.79,0.90,0.68,0.69,0.43,0.67,0.58,0.65,0.65,0.39,0.60,0.73,0.50,0.77,0.85,0.47,0.56,0.77,0.71,0.70,0.47,0.62,0.50
112-3,NaN,0.80,0.90,0.63,0.64,0.28,0.61,0.54,0.73,0.72,0.30,0.65,0.71,0.47,0.74,0.77,0.46,0.55,0.61,0.58,0.65,0.50,0.65,0.54
113-1,NaN,0.81,0.90,0.64,0.65,0.28,0.63,0.55,0.72,0.72,0.30,0.65,0.71,0.47,0.75,0.78,0.46,0.56,0.61,0.58,0.66,0.51,0.66,0.54
113-2,NaN,0.58,0.61,0.62,0.61,0.46,0.61,0.48,0.56,0.56,0.41,0.64,0.50,0.52,0.53,0.64,0.46,0.49,0.61,0.51,0.43,0.49,0.43,0.50
113-3,NaN,0.66,0.84,0.65,0.65,0.40,0.65,0.52,0.67,0.69,0.42,0.58,0.67,0.51,0.64,0.60,0.51,0.61,0.44,0.48,0.55,0.49,0.58,0.42
114-1,NaN,0.69,0.93,0.81,0.81,0.80,0.81,0.58,0.77,0.75,0.72,0.65,0.75,0.67,0.79,0.74,0.63,0.50,0.60,0.65,0.64,0.76,0.60,0.67
115-1,NaN,0.57,0.94,0.69,0.67,0.64,0.69,0.71,0.89,0.82,0.62,0.81,0.64,0.56,0.70,0.57,0.56,0.48,0.67,0.75,0.56,0.74,0.52,0.52
116-1,NaN,0.60,0.84,0.53,0.53,0.66,0.53,0.63,0.83,0.66,0.64,0.67,0.68,0.47,0.70,0.60,0.51,0.44,0.60,0.68,0.59,0.49,0.54,0.47
116-2,NaN,0.55,0.60,0.53,0.53,0.57,0.53,0.55,0.69,0.55,0.53,0.64,0.57,0.47,0.52,0.51,0.52,0.42,0.56,0.60,0.63,0.50,0.54,0.50
117-1,NaN,0.75,0.85,0.51,0.51,0.82,0.51,0.63,0.75,0.57,0.70,0.71,0.57,0.39,0.63,0.68,0.42,0.52,0.70,0.60,0.47,0.29,0.41,0.34
117-2,NaN,0.65,0.50,0.57,0.57,0.63,0.57,0.54,0.62,0.55,0.57,0.59,0.55,0.51,0.49,0.51,0.56,0.49,0.65,0.58,0.57,0.49,0.53,0.55
119-1,NaN,0.71,0.85,0.73,0.72,0.54,0.71,0.58,0.74,0.66,0.47,0.78,0.63,0.60,0.67,0.77,0.57,0.62,0.60,0.58,0.49,0.66,0.47,0.53
