ID-model,GO:0008150,GO:0050896,GO:0009059,GO:0006725,GO:0046483,GO:0044699,GO:1901360,GO:0044710,GO:0009058,GO:1901576,GO:0044763,GO:0044249,GO:0044238,GO:0034641,GO:0043170,GO:0044260,GO:0006807,GO:0051704,GO:0009987,GO:0044237,GO:0008152,GO:0044271,GO:0071704,GO:1901564
BLAST-S11,NaN,0.76,0.69,0.77,0.77,0.66,0.76,0.67,0.60,0.60,0.65,0.59,0.57,0.69,0.61,0.63,0.60,0.46,0.63,0.51,0.48,0.51,0.49,0.48
BLAST-S14,NaN,0.79,0.78,0.70,0.70,0.69,0.68,0.66,0.64,0.64,0.64,0.58,0.56,0.54,0.54,0.54,0.51,0.50,0.50,0.46,0.46,0.45,0.44,0.42
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.73,0.88,0.48,0.48,0.72,0.48,0.68,0.81,0.68,0.66,0.80,0.64,0.40,0.65,0.69,0.44,0.57,0.70,0.66,0.63,0.52,0.53,0.54
101-2,NaN,0.71,0.81,0.53,0.53,0.67,0.53,0.74,0.81,0.67,0.66,0.76,0.69,0.45,0.69,0.70,0.49,0.50,0.67,0.72,0.67,0.54,0.54,0.59
101-3,NaN,0.69,0.88,0.50,0.50,0.87,0.50,0.71,0.82,0.69,0.77,0.81,0.65,0.40,0.67,0.71,0.46,0.54,0.76,0.70,0.70,0.51,0.52,0.55
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,0.73,0.71,0.54,0.54,0.60,0.56,0.57,0.71,0.60,0.51,0.50,0.65,0.39,0.61,0.53,0.45,0.55,0.62,0.54,0.55,0.38,0.57,0.52
103-2,NaN,0.74,0.70,0.42,0.42,0.74,0.44,0.68,0.73,0.50,0.64,0.65,0.60,0.33,0.56,0.52,0.39,0.47,0.61,0.59,0.57,0.31,0.41,0.38
103-3,NaN,0.71,0.73,0.55,0.55,0.71,0.55,0.69,0.76,0.61,0.64,0.68,0.63,0.47,0.61,0.61,0.51,0.47,0.60,0.62,0.53,0.46,0.50,0.57
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.58,0.86,0.57,0.57,0.60,0.57,0.65,0.74,0.62,0.59,0.70,0.61,0.48,0.66,0.76,0.50,0.41,0.54,0.61,0.45,0.40,0.44,0.46
105-2,NaN,0.60,0.87,0.56,0.55,0.51,0.55,0.65,0.80,0.69,0.50,0.73,0.69,0.47,0.76,0.80,0.48,0.41,0.57,0.67,0.63,0.52,0.52,0.49
105-3,NaN,0.66,0.84,0.51,0.51,0.60,0.51,0.63,0.75,0.60,0.59,0.70,0.66,0.45,0.74,0.78,0.45,0.41,0.52,0.64,0.58,0.45,0.50,0.46
106-1,NaN,0.73,0.86,0.59,0.59,0.62,0.59,0.66,0.82,0.64,0.59,0.79,0.72,0.52,0.71,0.67,0.54,0.50,0.72,0.71,0.70,0.51,0.49,0.60
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.67,0.84,0.68,0.68,0.60,0.68,0.78,0.80,0.80,0.55,0.80,0.60,0.62,0.62,0.61,0.65,0.50,0.68,0.70,0.61,0.62,0.54,0.92
