ID-model,GO:0008150,GO:0044699,GO:0009987
BLAST-S11,NaN,0.52,0.62
BLAST-S14,NaN,0.53,0.51
Naive-S11,NaN,0.50,0.50
Naive-S14,NaN,0.50,0.50
101-1,NaN,0.68,0.53
101-2,NaN,0.63,0.71
101-3,NaN,0.47,0.46
102-1,NaN,0.50,0.50
102-2,NaN,0.50,0.50
102-3,NaN,0.50,0.50
103-1,NaN,0.50,0.50
103-2,NaN,0.50,0.50
103-3,NaN,0.45,0.39
104-1,NaN,0.50,0.50
104-2,NaN,0.50,0.50
104-3,NaN,0.50,0.50
105-1,NaN,0.47,0.44
105-2,NaN,0.46,0.49
105-3,NaN,0.52,0.51
106-1,NaN,0.65,0.61
106-2,NaN,0.50,0.50
106-3,NaN,0.60,0.61
107-1,NaN,0.48,0.36
107-2,NaN,0.45,0.54
107-3,NaN,0.50,0.50
108-1,NaN,0.50,0.50
109-1,NaN,0.50,0.50
110-1,NaN,0.47,0.52
110-2,NaN,0.69,0.76
110-3,NaN,0.46,0.73
111-1,NaN,0.47,0.52
111-2,NaN,0.46,0.73
111-3,NaN,0.50,0.50
112-1,NaN,0.61,0.69
112-2,NaN,0.61,0.68
112-3,NaN,0.69,0.68
113-1,NaN,0.69,0.67
113-2,NaN,0.50,0.72
113-3,NaN,0.54,0.52
114-1,NaN,0.38,0.47
115-1,NaN,0.47,0.47
116-1,NaN,0.47,0.54
116-2,NaN,0.47,0.48
117-1,NaN,0.64,0.65
117-2,NaN,0.69,0.54
119-1,NaN,0.61,0.64
120-1,NaN,0.38,0.47
120-2,NaN,0.62,0.80
120-3,NaN,0.61,0.52
121-1,NaN,0.48,0.38
121-2,NaN,0.52,0.47
121-3,NaN,0.56,0.47
122-1,NaN,0.40,0.45
124-1,NaN,0.50,0.41
124-2,NaN,0.61,0.51
124-3,NaN,0.54,0.37
125-1,NaN,0.38,0.47
125-2,NaN,0.43,0.40
125-3,NaN,0.50,0.56
126-1,NaN,0.53,0.68
127-1,NaN,0.71,0.68
127-2,NaN,0.65,0.67
127-3,NaN,0.52,0.51
128-1,NaN,0.82,0.64
129-1,NaN,0.59,0.60
129-2,NaN,0.50,0.50
129-3,NaN,0.59,0.60
130-1,NaN,0.50,0.50
130-2,NaN,0.50,0.50
130-3,NaN,0.50,0.50
131-1,NaN,0.28,0.55
131-2,NaN,0.32,0.48
131-3,NaN,0.35,0.42
132-1,NaN,0.56,0.71
132-2,NaN,0.63,0.68
65-1,NaN,0.53,0.56
65-2,NaN,0.53,0.56
65-3,NaN,0.53,0.53
68-1,NaN,0.39,0.44
68-2,NaN,0.42,0.42
69-1,NaN,0.50,0.35
69-2,NaN,0.55,0.42
70-1,NaN,0.63,0.59
70-2,NaN,0.68,0.72
70-3,NaN,0.64,0.49
72-1,NaN,0.45,0.62
72-2,NaN,0.51,0.52
73-1,NaN,0.57,0.68
73-2,NaN,0.57,0.68
73-3,NaN,0.48,0.45
74-1,NaN,0.53,0.61
74-2,NaN,0.51,0.56
75-1,NaN,0.47,0.35
75-2,NaN,0.52,0.41
79-1,NaN,0.45,0.82
79-2,NaN,0.58,0.81
79-3,NaN,0.56,0.58
80-1,NaN,0.49,0.61
80-2,NaN,0.49,0.56
81-1,NaN,0.44,0.48
81-2,NaN,0.44,0.48
82-1,NaN,0.76,0.59
83-1,NaN,0.48,0.68
83-2,NaN,0.64,0.68
84-1,NaN,0.86,0.70
85-1,NaN,0.63,0.55
85-2,NaN,0.63,0.55
86-1,NaN,0.48,0.57
86-2,NaN,0.48,0.57
86-3,NaN,0.73,0.53
87-1,NaN,0.58,0.43
87-2,NaN,0.88,0.70
87-3,NaN,0.54,0.48
88-1,NaN,0.50,0.50
89-1,NaN,0.50,0.50
89-2,NaN,0.50,0.50
89-3,NaN,0.50,0.50
91-1,NaN,0.50,0.50
91-2,NaN,0.50,0.50
91-3,NaN,0.50,0.50
93-1,NaN,0.50,0.50
93-2,NaN,0.50,0.50
94-1,NaN,0.40,0.45
95-1,NaN,0.39,0.53
95-2,NaN,0.43,0.48
96-1,NaN,0.50,0.50
96-2,NaN,0.50,0.50
96-3,NaN,0.50,0.50
97-1,NaN,0.50,0.50
97-2,NaN,0.50,0.50
97-3,NaN,0.50,0.50
98-1,NaN,0.50,0.50
99-1,NaN,0.48,0.62
