ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
80-1,0.77,0.670,0.04,0.77,0.671,0.013,0.06
80-2,0.97,0.652,0.70,0.97,0.653,0.015,0.59
81-1,0.72,0.694,0.23,0.72,0.697,0.025,0.29
81-2,0.72,0.694,0.23,0.72,0.697,0.025,0.29
82-1,0.85,0.668,0.55,0.85,0.667,0.011,0.57
83-1,0.92,0.684,0.27,0.92,0.682,0.008,0.39
83-2,0.92,0.666,0.18,0.92,0.664,0.011,0.17
84-1,0.74,0.690,0.04,0.74,0.691,0.008,0.05
85-1,0.82,0.656,0.15,0.82,0.655,0.015,0.16
85-2,0.82,0.656,0.15,0.82,0.655,0.015,0.16
86-1,1.00,0.680,0.79,1.00,0.678,0.010,0.80
86-2,1.00,0.680,0.79,1.00,0.678,0.010,0.80
86-3,0.72,0.679,0.31,0.72,0.683,0.014,0.32
87-1,1.00,0.670,0.46,1.00,0.670,0.010,0.47
87-2,1.00,0.662,0.23,1.00,0.657,0.017,0.22
87-3,0.87,0.693,0.65,0.87,0.690,0.007,0.62
88-1,0.00,1.000,0.00,0.00,1.000,0.000,0.00
89-1,0.00,1.000,0.00,0.00,1.000,0.000,0.00
89-2,0.00,1.000,0.00,0.00,1.000,0.000,0.00
89-3,0.00,1.000,0.00,0.00,1.000,0.000,0.00
91-1,0.00,1.000,0.00,0.00,1.000,0.000,0.00
91-2,0.00,1.000,0.00,0.00,1.000,0.000,0.00
91-3,0.00,1.000,0.00,0.00,1.000,0.000,0.00
93-1,0.00,1.000,0.00,0.00,1.000,0.000,0.00
93-2,0.00,1.000,0.00,0.00,1.000,0.000,0.00
94-1,1.00,0.694,1.00,1.00,0.695,0.020,1.00
95-1,1.00,0.703,1.00,1.00,0.709,0.031,1.00
95-2,1.00,0.723,1.00,1.00,0.727,0.033,1.00
96-1,0.00,1.000,0.00,0.00,1.000,0.000,0.00
96-2,0.00,1.000,0.00,0.00,1.000,0.000,0.00
96-3,0.00,1.000,0.00,0.00,1.000,0.000,0.00
97-1,0.00,1.000,0.00,0.00,1.000,0.000,0.00
97-2,0.00,1.000,0.00,0.00,1.000,0.000,0.00
97-3,0.00,1.000,0.00,0.00,1.000,0.000,0.00
98-1,0.00,1.000,0.00,0.00,1.000,0.000,0.00
99-1,0.92,0.654,0.17,0.92,0.650,0.018,0.19
