ID-model,GO:0005575,GO:0044463,GO:0015630,GO:0042995,GO:0044459,GO:0044430,GO:0005856,GO:0043228,GO:0043232,GO:0005730,GO:0005783,GO:0044425,GO:0031981,GO:0016021,GO:0043234,GO:0070013,GO:0005576,GO:0043233,GO:0044421,GO:0031974,GO:0032991,GO:0031224,GO:0005634,GO:0005886,GO:0044428,GO:0005739,GO:0005615,GO:0005829,GO:0071944,GO:0016020,GO:0044444,GO:0043230,GO:0065010,GO:0070062,GO:0031982,GO:0031988,GO:0044432,GO:0005737,GO:0044446,GO:0043226,GO:0044422,GO:0031090,GO:0043227,GO:0043229,GO:0012505,GO:0044424,GO:0005622,GO:0043231,GO:0005794,GO:0031975,GO:0005623,GO:0044464
BLAST-S11,NaN,0.78,0.68,0.74,0.71,0.63,0.66,0.62,0.62,0.59,0.62,0.58,0.63,0.63,0.60,0.60,0.60,0.60,0.59,0.60,0.58,0.61,0.57,0.57,0.57,0.59,0.63,0.56,0.55,0.57,0.58,0.50,0.50,0.50,0.53,0.53,0.51,0.56,0.52,0.54,0.52,0.51,0.53,0.52,0.49,0.54,0.54,0.51,0.51,0.50,0.45,0.45
BLAST-S14,NaN,0.75,0.72,0.72,0.71,0.67,0.66,0.64,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.59,0.58,0.58,0.58,0.58,0.58,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.50,0.49,0.47,0.46,0.46
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.58,0.66,0.68,0.65,0.60,0.61,0.60,0.60,0.69,0.73,0.65,0.70,0.66,0.59,0.67,0.62,0.66,0.55,0.66,0.56,0.64,0.60,0.61,0.66,0.59,0.56,0.58,0.58,0.62,0.63,0.50,0.50,0.50,0.51,0.51,0.61,0.60,0.61,0.52,0.60,0.66,0.52,0.57,0.57,0.57,0.56,0.56,0.76,0.51,0.49,0.49
101-2,NaN,0.50,0.54,0.53,0.52,0.53,0.54,0.55,0.55,0.50,0.51,0.52,0.53,0.51,0.51,0.53,0.51,0.53,0.51,0.53,0.50,0.50,0.52,0.52,0.52,0.50,0.50,0.51,0.51,0.52,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.53,0.53,0.50,0.50,0.51,0.51,0.50,0.50,0.54,0.50,0.48,0.48
101-3,NaN,0.57,0.65,0.69,0.64,0.60,0.61,0.63,0.63,0.70,0.73,0.64,0.71,0.73,0.60,0.68,0.63,0.67,0.55,0.67,0.59,0.68,0.65,0.62,0.67,0.60,0.56,0.59,0.60,0.65,0.68,0.50,0.50,0.50,0.52,0.51,0.61,0.65,0.63,0.56,0.63,0.68,0.56,0.63,0.57,0.65,0.65,0.63,0.77,0.51,0.57,0.57
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,0.52,NaN,0.67,1.00,NaN,NaN,NaN,NaN,NaN,1.00,0.65,NaN,0.52,NaN,NaN,NaN,0.50,0.61,0.79,0.10,NaN,NaN,NaN,NaN,NaN,NaN,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77,0.75,NaN,NaN,1.00,0.10,0.10
103-2,NaN,NaN,NaN,NaN,0.43,NaN,NaN,NaN,NaN,NaN,NaN,0.54,NaN,0.56,1.00,NaN,NaN,NaN,NaN,NaN,1.00,0.55,NaN,0.49,NaN,NaN,NaN,0.50,0.57,0.67,0.18,NaN,NaN,NaN,NaN,NaN,NaN,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.74,0.73,NaN,NaN,1.00,0.10,0.10
103-3,NaN,0.58,0.62,0.57,0.53,0.57,0.65,0.69,0.69,0.77,0.77,0.71,0.72,0.77,0.57,0.68,0.65,0.68,0.53,0.68,0.55,0.65,0.76,0.67,0.71,0.77,0.51,0.49,0.65,0.70,0.77,0.50,0.50,0.50,0.49,0.49,0.65,0.75,0.69,0.64,0.69,0.80,0.62,0.75,0.67,0.78,0.79,0.76,0.64,0.63,0.68,0.68
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.76,0.78,0.75,0.66,0.77,0.73,0.73,0.73,0.83,0.77,0.66,0.77,0.69,0.60,0.73,0.65,0.73,0.62,0.72,0.61,0.65,0.65,0.69,0.73,0.69,0.64,0.61,0.66,0.62,0.63,0.53,0.53,0.53,0.54,0.53,0.71,0.60,0.64,0.54,0.64,0.72,0.53,0.61,0.61,0.60,0.60,0.60,0.70,0.54,0.53,0.53
105-2,NaN,0.76,0.83,0.69,0.67,0.76,0.74,0.75,0.75,0.81,0.79,0.68,0.79,0.72,0.66,0.75,0.66,0.75,0.62,0.75,0.66,0.66,0.72,0.77,0.71,0.66,0.63,0.66,0.75,0.64,0.68,0.54,0.54,0.54,0.55,0.54,0.72,0.62,0.65,0.60,0.65,0.76,0.58,0.68,0.71,0.66,0.66,0.67,0.78,0.47,0.58,0.58
105-3,NaN,0.75,0.79,0.75,0.64,0.76,0.72,0.71,0.71,0.77,0.78,0.63,0.78,0.66,0.68,0.73,0.66,0.73,0.64,0.73,0.68,0.64,0.66,0.77,0.72,0.72,0.63,0.65,0.74,0.63,0.66,0.59,0.59,0.59,0.56,0.55,0.64,0.59,0.63,0.57,0.63,0.74,0.55,0.63,0.66,0.61,0.61,0.63,0.70,0.60,0.56,0.56
106-1,NaN,0.50,0.61,0.49,0.54,0.56,0.68,0.68,0.68,0.49,0.63,0.67,0.54,0.87,0.67,0.53,0.59,0.53,0.52,0.53,0.63,0.78,0.68,0.69,0.52,0.78,0.56,0.48,0.67,0.75,0.61,0.51,0.51,0.51,0.51,0.51,0.49,0.61,0.53,0.58,0.52,0.52,0.56,0.66,0.52,0.67,0.68,0.62,0.49,0.56,0.60,0.60
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,NaN,0.65,NaN,0.59,0.62,0.76,0.70,0.70,0.49,0.49,0.76,0.47,0.91,0.66,0.47,0.59,0.47,0.53,0.47,0.66,0.80,0.65,0.84,0.47,0.78,0.62,0.47,0.83,0.76,0.58,0.51,0.51,0.51,0.51,0.51,0.49,0.61,0.53,0.56,0.52,0.55,0.54,0.62,0.48,0.65,0.66,0.56,0.49,0.99,0.60,0.60
107-1,NaN,0.73,0.82,0.74,0.62,0.74,0.70,0.73,0.73,0.81,0.77,0.62,0.72,0.75,0.65,0.70,0.65,0.70,0.62,0.70,0.65,0.69,0.68,0.67,0.68,0.65,0.54,0.65,0.63,0.60,0.63,0.53,0.53,0.53,0.54,0.55,0.71,0.60,0.64,0.57,0.64,0.76,0.55,0.61,0.68,0.59,0.59,0.60,0.75,0.61,0.53,0.52
107-2,NaN,0.67,0.76,0.69,0.66,0.67,0.66,0.67,0.67,0.77,0.81,0.65,0.71,0.69,0.65,0.69,0.64,0.69,0.61,0.69,0.67,0.61,0.76,0.78,0.67,0.69,0.56,0.60,0.77,0.64,0.70,0.54,0.54,0.54,0.54,0.54,0.68,0.63,0.63,0.62,0.62,0.73,0.62,0.68,0.72,0.65,0.66,0.70,0.74,0.68,0.60,0.60
107-3,NaN,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN,NaN,NaN,0.79,NaN,0.87,0.61,NaN,NaN,NaN,NaN,NaN,0.61,0.87,NaN,0.64,NaN,NaN,NaN,0.72,0.56,0.79,0.74,NaN,NaN,NaN,NaN,NaN,NaN,0.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72,0.72,NaN,NaN,0.56,0.42,0.42
