ID-model,GO:0003674,GO:0005488,GO:0005515,GO:0003824
BLAST-S11,NaN,0.54,0.51,0.51
BLAST-S14,NaN,0.68,0.62,0.58
Naive-S11,NaN,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50
101-1,NaN,0.71,0.49,0.63
101-2,NaN,0.69,0.52,0.71
101-3,NaN,0.72,0.49,0.68
102-1,NaN,0.64,0.51,0.61
102-2,NaN,0.40,0.37,0.61
102-3,NaN,0.40,0.00,0.40
103-1,NaN,0.76,0.56,0.84
103-2,NaN,0.72,0.55,0.81
103-3,NaN,0.76,0.50,0.77
104-1,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN
105-1,NaN,0.64,0.58,0.53
105-2,NaN,0.72,0.59,0.64
105-3,NaN,0.71,0.62,0.53
106-1,NaN,0.70,0.50,0.65
106-2,NaN,0.46,0.50,0.54
106-3,NaN,0.54,0.50,0.94
107-1,NaN,0.65,0.64,0.64
107-2,NaN,0.58,0.58,0.66
107-3,NaN,0.60,0.58,0.66
108-1,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN
110-1,NaN,0.68,0.63,0.47
110-2,NaN,0.68,0.69,0.61
110-3,NaN,0.66,0.67,0.66
111-1,NaN,0.68,0.63,0.47
111-2,NaN,0.66,0.67,0.66
111-3,NaN,NaN,NaN,NaN
112-1,NaN,0.71,0.75,0.69
112-2,NaN,0.71,0.76,0.68
112-3,NaN,0.67,0.69,0.69
113-1,NaN,0.67,0.70,0.68
113-2,NaN,0.62,0.63,0.66
113-3,NaN,0.61,0.53,0.45
114-1,NaN,0.78,0.74,0.74
115-1,NaN,0.79,0.59,0.72
116-1,NaN,0.73,0.53,0.81
116-2,NaN,0.63,0.50,0.72
117-1,NaN,0.61,0.52,0.61
117-2,NaN,0.50,0.50,NaN
119-1,NaN,0.73,0.47,0.79
120-1,NaN,0.81,0.72,0.76
120-2,NaN,0.67,0.47,0.61
120-3,NaN,0.58,0.50,0.52
121-1,NaN,0.84,0.50,0.78
121-2,NaN,NaN,NaN,NaN
121-3,NaN,0.82,0.57,0.79
122-1,NaN,0.72,0.54,0.76
124-1,NaN,0.48,0.42,0.20
124-2,NaN,0.33,0.41,0.29
124-3,NaN,0.46,0.42,0.21
125-1,NaN,0.78,0.74,0.75
125-2,NaN,0.73,0.43,0.74
125-3,NaN,0.63,0.64,0.54
126-1,NaN,0.61,0.50,0.83
127-1,NaN,0.80,0.56,0.55
127-2,NaN,0.61,0.61,0.61
127-3,NaN,NaN,NaN,NaN
128-1,NaN,0.74,0.56,0.61
129-1,NaN,0.52,0.50,0.54
129-2,NaN,NaN,NaN,NaN
129-3,NaN,0.52,0.50,0.54
130-1,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN
131-1,NaN,0.75,0.50,0.73
131-2,NaN,0.75,0.50,0.72
131-3,NaN,0.73,0.50,0.70
132-1,NaN,0.71,0.70,0.65
132-2,NaN,0.67,0.63,0.65
65-1,NaN,0.70,0.57,0.46
65-2,NaN,0.78,0.61,0.52
65-3,NaN,0.69,0.59,0.44
68-1,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN
69-1,NaN,0.70,0.62,0.68
69-2,NaN,0.72,0.63,0.69
70-1,NaN,0.45,0.44,0.61
70-2,NaN,0.60,0.48,0.37
70-3,NaN,0.66,0.27,0.41
72-1,NaN,0.54,0.45,0.71
72-2,NaN,0.47,0.48,0.45
73-1,NaN,0.62,0.50,0.71
73-2,NaN,0.70,0.59,0.71
73-3,NaN,0.60,0.67,0.50
74-1,NaN,0.80,0.67,0.78
74-2,NaN,0.72,0.64,0.75
75-1,NaN,0.71,0.62,0.68
75-2,NaN,0.76,0.63,0.71
79-1,NaN,0.58,0.53,0.64
79-2,NaN,0.73,0.59,0.86
79-3,NaN,0.72,0.53,0.75
80-1,NaN,0.78,0.66,0.70
80-2,NaN,0.79,0.64,0.77
81-1,NaN,0.74,0.54,0.76
81-2,NaN,0.74,0.54,0.76
82-1,NaN,0.65,0.50,0.70
83-1,NaN,0.55,0.75,0.62
83-2,NaN,0.55,0.75,0.63
84-1,NaN,0.64,0.62,0.68
85-1,NaN,0.60,0.42,0.64
85-2,NaN,0.60,0.42,0.64
86-1,NaN,0.56,0.54,0.54
86-2,NaN,0.56,0.54,0.54
86-3,NaN,0.44,0.49,0.57
87-1,NaN,0.71,0.57,0.75
87-2,NaN,0.77,0.58,0.73
87-3,NaN,0.77,0.62,0.81
88-1,NaN,0.57,0.51,0.57
89-1,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN
93-1,NaN,0.71,0.53,0.58
93-2,NaN,0.58,0.56,0.53
94-1,NaN,0.76,0.50,0.71
95-1,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN
98-1,NaN,0.65,0.52,0.75
99-1,NaN,0.74,0.48,0.76
