ID-model,GO:0003674,GO:0005488,GO:0005515,GO:0003824
BLAST-S11,NaN,0.56,0.53,0.53
BLAST-S14,NaN,0.70,0.63,0.56
Naive-S11,NaN,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50
101-1,NaN,0.71,0.49,0.63
101-2,NaN,0.69,0.52,0.71
101-3,NaN,0.72,0.49,0.68
102-1,NaN,0.63,0.50,0.61
102-2,NaN,0.45,0.39,0.59
102-3,NaN,0.40,0.38,0.58
103-1,NaN,0.63,0.55,0.64
103-2,NaN,0.69,0.55,0.69
103-3,NaN,0.70,0.50,0.69
104-1,NaN,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50
105-1,NaN,0.63,0.58,0.53
105-2,NaN,0.70,0.58,0.62
105-3,NaN,0.69,0.61,0.52
106-1,NaN,0.72,0.50,0.63
106-2,NaN,0.71,0.50,0.50
106-3,NaN,0.54,0.50,0.64
107-1,NaN,0.65,0.64,0.64
107-2,NaN,0.58,0.58,0.66
107-3,NaN,0.57,0.56,0.68
108-1,NaN,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50
110-1,NaN,0.62,0.57,0.51
110-2,NaN,0.67,0.67,0.60
110-3,NaN,0.66,0.67,0.66
111-1,NaN,0.62,0.57,0.51
111-2,NaN,0.66,0.67,0.66
111-3,NaN,0.50,0.50,0.50
112-1,NaN,0.71,0.75,0.69
112-2,NaN,0.71,0.76,0.68
112-3,NaN,0.67,0.69,0.69
113-1,NaN,0.67,0.70,0.68
113-2,NaN,0.62,0.63,0.66
113-3,NaN,0.58,0.54,0.51
114-1,NaN,0.78,0.74,0.74
115-1,NaN,0.79,0.59,0.72
116-1,NaN,0.73,0.53,0.74
116-2,NaN,0.63,0.50,0.68
117-1,NaN,0.61,0.52,0.61
117-2,NaN,0.50,0.50,0.55
119-1,NaN,0.71,0.47,0.76
120-1,NaN,0.81,0.72,0.76
120-2,NaN,0.67,0.47,0.61
120-3,NaN,0.53,0.50,0.56
121-1,NaN,0.78,0.50,0.72
121-2,NaN,0.47,0.48,0.53
121-3,NaN,0.78,0.56,0.70
122-1,NaN,0.64,0.55,0.63
124-1,NaN,0.48,0.42,0.20
124-2,NaN,0.33,0.41,0.29
124-3,NaN,0.46,0.42,0.21
125-1,NaN,0.78,0.74,0.75
125-2,NaN,0.72,0.43,0.71
125-3,NaN,0.63,0.64,0.54
126-1,NaN,0.61,0.50,0.81
127-1,NaN,0.76,0.55,0.60
127-2,NaN,0.61,0.59,0.65
127-3,NaN,0.50,0.50,0.50
128-1,NaN,0.69,0.54,0.56
129-1,NaN,0.48,0.46,0.57
129-2,NaN,0.50,0.50,0.50
129-3,NaN,0.48,0.46,0.57
130-1,NaN,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50
131-1,NaN,0.70,0.50,0.61
131-2,NaN,0.70,0.50,0.57
131-3,NaN,0.69,0.50,0.70
132-1,NaN,0.71,0.70,0.65
132-2,NaN,0.67,0.63,0.65
65-1,NaN,0.69,0.56,0.52
65-2,NaN,0.69,0.56,0.51
65-3,NaN,0.68,0.57,0.50
68-1,NaN,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50
69-1,NaN,0.70,0.62,0.68
69-2,NaN,0.72,0.63,0.69
70-1,NaN,0.45,0.44,0.61
70-2,NaN,0.60,0.48,0.37
70-3,NaN,0.66,0.27,0.41
72-1,NaN,0.54,0.45,0.71
72-2,NaN,0.45,0.45,0.45
73-1,NaN,0.62,0.50,0.71
73-2,NaN,0.70,0.59,0.71
73-3,NaN,0.60,0.65,0.55
74-1,NaN,0.83,0.66,0.57
74-2,NaN,0.72,0.63,0.71
75-1,NaN,0.71,0.62,0.68
75-2,NaN,0.76,0.63,0.71
79-1,NaN,0.56,0.51,0.66
79-2,NaN,0.62,0.54,0.52
79-3,NaN,0.71,0.52,0.74
80-1,NaN,0.82,0.66,0.56
80-2,NaN,0.78,0.63,0.72
81-1,NaN,0.69,0.53,0.69
81-2,NaN,0.69,0.53,0.69
82-1,NaN,0.65,0.50,0.61
83-1,NaN,0.55,0.75,0.62
83-2,NaN,0.55,0.75,0.63
84-1,NaN,0.67,0.62,0.64
85-1,NaN,0.57,0.42,0.63
85-2,NaN,0.57,0.42,0.63
86-1,NaN,0.56,0.54,0.54
86-2,NaN,0.56,0.54,0.54
86-3,NaN,0.47,0.52,0.56
87-1,NaN,0.68,0.56,0.69
87-2,NaN,0.71,0.56,0.67
87-3,NaN,0.70,0.59,0.74
88-1,NaN,0.57,0.51,0.57
89-1,NaN,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50
93-1,NaN,0.73,0.53,0.58
93-2,NaN,0.58,0.56,0.53
94-1,NaN,0.76,0.50,0.71
95-1,NaN,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50
98-1,NaN,0.65,0.52,0.75
99-1,NaN,0.71,0.49,0.70
