ID-model,GO:0003674,GO:0003677,GO:0003676,GO:0097159,GO:1901363,GO:0000975,GO:0001067,GO:0044212,GO:0005488
BLAST-S11,NaN,0.86,0.85,0.76,0.76,0.44,0.44,0.44,0.69
BLAST-S14,NaN,0.89,0.88,0.79,0.79,0.70,0.70,0.70,0.64
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.74,0.60,0.56,0.56,0.50,0.50,0.50,0.45
101-2,NaN,0.82,0.84,0.77,0.77,0.50,0.50,0.50,0.86
101-3,NaN,0.91,0.85,0.80,0.80,0.50,0.50,0.50,0.93
102-1,NaN,0.86,0.86,0.77,0.77,0.60,0.61,0.60,0.70
102-2,NaN,0.86,0.85,0.77,0.77,0.58,0.60,0.58,0.50
102-3,NaN,0.50,0.50,0.42,0.42,0.50,0.50,0.50,0.40
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.80,0.78,0.77,0.77,0.50,0.50,0.50,0.88
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.77,0.73,0.70,0.71,0.57,0.57,0.57,0.66
105-2,NaN,0.86,0.80,0.74,0.74,0.63,0.63,0.63,0.77
105-3,NaN,0.86,0.78,0.76,0.76,0.66,0.66,0.66,0.73
106-1,NaN,0.71,0.66,0.61,0.61,0.50,0.50,0.50,0.53
106-2,NaN,0.50,0.50,0.48,0.48,0.50,0.50,0.50,0.51
106-3,NaN,0.65,0.65,0.60,0.60,0.50,0.50,0.50,0.61
107-1,NaN,0.89,0.83,0.76,0.82,0.62,0.62,0.62,0.64
107-2,NaN,0.96,0.93,0.84,0.84,0.69,0.69,0.69,0.84
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.82,0.76,0.70,0.70,0.64,0.64,0.64,0.38
110-2,NaN,0.70,0.58,0.57,0.58,0.43,0.50,0.42,0.56
110-3,NaN,0.48,0.53,0.47,0.46,0.45,0.45,0.45,0.71
111-1,NaN,0.81,0.75,0.69,0.68,0.63,0.63,0.63,0.38
111-2,NaN,0.50,0.55,0.48,0.47,0.46,0.46,0.46,0.72
111-3,NaN,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
112-1,NaN,0.83,0.68,0.62,0.62,0.59,0.60,0.59,0.52
112-2,NaN,0.83,0.68,0.62,0.62,0.59,0.60,0.59,0.51
112-3,NaN,0.82,0.67,0.61,0.61,0.59,0.60,0.59,0.46
113-1,NaN,0.83,0.67,0.61,0.60,0.59,0.60,0.59,0.44
113-2,NaN,0.48,0.53,0.46,0.45,0.45,0.45,0.45,0.49
113-3,NaN,0.80,0.74,0.67,0.67,0.63,0.63,0.63,0.32
114-1,NaN,0.91,0.86,0.80,0.80,0.71,0.71,0.71,0.71
115-1,NaN,0.91,0.86,0.82,0.82,0.67,0.68,0.67,0.78
116-1,NaN,0.82,0.79,0.77,0.77,0.50,0.50,0.50,0.83
116-2,NaN,0.79,0.76,0.75,0.75,0.50,0.50,0.50,0.82
117-1,NaN,0.93,0.91,0.85,0.85,0.68,0.68,0.68,0.69
117-2,NaN,0.52,0.52,0.52,0.52,0.49,0.49,0.49,0.43
119-1,NaN,0.85,0.87,0.80,0.80,0.48,0.48,0.48,0.68
120-1,NaN,0.90,0.86,0.80,0.80,0.81,0.81,0.81,0.69
120-2,NaN,0.86,0.89,0.82,0.82,0.63,0.63,0.60,0.76
120-3,NaN,0.81,0.82,0.78,0.77,0.65,0.65,0.63,0.75
121-1,NaN,0.56,0.56,0.57,0.57,0.50,0.50,0.50,0.51
121-2,NaN,0.52,0.52,0.52,0.52,0.50,0.50,0.50,0.44
121-3,NaN,0.78,0.74,0.66,0.66,0.50,0.50,0.50,0.77
122-1,NaN,0.83,0.87,0.83,0.83,0.50,0.50,0.50,0.83
124-1,NaN,0.91,0.81,0.79,0.79,0.84,0.84,0.84,0.54
124-2,NaN,0.80,0.71,0.69,0.69,0.50,0.50,0.50,0.25
124-3,NaN,0.89,0.79,0.40,0.40,0.84,0.84,0.84,0.54
125-1,NaN,0.87,0.82,0.78,0.78,0.50,0.50,0.50,0.71
125-2,NaN,0.80,0.76,0.77,0.78,0.52,0.52,0.52,0.77
125-3,NaN,0.88,0.83,0.67,0.67,0.77,0.77,0.77,0.56
126-1,NaN,0.53,0.57,0.58,0.58,0.50,0.50,0.50,0.59
127-1,NaN,0.88,0.88,0.82,0.82,0.63,0.65,0.60,0.78
127-2,NaN,0.87,0.82,0.79,0.79,0.63,0.63,0.64,0.73
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.56,0.56,0.52,0.51,0.50,0.50,0.50,0.33
129-1,NaN,0.92,0.86,0.83,0.83,0.64,0.64,0.64,0.70
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.92,0.86,0.83,0.83,0.64,0.64,0.64,0.70
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.83,0.81,0.77,0.77,0.50,0.50,0.50,0.87
131-2,NaN,0.79,0.79,0.75,0.75,0.50,0.50,0.50,0.82
131-3,NaN,0.88,0.86,0.78,0.78,0.62,0.62,0.62,0.86
132-1,NaN,0.85,0.76,0.75,0.74,0.59,0.61,0.59,0.60
132-2,NaN,0.84,0.75,0.74,0.72,0.59,0.61,0.59,0.57
65-1,NaN,0.64,0.55,0.45,0.47,0.72,0.69,0.73,0.35
65-2,NaN,0.65,0.55,0.44,0.44,0.68,0.66,0.73,0.35
65-3,NaN,0.66,0.56,0.46,0.45,0.77,0.75,0.85,0.35
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.93,0.90,0.89,0.89,0.59,0.60,0.59,0.79
69-2,NaN,0.88,0.85,0.83,0.83,0.59,0.60,0.59,0.78
70-1,NaN,0.90,0.84,0.81,0.81,0.68,0.68,0.68,0.84
70-2,NaN,0.50,0.74,0.73,0.73,0.70,0.69,0.70,0.78
70-3,NaN,0.51,0.47,0.46,0.71,0.50,0.50,0.50,0.67
72-1,NaN,0.70,0.65,0.55,0.55,0.50,0.50,0.50,0.58
72-2,NaN,0.70,0.70,0.65,0.65,0.50,0.50,0.50,0.67
73-1,NaN,0.67,0.57,0.52,0.56,0.69,0.69,0.69,0.50
73-2,NaN,0.67,0.58,0.52,0.56,0.70,0.70,0.70,0.50
73-3,NaN,0.82,0.79,0.66,0.66,0.67,0.67,0.52,0.55
74-1,NaN,0.73,0.64,0.59,0.59,0.48,0.48,0.48,0.62
74-2,NaN,0.87,0.82,0.76,0.76,0.40,0.40,0.40,0.83
75-1,NaN,0.93,0.90,0.89,0.89,0.59,0.60,0.59,0.74
75-2,NaN,0.88,0.85,0.84,0.84,0.59,0.60,0.59,0.74
79-1,NaN,0.76,0.85,0.83,0.83,0.65,0.65,0.53,0.80
79-2,NaN,0.60,0.70,0.67,0.67,0.61,0.61,0.51,0.55
79-3,NaN,0.88,0.82,0.73,0.73,0.65,0.65,0.54,0.77
80-1,NaN,0.81,0.76,0.67,0.67,0.48,0.48,0.48,0.74
80-2,NaN,0.88,0.83,0.77,0.77,0.40,0.40,0.40,0.83
81-1,NaN,0.55,0.55,0.55,0.55,0.50,0.50,0.50,0.68
81-2,NaN,0.55,0.55,0.55,0.55,0.50,0.50,0.50,0.68
82-1,NaN,0.83,0.81,0.75,0.75,0.59,0.59,0.59,0.60
83-1,NaN,0.81,0.78,0.77,0.77,0.47,0.47,0.47,0.82
83-2,NaN,0.88,0.85,0.85,0.85,0.57,0.57,0.57,0.80
84-1,NaN,0.50,0.43,0.28,0.28,0.50,0.50,0.50,0.23
85-1,NaN,0.86,0.81,0.73,0.73,0.62,0.62,0.62,0.63
85-2,NaN,0.86,0.81,0.73,0.73,0.62,0.62,0.62,0.63
86-1,NaN,0.66,0.72,0.65,0.65,0.50,0.50,0.50,0.71
86-2,NaN,0.66,0.72,0.65,0.65,0.50,0.50,0.50,0.71
86-3,NaN,0.49,0.45,0.40,0.40,0.50,0.50,0.50,0.64
87-1,NaN,0.81,0.84,0.82,0.82,0.50,0.50,0.50,0.66
87-2,NaN,0.82,0.87,0.80,0.80,0.50,0.50,0.50,0.56
87-3,NaN,0.80,0.76,0.71,0.71,0.50,0.50,0.50,0.47
88-1,NaN,0.56,0.52,0.51,0.51,0.54,0.54,0.54,0.47
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.79,0.83,0.79,0.79,0.50,0.50,0.50,0.84
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
