ID-model,GO:0003674,GO:0003824,GO:0003676,GO:0003677,GO:0097159,GO:1901363,GO:0005488,GO:0000975,GO:0001067,GO:0044212
79-3,NaN,1.00,1.00,0.95,0.89,0.89,0.88,0.76,0.76,0.55
80-1,NaN,0.80,0.85,0.85,0.70,0.70,0.77,0.58,0.58,0.58
80-2,NaN,1.00,0.92,0.92,0.82,0.82,0.81,0.50,0.50,0.50
81-1,NaN,1.00,0.54,0.54,0.54,0.54,0.51,0.50,0.50,0.50
81-2,NaN,1.00,0.54,0.54,0.54,0.54,0.51,0.50,0.50,0.50
82-1,NaN,1.00,0.80,0.87,0.73,0.73,0.73,0.86,0.86,0.86
83-1,NaN,0.93,0.95,0.96,0.87,0.87,0.86,0.56,0.56,0.56
83-2,NaN,0.92,1.00,0.99,0.90,0.90,0.88,0.67,0.67,0.67
84-1,NaN,0.88,0.31,0.42,0.14,0.14,0.21,0.50,0.50,0.50
85-1,NaN,0.95,0.86,0.86,0.78,0.78,0.70,0.93,0.93,0.93
85-2,NaN,0.95,0.86,0.86,0.78,0.78,0.70,0.93,0.93,0.93
86-1,NaN,0.68,0.79,0.67,0.79,0.79,0.43,0.58,0.58,0.58
86-2,NaN,0.68,0.79,0.67,0.79,0.79,0.43,0.58,0.58,0.58
86-3,NaN,0.60,0.62,0.62,0.62,0.62,0.38,0.54,0.54,0.54
87-1,NaN,1.00,0.92,0.93,0.91,0.91,0.84,0.46,0.46,0.46
87-2,NaN,1.00,0.87,0.94,0.65,0.65,0.69,0.46,0.46,0.46
87-3,NaN,0.90,0.67,0.67,0.54,0.54,0.53,0.46,0.46,0.46
88-1,NaN,0.90,0.51,0.51,0.46,0.46,0.46,0.54,0.54,0.54
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,1.00,0.88,0.88,0.73,0.73,0.74,0.54,0.54,0.54
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.51,0.42,0.43,0.42,0.42,0.47,0.39,0.39,0.40
99-1,NaN,1.00,0.97,0.97,0.94,0.94,0.84,0.75,0.75,0.75
